KEY_CODE,人口,緯度,経度,最寄り店舗距離_km
60395715,6,40.42916666666667,139.94375,12.62
60395725,4,40.4375,139.94375,13.386
60395735,3,40.44583333333333,139.94375,14.171
60395785,96,40.487500000000004,139.94375,18.255
60395786,22,40.487500000000004,139.95624999999998,17.899
60395796,57,40.49583333333334,139.95624999999998,17.368
60396715,97,40.5125,139.94375,15.475
60396716,23,40.5125,139.95624999999998,15.519
60396726,32,40.520833333333336,139.95624999999998,14.595
60396745,49,40.5375,139.94375,12.695
60396755,50,40.545833333333334,139.94375,11.769
60396764,3,40.55416666666667,139.93125,10.881
60396765,2,40.55416666666667,139.94375,10.842
60396774,61,40.5625,139.93125,9.959
60396784,213,40.57083333333334,139.93125,9.036
60396793,58,40.57916666666667,139.91875,8.303
60396794,213,40.57916666666667,139.93125,8.115
60397629,35,40.60416666666667,139.86875,8.151
60397638,8,40.612500000000004,139.85625,8.468
60397639,132,40.612500000000004,139.86875,7.583
60397649,18,40.62083333333334,139.86875,7.091
60397700,118,40.587500000000006,139.88125,8.801
60397701,149,40.587500000000006,139.89374999999998,8.228
60397702,93,40.587500000000006,139.90625,7.757
60397703,326,40.587500000000006,139.91875,7.407
60397704,11,40.587500000000006,139.93125,7.196
60397739,4,40.612500000000004,139.99375,6.149
60397740,12,40.62083333333334,139.88125,6.189
60397750,30,40.62916666666667,139.88125,5.727
60397751,176,40.62916666666667,139.89374999999998,4.801
60397758,1,40.62916666666667,139.98125,4.13
60397759,16,40.62916666666667,139.99375,5.01
60397761,5,40.6375,139.89374999999998,4.389
60397763,142,40.6375,139.91875,2.536
60397764,314,40.6375,139.93125,1.831
60397769,4,40.6375,139.99375,4.617
60397772,8,40.645833333333336,139.90625,3.11
60397773,186,40.645833333333336,139.91875,2.091
60397774,445,40.645833333333336,139.93125,1.136
60397784,254,40.654166666666676,139.93125,0.974
60397785,133,40.654166666666676,139.94375,0.304
60397786,49,40.654166666666676,139.95624999999998,1.209
60397795,255,40.66250000000001,139.94375,1.211
60405465,11,40.47083333333333,140.56875,5.535
60405466,103,40.47083333333333,140.58124999999998,5.601
60405469,20,40.47083333333333,140.61875,6.855
60405472,19,40.479166666666664,140.53125,5.695
60405474,181,40.479166666666664,140.55625,4.769
60405479,353,40.479166666666664,140.61875,6.132
60405482,146,40.487500000000004,140.53125,4.976
60405484,18,40.487500000000004,140.55625,3.881
60405489,232,40.487500000000004,140.61875,5.41
60405494,23,40.49583333333334,140.55625,3.017
60405498,31,40.49583333333334,140.60625,4.036
60405499,332,40.49583333333334,140.61875,4.718
60405520,25,40.4375,140.63125,10.556
60405530,55,40.44583333333333,140.63125,9.755
60405531,33,40.44583333333333,140.64374999999998,10.348
60405532,126,40.44583333333333,140.65625,11.01
60405540,4,40.454166666666666,140.63125,8.979
60405550,2,40.4625,140.63125,8.233
60405560,659,40.47083333333333,140.63125,7.527
60405570,518,40.479166666666664,140.63125,6.798
60405580,141,40.487500000000004,140.63125,6.122
60405711,98,40.42916666666667,140.89374999999998,17.342
60405712,84,40.42916666666667,140.90625,18.139
60405734,35,40.44583333333333,140.93125,20.951
60405735,36,40.44583333333333,140.94375,21.77
60406231,15,40.52916666666667,140.26874999999998,13.334
60406239,13,40.52916666666667,140.36875,6.824
60406241,57,40.5375,140.26874999999998,12.955
60406249,18,40.5375,140.36875,6.051
60406251,104,40.545833333333334,140.26874999999998,12.632
60406252,51,40.545833333333334,140.28125,11.635
60406258,5,40.545833333333334,140.35625,6.081
60406259,10,40.545833333333334,140.36875,5.327
60406261,11,40.55416666666667,140.26874999999998,12.371
60406262,65,40.55416666666667,140.28125,11.351
60406269,96,40.55416666666667,140.36875,4.676
60406272,24,40.5625,140.28125,11.136
60406273,16,40.5625,140.29375,10.102
60406276,23,40.5625,140.33124999999998,7.037
60406278,149,40.5625,140.35625,5.065
60406279,267,40.5625,140.36875,4.13
60406283,80,40.57083333333334,140.29375,9.948
60406289,191,40.57083333333334,140.36875,3.739
60406290,8,40.57916666666667,140.25625,13.044
60406291,62,40.57916666666667,140.26874999999998,11.989
60406292,16,40.57916666666667,140.28125,10.934
60406293,345,40.57916666666667,140.29375,9.878
60406294,372,40.57916666666667,140.30625,8.823
60406295,16,40.57916666666667,140.31875,7.768
60406335,2,40.52916666666667,140.44375,5.037
60406344,13,40.5375,140.43125,4.435
60406345,3,40.5375,140.44375,4.123
60406346,72,40.5375,140.45624999999998,4.069
60406354,20,40.545833333333334,140.43125,3.607
60406356,416,40.545833333333334,140.45624999999998,3.146
60406357,118,40.545833333333334,140.46875,3.418
60406364,240,40.55416666666667,140.43125,2.841
60406365,14,40.55416666666667,140.44375,2.323
60406366,25,40.55416666666667,140.45624999999998,2.226
60406367,291,40.55416666666667,140.46875,2.597
60406368,22,40.55416666666667,140.48125,2.278
60406369,475,40.55416666666667,140.49375,2.015
60406374,207,40.5625,140.43125,2.201
60406375,406,40.5625,140.44375,1.474
60406377,705,40.5625,140.46875,1.876
60406378,1853,40.5625,140.48125,1.521
60406379,387,40.5625,140.49375,1.088
60406380,219,40.57083333333334,140.38125,2.76
60406381,8,40.57083333333334,140.39374999999998,1.866
60406385,1076,40.57083333333334,140.44375,0.816
60406386,1255,40.57083333333334,140.45624999999998,0.473
60406387,1156,40.57083333333334,140.46875,1.418
60406388,5437,40.57083333333334,140.48125,1.075
60406389,2848,40.57083333333334,140.49375,0.162
60406390,189,40.57916666666667,140.38125,2.5
60406391,308,40.57916666666667,140.39374999999998,1.455
60406393,42,40.57916666666667,140.41875,0.735
60406394,127,40.57916666666667,140.43125,1.759
60406395,2770,40.57916666666667,140.44375,0.936
60406396,2801,40.57916666666667,140.45624999999998,0.659
60406397,4597,40.57916666666667,140.46875,0.998
60406398,4442,40.57916666666667,140.48125,0.902
60406399,4320,40.57916666666667,140.49375,0.372
60406400,5,40.50416666666667,140.50625,5.76
60406401,24,40.50416666666667,140.51874999999998,4.77
60406402,341,40.50416666666667,140.53125,3.815
60406404,93,40.50416666666667,140.55625,2.205
60406405,13,40.50416666666667,140.56875,1.835
60406408,140,40.50416666666667,140.60625,3.316
60406409,131,40.50416666666667,140.61875,4.119
60406411,16,40.5125,140.51874999999998,4.497
60406412,79,40.5125,140.53125,3.468
60406413,145,40.5125,140.54375,2.463
60406414,200,40.5125,140.55625,1.529
60406415,499,40.5125,140.56875,0.917
60406416,51,40.5125,140.58124999999998,1.256
60406417,210,40.5125,140.59375,1.92
60406418,526,40.5125,140.60625,2.724
60406419,2,40.5125,140.61875,3.659
60406423,303,40.520833333333336,140.54375,2.293
60406424,230,40.520833333333336,140.55625,1.237
60406425,1995,40.520833333333336,140.56875,0.182
60406426,981,40.520833333333336,140.58124999999998,0.57
60406427,392,40.520833333333336,140.59375,1.352
60406428,28,40.520833333333336,140.60625,2.359
60406429,1,40.520833333333336,140.61875,3.396
60406433,35,40.52916666666667,140.54375,2.483
60406434,233,40.52916666666667,140.55625,1.562
60406435,61,40.52916666666667,140.56875,0.956
60406436,36,40.52916666666667,140.58124999999998,0.428
60406443,146,40.5375,140.54375,2.965
60406444,562,40.5375,140.55625,2.251
60406445,44,40.5375,140.56875,1.578
60406451,155,40.545833333333334,140.51874999999998,3.617
60406453,73,40.545833333333334,140.54375,3.624
60406454,305,40.545833333333334,140.55625,2.957
60406455,127,40.545833333333334,140.56875,2.405
60406460,274,40.55416666666667,140.50625,2.271
60406461,732,40.55416666666667,140.51874999999998,2.913
60406462,341,40.55416666666667,140.53125,3.748
