市区町村,人口,店舗数,人口10万人当たり店舗数
青森市,275192.0,43,15.63
弘前市,168466.0,34,20.18
八戸市,223415.0,40,17.9
黒石市,31946.0,6,18.78
五所川原市,51415.0,14,27.23
十和田市,60378.0,13,21.53
三沢市,39152.0,9,22.99
むつ市,54103.0,15,27.72
つがる市,30934.0,6,19.4
平川市,30567.0,5,16.36
平内町,10126.0,2,19.75
今別町,2334.0,0,0.0
蓬田村,2540.0,0,0.0
外ヶ浜町,5401.0,1,18.52
鰺ヶ沢町,9044.0,3,33.17
深浦町,7346.0,1,13.61
西目屋村,1265.0,0,0.0
藤崎町,14573.0,3,20.59
大鰐町,8665.0,2,23.08
田舎館村,7326.0,0,0.0
板柳町,12700.0,4,31.5
鶴田町,12074.0,2,16.56
中泊町,9657.0,2,20.71
野辺地町,12374.0,4,32.33
七戸町,14556.0,3,20.61
六戸町,10447.0,2,19.14
横浜町,4229.0,0,0.0
東北町,16428.0,5,30.44
六ヶ所村,10367.0,1,9.65
おいらせ町,24273.0,6,24.72
大間町,4718.0,2,42.39
東通村,5955.0,0,0.0
風間浦村,1636.0,0,0.0
佐井村,1788.0,0,0.0
三戸町,9082.0,4,44.04
五戸町,16042.0,3,18.7
田子町,4968.0,0,0.0
南部町,16809.0,4,23.8
階上町,13496.0,3,22.23
新郷村,2197.0,0,0.0
