市区町村,人口,重心緯度,重心経度,最寄り店舗距離_km,最寄り店舗名
青森市,275192.0,40.788100054,140.77390133504863,1.404,ツルハドラッグ 青森浜田店
弘前市,168466.0,40.614486446,140.39462673220117,2.506,ツルハドラッグ 弘前岩木店
八戸市,223415.0,40.475495667000004,141.4902372997925,2.461,サンドラッグ 八戸青葉店
黒石市,31946.0,40.613435193499996,140.72354670635934,10.728,ハッピー・ドラッグ 黒石北美店
五所川原市,51415.0,40.862672865,140.49600844738177,6.107,ハッピー・ドラッグ 五所川原金木店
十和田市,60378.0,40.561388081,141.0811152250295,10.356,薬王堂 十和田三本木店
三沢市,39152.0,40.773807319499994,141.38358831523402,9.158,薬王堂 岡三沢店
むつ市,54103.0,41.2915720855,141.04977900432192,9.966,ツルハドラッグ むつ大平店
つがる市,30934.0,40.8845937655,140.3542400126486,3.11,薬王堂 つがる稲垣店
平川市,30567.0,40.516727544999995,140.77629444239562,16.699,薬王堂 青森大鰐店
平内町,10126.0,40.908620419,140.96727806536336,1.944,ツルハドラッグ 平内店
今別町,2334.0,41.16614586,140.5093934272195,16.065,薬王堂 青森中泊店
蓬田村,2540.0,40.992273419,140.59108791326474,6.993,ハッピー・ドラッグ 青森蟹田店
外ヶ浜町,5401.0,41.119306887,140.59187415686463,8.935,ハッピー・ドラッグ 青森蟹田店
鰺ヶ沢町,9044.0,40.6177296125,140.15230839351415,18.118,ハッピー・ドラッグ 青森深浦店
深浦町,7346.0,40.594541194,139.98328231165084,7.232,ハッピー・ドラッグ 青森深浦店
西目屋村,1265.0,40.5236781665,140.21950339788424,17.389,薬王堂 弘前相馬店
藤崎町,14573.0,40.681547581000004,140.51561176417917,1.806,薬王堂 青森常盤店
大鰐町,8665.0,40.473517279,140.51679853623406,6.95,ハッピー・ドラッグ 青森大鰐店
田舎館村,7326.0,40.6448398065,140.54349480718116,2.948,薬王堂 青森常盤店
板柳町,12700.0,40.713028554,140.4777248936573,2.033,ツルハドラッグ 板柳店
鶴田町,12074.0,40.755919234000004,140.42740749046544,0.207,薬王堂 青森鶴田店
中泊町,9657.0,41.012297527,140.441914919207,4.163,薬王堂 青森中泊店
野辺地町,12374.0,40.9012048335,141.19928393694693,7.405,ツルハドラッグ 野辺地店
七戸町,14556.0,40.724838694,141.0703441311545,8.269,薬王堂 青森天間林店
六戸町,10447.0,40.6317889595,141.30788980438336,2.631,薬王堂 青森六戸店
横浜町,4229.0,41.063465027,141.29328200360544,13.23,薬王堂 青森六ヶ所店
東北町,16428.0,40.7979713335,141.24688809381576,3.169,薬王堂 青森乙供店
六ヶ所村,10367.0,40.9820495945,141.3247749845193,3.85,薬王堂 青森六ヶ所店
おいらせ町,24273.0,40.6274888335,141.3999362712646,2.935,薬王堂 おいらせ上久保店
大間町,4718.0,41.483785153,140.92836081792456,4.469,ハッピー・ドラッグ 青森大間店
東通村,5955.0,41.2687158465,141.33252268079903,9.816,薬王堂 むつ横迎町店
風間浦村,1636.0,41.4751962525,141.01820854342785,9.982,薬王堂 青森大間店
佐井村,1788.0,41.339394608000006,140.84721207688852,20.876,ハッピー・ドラッグ 青森大間店
三戸町,9082.0,40.363294386999996,141.22969016008489,1.541,薬王堂 青森三戸店
五戸町,16042.0,40.5030704275,141.27837972216173,3.181,薬王堂 青森五戸店
田子町,4968.0,40.3070452205,141.05833814607877,15.91,ドラッグふじや
南部町,16809.0,40.417606365,141.3147011116526,2.742,薬王堂 青森南部町店
階上町,13496.0,40.419049580999996,141.56771140747497,5.7,ハッピー・ドラッグ 青森階上店
新郷村,2197.0,40.4497868875,141.11708437044527,13.673,ツルハドラッグ 三戸店
