市区町村,総数,65歳以上,高齢化率
青森市,275192.0,87937.0,31.95478
弘前市,168466.0,54400.0,32.29138
八戸市,223415.0,69756.0,31.22261
黒石市,31946.0,10960.0,34.30789
五所川原市,51415.0,18477.0,35.93698
十和田市,60378.0,20490.0,33.9362
三沢市,39152.0,10518.0,26.86453
むつ市,54103.0,18462.0,34.1238
つがる市,30934.0,12013.0,38.83429
平川市,30567.0,10779.0,35.26352
平内町,10126.0,4165.0,41.13174
今別町,2334.0,1290.0,55.26992
蓬田村,2540.0,1077.0,42.40157
外ヶ浜町,5401.0,2752.0,50.95353
鰺ヶ沢町,9044.0,4035.0,44.61521
深浦町,7346.0,3726.0,50.72148
西目屋村,1265.0,501.0,39.60474
藤崎町,14573.0,4797.0,32.91704
大鰐町,8665.0,3772.0,43.53145
田舎館村,7326.0,2639.0,36.02239
板柳町,12700.0,4822.0,37.9685
鶴田町,12074.0,4575.0,37.89134
中泊町,9657.0,4289.0,44.41338
野辺地町,12374.0,4713.0,38.08793
七戸町,14556.0,5944.0,40.83539
六戸町,10447.0,3531.0,33.79918
横浜町,4229.0,1691.0,39.98581
東北町,16428.0,6304.0,38.37351
六ヶ所村,10367.0,2634.0,25.40754
おいらせ町,24273.0,6755.0,27.82928
大間町,4718.0,1712.0,36.28656
東通村,5955.0,2117.0,35.54996
風間浦村,1636.0,758.0,46.33252
佐井村,1788.0,860.0,48.09843
三戸町,9082.0,3798.0,41.81898
五戸町,16042.0,6467.0,40.31293
田子町,4968.0,2183.0,43.94122
南部町,16809.0,6726.0,40.01428
階上町,13496.0,4306.0,31.90575
新郷村,2197.0,1084.0,49.34001
