KEY_CODE,人口,緯度,経度,最寄り店舗距離_km
58402758,3,38.87916666666666,140.98125,5.626
58402768,11,38.887499999999996,140.98125,6.514
58402769,31,38.887499999999996,140.99375,6.314
58402777,2,38.89583333333333,140.96875,7.735
58402778,4,38.89583333333333,140.98125,7.411
58402779,6,38.89583333333333,140.99375,7.236
58402788,15,38.90416666666667,140.98125,8.315
58402789,34,38.90416666666667,140.99375,8.16
58402798,6,38.9125,140.98125,9.224
58402799,13,38.9125,140.99375,9.084
58403671,10,38.979166666666664,140.76874999999998,25.227
58403703,6,38.920833333333334,140.91875,12.274
58403708,21,38.920833333333334,140.98125,10.135
58403709,37,38.920833333333334,140.99375,10.008
58403713,22,38.92916666666667,140.91875,13.04
58403715,10,38.92916666666667,140.94375,11.993
58403716,21,38.92916666666667,140.95624999999998,11.586
58403717,6,38.92916666666667,140.96875,11.269
58403718,4,38.92916666666667,140.98125,11.02
58403719,8,38.92916666666667,140.99375,9.945
58403723,10,38.9375,140.91875,13.824
58403729,4,38.9375,140.99375,9.883
58403733,7,38.94583333333333,140.91875,14.625
58403734,18,38.94583333333333,140.93125,14.129
58403739,24,38.94583333333333,140.99375,9.908
58403744,26,38.954166666666666,140.93125,14.972
58403745,22,38.954166666666666,140.94375,14.301
58403749,11,38.954166666666666,140.99375,10.019
58403755,50,38.9625,140.94375,14.437
58403756,30,38.9625,140.95624999999998,13.375
58403757,5,38.9625,140.96875,12.316
58403759,22,38.9625,140.99375,10.212
58403763,9,38.97083333333333,140.91875,16.737
58403764,36,38.97083333333333,140.93125,15.682
58403765,52,38.97083333333333,140.94375,14.63
58403766,95,38.97083333333333,140.95624999999998,13.584
58403767,19,38.97083333333333,140.96875,12.543
58403768,23,38.97083333333333,140.98125,11.509
58403769,80,38.97083333333333,140.99375,10.485
58403772,19,38.979166666666664,140.90625,18.0
58403773,77,38.979166666666664,140.91875,16.955
58403774,63,38.979166666666664,140.93125,15.914
58403775,3,38.979166666666664,140.94375,14.879
58403776,42,38.979166666666664,140.95624999999998,13.851
58403778,18,38.979166666666664,140.98125,11.712
58403779,27,38.979166666666664,140.99375,10.631
58403782,21,38.987500000000004,140.90625,18.206
58403783,5,38.987500000000004,140.91875,17.127
58403786,2,38.987500000000004,140.95624999999998,13.889
58403787,7,38.987500000000004,140.96875,12.81
58403788,19,38.987500000000004,140.98125,11.732
58403789,5,38.987500000000004,140.99375,10.654
58403791,1,38.99583333333334,140.89374999999998,19.342
58403792,8,38.99583333333334,140.90625,18.266
58403796,44,38.99583333333334,140.95624999999998,13.967
58403797,35,38.99583333333334,140.96875,12.895
58403798,7,38.99583333333334,140.98125,11.824
58403799,14,38.99583333333334,140.99375,10.756
58404619,13,39.0125,140.86875,20.884
58404706,3,39.00416666666667,140.95624999999998,14.106
58404707,9,39.00416666666667,140.96875,13.045
58404708,30,39.00416666666667,140.98125,11.988
58404709,47,39.00416666666667,140.99375,10.936
58404710,12,39.0125,140.88125,20.008
58404711,5,39.0125,140.89374999999998,19.152
58404719,19,39.0125,140.99375,11.19
58404729,3,39.020833333333336,140.99375,11.513
58404739,7,39.02916666666667,140.99375,11.776
58404799,35,39.07916666666667,140.99375,7.79
58405708,21,39.0875,140.98125,8.247
58405709,51,39.0875,140.99375,7.291
58405717,49,39.09583333333333,140.96875,8.91
58405718,50,39.09583333333333,140.98125,7.888
58405719,44,39.09583333333333,140.99375,6.882
58405727,10,39.104166666666664,140.96875,8.678
58405728,61,39.104166666666664,140.98125,7.624
58405729,68,39.104166666666664,140.99375,6.579
58405735,11,39.1125,140.94375,10.689
58405736,6,39.1125,140.95624999999998,9.614
58405737,34,39.1125,140.96875,8.54
58405738,24,39.1125,140.98125,7.467
58405739,61,39.1125,140.99375,6.396
58405745,30,39.12083333333333,140.94375,10.659
58405746,94,39.12083333333333,140.95624999999998,9.58
58405747,88,39.12083333333333,140.96875,8.502
58405748,83,39.12083333333333,140.98125,7.424
58405749,21,39.12083333333333,140.99375,6.346
58405757,26,39.12916666666666,140.96875,8.564
58405758,174,39.12916666666666,140.98125,7.495
58405759,151,39.12916666666666,140.99375,6.429
58405767,10,39.137499999999996,140.96875,8.725
58405768,2,39.137499999999996,140.98125,7.679
58405769,15,39.137499999999996,140.99375,6.642
58405778,13,39.14583333333333,140.98125,7.967
58405779,2,39.14583333333333,140.99375,6.973
58405788,18,39.15416666666667,140.98125,8.348
58405789,66,39.15416666666667,140.99375,7.406
58405799,25,39.1625,140.99375,7.924
58406729,19,39.1875,140.99375,8.761
58406749,12,39.204166666666666,140.99375,8.833
58406751,10,39.2125,140.89374999999998,15.673
58406786,14,39.237500000000004,140.95624999999998,9.985
58406788,6,39.237500000000004,140.98125,8.704
58406789,17,39.237500000000004,140.99375,8.202
58406798,7,39.24583333333334,140.98125,7.924
58406799,104,39.24583333333334,140.99375,7.369
58407527,2,39.270833333333336,140.71875,8.229
58407537,13,39.27916666666667,140.71875,7.578
58407548,52,39.2875,140.73125,6.159
58407557,6,39.295833333333334,140.71875,6.479
