company,store_name,address
その他,アリスドラッグ,岩手県一関市千厩町千厩東小田９０
その他,ウメダドラッグストアー,岩手県二戸市石切所枋ノ木４９−４
その他,スーパードラッグアサヒ クラソ・プレイス北上店,岩手県北上市本通り２丁目２−１クラソ・プレイス北上1F
その他,スーパードラッグアサヒ 二戸店,岩手県二戸市堀野大谷地５７−１
その他,スーパードラッグアサヒ一戸店,岩手県二戸郡一戸町一戸砂森１２３−１
その他,ツルハ高木店,岩手県花巻市高木第１６地割６−１
その他,ドラッグふじや,岩手県二戸市浄法寺町下前田２７−５
その他,ドラッグストアアオキ秋葉町,岩手県奥州市水沢秋葉町１３７
その他,ハッピー,岩手県久慈市川崎町７−２５
その他,ハッピーヒルファーム,岩手県岩手郡岩手町土川第４地割９１−７４
その他,ハッピーライスいわて丸福,岩手県紫波郡矢巾町東徳田第１４地割２
その他,ファミリードラッグ たきじゅう,岩手県二戸市金田一八ツ長１２５−１
その他,ヘルシードラッグまつや,岩手県盛岡市好摩夏間木８３−１２
その他,レモンドラッグ,岩手県盛岡市館向町３８−１
その他,特定非営利活動法人ハックの家,岩手県下閉伊郡田野畑村菅窪２０−２
ウエルシア,ウエルシアアクロスプラザ盛岡店,岩手県盛岡市津志田南１丁目１−７アクロスプラザ盛岡内
ウエルシア,ウエルシアイオンタウン盛岡駅前店,岩手県盛岡市盛岡駅前北通１１−３０
ウエルシア,ウエルシア一関山目店,岩手県一関市山前田53−１
ウエルシア,ウエルシア一関山目店,岩手県一関市山目前田53-1
ウエルシア,ウエルシア一関末広店,岩手県一関市末広１丁目８−１８
ウエルシア,ウエルシア北上さくら通り店,岩手県北上市さくら通り１丁目１−３４
ウエルシア,ウエルシア奥州江刺店,岩手県奥州市江刺八日町１丁目４−１０−２
ウエルシア,ウエルシア水沢大畑店,岩手県奥州市水沢大畑小路３１
ウエルシア,ウエルシア水沢大畑店,岩手県奥州市水沢字大畑小路31
ウエルシア,ウエルシア水沢桜屋敷店,岩手県奥州市水沢桜屋敷２９１−１
ウエルシア,ウエルシア水沢桜屋敷店,岩手県奥州市水沢字桜屋敷291-1
ウエルシア,ウエルシア盛岡前九年店,岩手県盛岡市前九年３丁目６−２６
ウエルシア,ウエルシア盛岡本宮店,岩手県盛岡市本宮６丁目１−６５
ウエルシア,ウエルシア盛岡本町通店,岩手県盛岡市本町通２丁目１３−８
ウエルシア,ウエルシア盛岡永井店,岩手県盛岡市永井２２地割37−１
