市区町村,人口,店舗数,人口10万人当たり店舗数
盛岡市,289731.0,78,26.92
宮古市,50369.0,13,25.81
大船渡市,34728.0,13,37.43
花巻市,93193.0,27,28.97
北上市,93045.0,27,29.02
久慈市,33043.0,12,36.32
遠野市,25366.0,7,27.6
一関市,111932.0,23,20.55
陸前高田市,18262.0,8,43.81
釜石市,32078.0,8,24.94
二戸市,25513.0,9,35.28
八幡平市,24023.0,4,16.65
奥州市,112937.0,29,25.68
滝沢市,55579.0,14,25.19
岩手郡雫石町,15731.0,2,12.71
岩手郡葛巻町,5634.0,1,17.75
岩手郡岩手町,12285.0,5,40.7
紫波郡紫波町,32147.0,10,31.11
紫波郡矢巾町,28056.0,8,28.51
和賀郡西和賀町,5134.0,1,19.48
胆沢郡金ケ崎町,15535.0,3,19.31
西磐井郡平泉町,7252.0,2,27.58
気仙郡住田町,5045.0,1,19.82
上閉伊郡大槌町,11004.0,3,27.26
下閉伊郡山田町,14320.0,4,27.93
下閉伊郡岩泉町,8726.0,3,34.38
下閉伊郡田野畑村,3059.0,1,32.69
下閉伊郡普代村,2487.0,0,0.0
九戸郡軽米町,8421.0,1,11.88
九戸郡野田村,3936.0,0,0.0
九戸郡九戸村,5378.0,1,18.59
九戸郡洋野町,15091.0,2,13.25
二戸郡一戸町,11494.0,3,26.1
