市区町村,人口,重心緯度,重心経度,最寄り店舗距離_km,最寄り店舗名
盛岡市,289731.0,39.7469504865,141.25935505678504,8.436,薬王堂 盛岡三ツ割店
宮古市,50369.0,39.635006356000005,141.6533506904584,22.028,ツルハドラッグ 宮古千徳店
大船渡市,34728.0,39.0943781215,141.72172563306356,0.688,薬王堂 大船渡店
花巻市,93193.0,39.418715752,141.11900179041712,0.791,薬王堂花巻西宮野目店
北上市,93045.0,39.3278290855,140.9720775520937,5.872,薬王堂 北上和賀店
久慈市,33043.0,40.1517765675,141.67272188249447,8.198,薬王堂 久慈西の沢店
遠野市,25366.0,39.375297667,141.47919217854582,5.881,ドラッグストア マツモトキヨシ 遠野店
一関市,111932.0,38.954842365000005,141.30593565209938,4.83,薬王堂 一関大東店
陸前高田市,18262.0,39.032250166500006,141.5746297726765,3.728,薬王堂 高田滝の里店
釜石市,32078.0,39.290098973,141.79925010330214,4.113,薬王堂 釜石店
二戸市,25513.0,40.2307574595,141.1488686208445,5.145,ドラッグふじや
八幡平市,24023.0,40.0437277205,140.99495165566935,13.381,薬王堂 西根平舘店
奥州市,112937.0,39.1519430675,141.2203952024131,3.743,薬王堂 江刺愛宕店
滝沢市,55579.0,39.7845824325,141.0847100751808,3.963,カワチ薬品 巣子店
岩手郡雫石町,15731.0,39.701984739,140.91981943359337,4.872,薬王堂 岩手雫石店
岩手郡葛巻町,5634.0,40.0138479595,141.42594468882083,3.322,薬王堂 岩手葛巻店
岩手郡岩手町,12285.0,39.957368725500004,141.25465210370209,3.257,薬王堂 沼宮内北店
紫波郡紫波町,32147.0,39.545372086,141.13056559063457,2.864,薬王堂 紫波桜町店
紫波郡矢巾町,28056.0,39.610427446,141.12224589305524,2.264,㈱薬王堂 岩手ドライセンター
和賀郡西和賀町,5134.0,39.384612698,140.7609094535,6.924,薬王堂 岩手西和賀店
胆沢郡金ケ崎町,15535.0,39.1944587525,141.02434776361315,6.108,薬王堂 岩手金ケ崎店
西磐井郡平泉町,7252.0,38.989137559,141.1010178084157,1.633,薬王堂 岩手平泉店
気仙郡住田町,5045.0,39.1812085725,141.53606967932484,5.218,薬王堂 岩手住田店
上閉伊郡大槌町,11004.0,39.436492387499996,141.79115935942554,12.465,ツルハドラッグ 大槌店
下閉伊郡山田町,14320.0,39.481195527,141.8910909820365,5.349,ツルハドラッグ 岩手山田店
下閉伊郡岩泉町,8726.0,39.8623936805,141.68840254676326,8.748,ツルハドラッグ 岩泉店
下閉伊郡田野畑村,3059.0,39.923705766,141.86088949265886,2.854,特定非営利活動法人ハックの家
下閉伊郡普代村,2487.0,40.008643018,141.85942048315616,9.757,特定非営利活動法人ハックの家
九戸郡軽米町,8421.0,40.299032,141.47113197349756,2.549,薬王堂 岩手軽米店
九戸郡野田村,3936.0,40.074516162,141.78354779698185,5.34,薬王堂 岩手野田店
九戸郡九戸村,5378.0,40.1918437745,141.4372778350539,3.808,薬王堂 岩手九戸店
九戸郡洋野町,15091.0,40.3320822385,141.6775236044252,9.34,薬王堂 岩手洋野店
二戸郡一戸町,11494.0,40.141324031500005,141.2621749668424,7.966,薬王堂 岩手一戸店
