company,store_name,address,place_id,latitude,longitude,source
ドラッグストアモリ,ドラッグストアモリ 宮城亘理店,宮城県亘理郡亘理町逢隈高屋柴北１６５−１,ChIJNXcrMkkXil8RhsMud5BKqaQ,38.0414685,140.8735049,google_places
ツルハドラッグ,ツルハドラッグ 亘理店,宮城県亘理郡亘理町逢隈高屋柴北１００,ChIJB0K_0OoWil8R2svt-ULgVyw,38.0419288,140.8776233,google_places
薬王堂,薬王堂 宮城亘理店,宮城県亘理郡亘理町東郷１９９−１,ChIJk3zQyJYWil8RCtQYXxXFsGY,38.0403208,140.8680209,google_places
ツルハドラッグ,ツルハドラッグ 亘理逢隈店,宮城県亘理郡亘理町逢隈鹿島西鹿島１,ChIJD_dml2IWil8RDllEYRuWVdo,38.0483844,140.8509989,google_places
薬王堂,薬王堂 亘理祝田店,宮城県亘理郡亘理町祝田２５−１,ChIJi1e_DOcVil8RWpSo_3lGWVQ,38.0358649,140.8480259,google_places
薬王堂,薬王堂 亘理荒浜店,宮城県亘理郡亘理町逢隈高屋倉東２０,ChIJw_MmDwAXil8RoApvJey4FYA,38.0428642,140.8906798,google_places
クスリのアオキ,クスリのアオキ 逢隈店,宮城県亘理郡亘理町逢隈牛袋南谷地添１７,ChIJDaCmZQAXil8R6p-2AwfFneQ,38.0722753,140.8694724,google_places
亘理ショッピングセンター,亘理ショッピングセンター,宮城県亘理郡亘理町逢隈高屋柴北１００,ChIJ3a_NsXYXil8RqpCrDKCe9fM,38.0421824,140.8764883,google_places
アイン薬局,アイン薬局 亘理店,宮城県亘理郡亘理町上茨田４−９,ChIJA24QUJkWil8RTQQWs6j3P_0,38.0369735,140.8598861,google_places
スーパーセンタートライアル亘理店,スーパーセンタートライアル亘理店,宮城県亘理郡亘理町逢隈牛袋谷地添40番地1,ChIJwwGX36EXil8RXa9vxBbpiy0,38.0748871,140.8714248,google_places
いとう薬局亘理店,いとう薬局亘理店,宮城県亘理郡亘理町狐塚１−１,ChIJD2RdpLMXil8RhP5La-k7QNY,38.0396235,140.8675912,google_places
ツルハドラッグ,ツルハドラッグ 宮城山元店,宮城県亘理郡山元町山寺石田45番１,ChIJ685ht_ESil8RUZaVMStek64,37.972268,140.8744393,google_places
さざんか薬局,さざんか薬局,宮城県亘理郡亘理町中町東１６８−３,ChIJj35EtJ8Wil8Repyyw8XQANE,38.0341245,140.8572433,google_places
城南薬局,城南薬局,宮城県亘理郡亘理町舘南８５−１７,ChIJC6bKpCEUil8RGDmSYquGsIA,38.0318994,140.8528333,google_places
薬王堂亘理荒浜店,薬王堂亘理荒浜店,宮城県亘理郡亘理町逢隈高屋倉東１７−１,ChIJicBo4MIWil8RqXtWrsJFSJU,38.0428328,140.8902188,google_places
くすりのおおくま,くすりのおおくま,宮城県亘理郡亘理町逢隈下郡明神１７４−２,ChIJfxcbNkkWil8RY3CSRbLF3BI,38.0655977,140.8608932,google_places
もみのき薬局,もみのき薬局,宮城県亘理郡亘理町逢隈中泉中１２３−１,ChIJaSIDssYXil8R678T5ydNtTE,38.079155,140.874664,google_places
やまや,やまや 亘理店,宮城県亘理郡亘理町中町東４３−１,ChIJh26xPJ4Wil8RawN1KkTqibA,38.0344651,140.8555055,google_places
未来屋書店,未来屋書店 亘理店,宮城県亘理郡亘理町逢隈高屋柴北１００亘理ショッピングセンター内,ChIJ6SSyz5QWil8RGthLUqcpQAg,38.042128,140.8756598,google_places
ローソン,ローソン 亘理高屋店,宮城県亘理郡亘理町逢隈高屋石堂１７４−３,ChIJxSYk4-kWil8RqPK5bbgSoig,38.0430841,140.8847522,google_places
薬王堂,薬王堂 山元SC店,宮城県亘理郡山元町つばめの杜１丁目６,ChIJQU4Upo4Sil8RPCuORkYmzxQ,37.9667959,140.888419,google_places
アイン薬局,アイン薬局 亘理山元店,宮城県亘理郡山元町高瀬合戦原１１１−２,ChIJ4bUFsWoNil8RNG8JNd693Tg,37.9411147,140.8944701,google_places
ドラッグストアモリ,ドラッグストアモリ 角田店,宮城県角田市角田大町１３−１,ChIJo-chcndtil8R39lGO-vG5uo,37.9790476,140.7827897,google_places
つばめ薬局,つばめ薬局,宮城県,ChIJJ43BV5cSil8ROEZvailc48o,37.9598635,140.8819788,google_places
ひまわり薬局,ひまわり薬局,宮城県亘理郡山元町坂元道合６８−４,ChIJ57GEU9Nyil8RI0VAGDEPa0A,37.9256204,140.8976151,google_places
調剤薬局エーゲ海,調剤薬局エーゲ海,宮城県亘理郡山元町山寺石田２０−１,ChIJFztXAfISil8RSeLEz57fh7Y,37.970637,140.875104,google_places
ショッピングパーク亘理,ショッピングパーク亘理,宮城県,ChIJi5yI4yAUil8RfblBKjQ9bSA,38.0332441,140.8528644,google_places
薬王堂,薬王堂 福島新地店,宮城県福島県相馬郡新地町谷地小屋中田３５−１,ChIJ3zYKq-N1il8R7WD_kxO2zY0,37.878244,140.9174433,google_places
ツルハドラッグ,ツルハドラッグ 新地店,宮城県福島県相馬郡新地町谷地小屋樋ノ口36番地1,ChIJda9cbll1il8RVNDcKRB4tq4,37.8785059,140.9158007,google_places
ウエルシア,ウエルシア仙台あすと長町店,宮城県仙台市太白区八本松２丁目２−８,ChIJ5zf5Zcgnil8Rva1x4HlicC8,38.2298336,140.8902913,google_places
ツルハドラッグ,ツルハドラッグ 長町南店,宮城県仙台市太白区長町南４丁目１３−２,ChIJq6qqqjkmil8Ra4ginqFKRRQ,38.2211608,140.8722451,google_places
ツルハドラッグ,ツルハドラッグ 仙台太子堂店,宮城県仙台市太白区諏訪町１−７,ChIJozX6H1Amil8Rb5vAE5yT3sA,38.2162318,140.8838158,google_places
セイムス,ドラッグセイムス仙台西中田店,宮城県仙台市太白区西中田５丁目１７−７５,ChIJvYe2k4Qmil8R1LFF9SbEits,38.19502629999999,140.8744587,google_places
ウエルシア,ウエルシア仙台八木山南店,宮城県仙台市太白区八木山南２丁目１291F,ChIJycVvVicpil8R-FN2BUYm0Ro,38.2356449,140.8380757,google_places
ツルハドラッグ,ツルハドラッグ 大野田店,宮城県仙台市太白区大野田３丁目１１−１５,ChIJee3mzF0mil8RsckdYUB1cX8,38.2098518,140.8784151,google_places
ツルハドラッグ,ツルハドラッグ あすと長町店,宮城県仙台市太白区あすと長町４丁目３−５,ChIJRThx4bQnil8RLz9xteJE_I0,38.224185,140.887708,google_places
