KEY_CODE,人口,緯度,経度,最寄り店舗距離_km
56405558,9,37.795833333333334,140.73125,11.248
56405559,38,37.795833333333334,140.74375,11.174
56405569,11,37.80416666666667,140.74375,11.952
56405576,9,37.8125,140.70624999999998,9.545
56405577,9,37.8125,140.71875,10.566
56405578,7,37.8125,140.73125,11.257
56405586,18,37.82083333333334,140.70624999999998,9.224
56405587,10,37.82083333333334,140.71875,10.276
56405588,7,37.82083333333334,140.73125,10.362
56405595,2,37.82916666666667,140.69375,7.917
56405596,12,37.82916666666667,140.70624999999998,8.988
56405597,35,37.82916666666667,140.71875,9.854
56405598,80,37.82916666666667,140.73125,9.474
56405599,2,37.82916666666667,140.74375,9.209
56405633,2,37.77916666666667,140.79375,10.221
56405634,8,37.77916666666667,140.80625,9.776
56405662,2,37.80416666666667,140.78125,11.457
56405668,25,37.80416666666667,140.85625,4.876
56405676,6,37.8125,140.83124999999998,7.08
56405677,19,37.8125,140.84375,5.986
56405680,4,37.82083333333334,140.75625,9.994
56405681,5,37.82083333333334,140.76874999999998,9.988
56405683,4,37.82083333333334,140.79375,10.33
56405686,7,37.82083333333334,140.83124999999998,7.213
56405687,16,37.82083333333334,140.84375,6.142
56405691,2,37.82916666666667,140.76874999999998,9.062
56405693,7,37.82916666666667,140.79375,9.438
56405694,20,37.82916666666667,140.80625,9.563
56405695,32,37.82916666666667,140.81875,8.505
56405696,36,37.82916666666667,140.83124999999998,7.459
56405697,27,37.82916666666667,140.84375,6.43
56405698,3,37.82916666666667,140.85625,5.428
56406489,1,37.904166666666676,140.61875,5.043
56406496,15,37.91250000000001,140.58124999999998,5.556
56406497,146,37.91250000000001,140.59375,6.043
56406498,23,37.91250000000001,140.60625,5.899
56406499,5,37.91250000000001,140.61875,5.958
56406507,28,37.837500000000006,140.71875,9.011
56406508,23,37.837500000000006,140.73125,8.593
56406518,9,37.84583333333334,140.73125,7.723
56406519,9,37.84583333333334,140.74375,7.395
56406527,7,37.85416666666667,140.71875,7.384
56406528,24,37.85416666666667,140.73125,6.868
56406529,17,37.85416666666667,140.74375,6.497
56406536,6,37.862500000000004,140.70624999999998,7.316
56406538,4,37.862500000000004,140.73125,6.034
56406539,6,37.862500000000004,140.74375,5.609
56406545,2,37.87083333333334,140.69375,7.526
56406546,24,37.87083333333334,140.70624999999998,6.669
56406549,7,37.87083333333334,140.74375,4.734
56406555,4,37.87916666666667,140.69375,7.022
56406556,39,37.87916666666667,140.70624999999998,6.095
56406557,10,37.87916666666667,140.71875,5.233
56406558,11,37.87916666666667,140.73125,4.476
56406566,6,37.8875,140.70624999999998,5.616
56406567,10,37.8875,140.71875,4.667
56406569,3,37.8875,140.74375,3.079
56406571,2,37.895833333333336,140.64374999999998,5.068
56406573,23,37.895833333333336,140.66875,6.628
56406574,27,37.895833333333336,140.68125,7.374
56406575,1,37.895833333333336,140.69375,6.309
56406577,30,37.895833333333336,140.71875,4.229
56406578,25,37.895833333333336,140.73125,3.245
56406579,18,37.895833333333336,140.74375,2.364
56406580,21,37.904166666666676,140.63125,5.341
56406581,11,37.904166666666676,140.64374999999998,5.834
56406582,18,37.904166666666676,140.65625,6.477
56406583,12,37.904166666666676,140.66875,7.23
56406584,28,37.904166666666676,140.68125,7.224
56406585,32,37.904166666666676,140.69375,6.134
56406587,20,37.904166666666676,140.71875,3.963
