company,store_name,address
(有)クスリのヤシマ堂,(有)クスリのヤシマ堂,宮城県栗原市一迫真坂高橋７−７
くすりのいしかわ,くすりのいしかわ,宮城県黒川郡大郷町大松沢築道西９１−１
くすりのおおくま,くすりのおおくま,宮城県亘理郡亘理町逢隈下郡明神１７４−２
くすりの高橋,くすりの高橋,宮城県多賀城市中央３丁目１−２５
アークドラッグ,アークドラッグ 仙台泉店,宮城県仙台市泉区大沢３丁目９−１ホームセンタームサシ仙台泉店内
イオンドラッグ,イオンドラッグ新利府,宮城県宮城郡利府町新中道３丁目１−１
イオンドラッグ,イオンドラッグ船岡店,宮城県柴田郡柴田町西船迫２丁目１−１５
ウエルシア,PUDOステーション ウエルシア仙台沖野店,宮城県仙台市若林区沖野２丁目１６−２０望月製餡所
ウエルシア,ウエルシア仙台あすと長町店,宮城県仙台市太白区八本松２丁目２−８
ウエルシア,ウエルシア仙台中山店,宮城県仙台市青葉区中山５丁目２−３
ウエルシア,ウエルシア仙台八乙女中央店,宮城県仙台市泉区八乙女中央５丁目１３−１１
ウエルシア,ウエルシア仙台八木山南店,宮城県仙台市太白区八木山南２丁目１291F
ウエルシア,ウエルシア仙台富沢西店,宮城県仙台市太白区富沢西４丁目２０−１６
ウエルシア,ウエルシア仙台市名坂店,宮城県仙台市泉区市名坂山岸５１−３
ウエルシア,ウエルシア仙台木町通店,宮城県仙台市青葉区木町通１丁目８−１
ウエルシア,ウエルシア仙台柳生店,宮城県仙台市太白区柳生３丁目４−２
ウエルシア,ウエルシア仙台沖野店,宮城県仙台市若林区沖野２丁目１６−２０
ウエルシア,ウエルシア仙台泉中央一丁目店,宮城県仙台市泉区泉中央１丁目20−１
ウエルシア,ウエルシア仙台泉中央店,宮城県仙台市泉区泉中央４丁目20−１
ウエルシア,ウエルシア仙台泉高森店,宮城県仙台市泉区高森４丁目２−５３９
ウエルシア,ウエルシア仙台落合2丁目店,宮城県仙台市青葉区落合２丁目１６−１
ウエルシア,ウエルシア仙台長命ケ丘店,宮城県仙台市泉区長命ケ丘４丁目１−１
ウエルシア,ウエルシア仙台鶴が丘店,宮城県仙台市泉区鶴が丘１丁目３７−２
ウエルシア,ウエルシア利府青山店,宮城県宮城郡利府町青山２丁目１−９
ウエルシア,ウエルシア古川中里店,宮城県大崎市古川中里２丁目７−１
ウエルシア,ウエルシア名取増田店,宮城県名取市増田柳田5番地の1
ウエルシア,ウエルシア名取大手町店,宮城県名取市大手町５丁目3−２
ウエルシア,ウエルシア塩釜舟入店,宮城県塩竈市舟入２丁目３
ウエルシア,ウエルシア大河原高砂店,宮城県柴田郡大河原町高砂町２−７
ウエルシア,ウエルシア岩沼中央店,宮城県岩沼市中央４丁目１１−１３
ウエルシア,ウエルシア本塩釜駅前店,宮城県塩竈市海岸通１１−１
ウエルシア,ウエルシア石巻赤十字病院前店,宮城県石巻市あけぼの北１丁目1−７
ウエルシア,ウエルシア船岡中央店,宮城県柴田郡柴田町船岡中央３丁目１８−１０
カワチ薬品,カワチ薬品 あすと長町店,宮城県仙台市太白区あすと長町３丁目１２−２０
