市区町村,人口,店舗数,人口10万人当たり店舗数
仙台市,1096704.0,1,0.09
仙台市青葉区,311590.0,49,15.73
仙台市宮城野区,196732.0,25,12.71
仙台市若林区,141475.0,26,18.38
仙台市太白区,234758.0,44,18.74
仙台市泉区,212149.0,42,19.8
石巻市,140151.0,32,22.83
塩竈市,52203.0,8,15.32
気仙沼市,61147.0,15,24.53
白石市,32758.0,9,27.47
名取市,78718.0,19,24.14
角田市,27976.0,7,25.02
多賀城市,62827.0,8,12.73
岩沼市,44068.0,12,27.23
登米市,76037.0,17,22.36
栗原市,64637.0,12,18.57
東松島市,39098.0,8,20.46
大崎市,127330.0,29,22.78
富谷市,51651.0,9,17.42
蔵王町,11418.0,0,0.0
七ヶ宿町,1262.0,0,0.0
大河原町,23571.0,0,0.0
村田町,10666.0,0,0.0
柴田町,38271.0,0,0.0
川崎町,8345.0,0,0.0
丸森町,12262.0,0,0.0
亘理町,33087.0,0,0.0
山元町,12046.0,0,0.0
松島町,13323.0,0,0.0
七ヶ浜町,18132.0,0,0.0
利府町,35182.0,0,0.0
大和町,28786.0,0,0.0
大郷町,7813.0,0,0.0
大衡村,5849.0,0,0.0
色麻町,6698.0,0,0.0
加美町,21943.0,0,0.0
涌谷町,15388.0,0,0.0
美里町,23994.0,0,0.0
女川町,6430.0,0,0.0
南三陸町,12225.0,0,0.0
