市区町村,人口,重心緯度,重心経度,最寄り店舗距離_km,最寄り店舗名
仙台市青葉区,311590.0,38.3454653335,140.6561362298596,11.114,薬王堂 仙台愛子店
仙台市宮城野区,196732.0,38.2852689865,140.93179021939142,0.524,ツルハドラッグ 仙台新田東店
仙台市若林区,141475.0,38.217803751999995,140.9486404089285,1.513,ドラッグストアモリ六郷店
仙台市太白区,234758.0,38.276097067500004,140.587393752674,11.062,薬王堂 宮城川崎店
仙台市泉区,212149.0,38.3606628335,140.77933086697954,3.934,薬王堂 仙台泉紫山店
石巻市,140151.0,38.4519216665,141.32405199274228,1.804,ドラッグストアモリ 石巻中里店
塩竈市,52203.0,38.3260400315,141.02276577204583,0.498,ツルハドラッグ 塩釜店
気仙沼市,61147.0,38.871196706999996,141.52068571103814,3.782,ツルハドラッグ 気仙沼上田中店
白石市,32758.0,37.9981259865,140.60432522232884,0.633,薬王堂 白石店
名取市,78718.0,38.164452392,140.87574934942734,0.445,ツルハドラッグ 名取手倉田店
角田市,27976.0,37.99468722100001,140.7676480155896,1.76,ツルハドラッグ 角田店
多賀城市,62827.0,38.2953308605,140.99888567167116,0.643,ドラッグストア マツモトキヨシ 多賀城城南店
岩沼市,44068.0,38.097528081,140.87750752933454,0.607,ツルハドラッグ 岩沼南店
登米市,76037.0,38.685309766,141.21934320808685,0.918,薬王堂 登米迫森店
栗原市,64637.0,38.7958959145,140.94585680531569,4.529,薬王堂 栗駒SC店
東松島市,39098.0,38.4129425405,141.17906018846585,1.789,薬王堂 東松島鳴瀬店
大崎市,127330.0,38.682569779000005,140.87454458646533,4.412,ツルハドラッグ 宮城岩出山店
富谷市,51651.0,38.382324621500004,140.9023682250796,2.01,薬王堂 富谷成田店
蔵王町,11418.0,38.0920830135,140.6160483811691,3.515,ツルハドラッグ 宮城蔵王店
七ヶ宿町,1262.0,38.038343919,140.38601302102813,14.618,ドラッグヤマザワ 上山金生店
大河原町,23571.0,38.049565081,140.71386621504143,0.57,カワチ薬品 大河原店
村田町,10666.0,38.119713265499996,140.73220546982753,1.234,薬王堂 宮城村田店
柴田町,38271.0,38.0884716935,140.79386840182525,0.977,薬王堂 柴田槻木店
川崎町,8345.0,38.200567081,140.60916889809704,2.969,薬王堂 宮城川崎店
丸森町,12262.0,37.870213081,140.7721014566742,4.553,薬王堂 宮城丸森店
亘理町,33087.0,38.042372080999996,140.87501359470147,0.131,ツルハドラッグ 亘理店
山元町,12046.0,37.945946986500005,140.88563029750264,2.331,薬王堂 山元SC店
松島町,13323.0,38.4000847385,141.07177608761555,1.359,ツルハドラッグ 松島店
七ヶ浜町,18132.0,38.2991454325,141.06163573404206,0.644,ドラッグヤマザワ汐見台店
利府町,35182.0,38.341547468499996,140.97446857436324,0.792,ウエルシア利府青山店
大和町,28786.0,38.4217298195,140.80561971119124,6.761,薬王堂 宮城大富店
大郷町,7813.0,38.4343195,141.0175081110029,2.244,薬王堂 宮城大郷店
大衡村,5849.0,38.478407302,140.8701609493105,4.592,ドラッグヤマザワ吉岡店
色麻町,6698.0,38.510155,140.78697858843947,7.105,薬王堂 加美小野田店
加美町,21943.0,38.5816358335,140.72420410365459,6.134,薬王堂 加美小野田店
涌谷町,15388.0,38.5570993875,141.16426523348446,4.125,薬王堂 宮城涌谷店
美里町,23994.0,38.515548652999996,141.1159990915503,2.394,ツルハドラッグ 涌谷店
女川町,6430.0,38.4386080945,141.428955190804,1.2,ツルハドラッグ 宮城女川店
南三陸町,12225.0,38.673292892,141.4149546762652,2.536,薬王堂 宮城志津川店
