市区町村,総数,65歳以上,高齢化率
仙台市,1096704.0,263802.0,24.05407
仙台市青葉区,311590.0,71817.0,23.04856
仙台市宮城野区,196732.0,42180.0,21.44034
仙台市若林区,141475.0,31663.0,22.38063
仙台市太白区,234758.0,59763.0,25.45728
仙台市泉区,212149.0,58379.0,27.51792
石巻市,140151.0,47039.0,33.56309
塩竈市,52203.0,17801.0,34.09957
気仙沼市,61147.0,23613.0,38.61678
白石市,32758.0,11710.0,35.74699
名取市,78718.0,18094.0,22.98585
角田市,27976.0,10023.0,35.82714
多賀城市,62827.0,15787.0,25.12773
岩沼市,44068.0,11798.0,26.77226
登米市,76037.0,27023.0,35.53928
栗原市,64637.0,26331.0,40.73673
東松島市,39098.0,11588.0,29.63834
大崎市,127330.0,38856.0,30.51598
富谷市,51651.0,11171.0,21.62785
蔵王町,11418.0,4378.0,38.34297
七ヶ宿町,1262.0,583.0,46.19651
大河原町,23571.0,6552.0,27.79687
村田町,10666.0,3789.0,35.5241
柴田町,38271.0,11099.0,29.00107
川崎町,8345.0,3219.0,38.574
丸森町,12262.0,5305.0,43.26374
亘理町,33087.0,10432.0,31.529
山元町,12046.0,4944.0,41.04267
松島町,13323.0,5216.0,39.15034
七ヶ浜町,18132.0,5649.0,31.15486
利府町,35182.0,8681.0,24.67455
大和町,28786.0,6542.0,22.72633
大郷町,7813.0,3020.0,38.65353
大衡村,5849.0,1710.0,29.23577
色麻町,6698.0,2346.0,35.02538
加美町,21943.0,8141.0,37.10067
涌谷町,15388.0,5798.0,37.67871
美里町,23994.0,8553.0,35.64641
女川町,6430.0,2337.0,36.34526
南三陸町,12225.0,4710.0,38.52761
