KEY_CODE,人口,緯度,経度,最寄り店舗距離_km
58395740,26,39.12083333333333,139.88125,9.57
58395750,305,39.12916666666666,139.88125,8.667
58395760,247,39.137499999999996,139.88125,7.769
58395761,29,39.137499999999996,139.89374999999998,7.559
58395770,54,39.14583333333333,139.88125,6.879
58395771,140,39.14583333333333,139.89374999999998,6.641
58395772,6,39.14583333333333,139.90625,6.573
58395781,114,39.15416666666667,139.89374999999998,5.726
58395782,28,39.15416666666667,139.90625,5.647
58395791,8,39.1625,139.89374999999998,4.815
58395792,377,39.1625,139.90625,4.72
58396702,170,39.170833333333334,139.90625,3.794
58396705,226,39.170833333333334,139.94375,5.063
58396706,91,39.170833333333334,139.95624999999998,5.832
58396707,39,39.170833333333334,139.96875,6.688
58396708,34,39.170833333333334,139.98125,7.6
58396712,48,39.17916666666667,139.90625,2.868
58396715,43,39.17916666666667,139.94375,4.411
58396716,44,39.17916666666667,139.95624999999998,5.277
58396717,156,39.17916666666667,139.96875,6.209
58396718,81,39.17916666666667,139.98125,7.182
58396722,278,39.1875,139.90625,1.943
58396724,7,39.1875,139.93125,2.99
58396725,276,39.1875,139.94375,3.874
58396727,25,39.1875,139.96875,5.839
58396732,1838,39.19583333333333,139.90625,1.02
58396733,541,39.19583333333333,139.91875,1.569
58396735,31,39.19583333333333,139.94375,3.503
58396736,65,39.19583333333333,139.95624999999998,4.545
58396737,76,39.19583333333333,139.96875,5.6
58396741,636,39.204166666666666,139.89374999999998,0.93
58396742,1875,39.204166666666666,139.90625,0.149
58396743,2,39.204166666666666,139.91875,1.202
58396745,174,39.204166666666666,139.94375,3.354
58396746,55,39.204166666666666,139.95624999999998,4.431
58396751,1026,39.2125,139.89374999999998,1.033
58396752,459,39.2125,139.90625,0.762
58396753,6,39.2125,139.91875,1.448
58396755,17,39.2125,139.94375,3.457
58396756,109,39.2125,139.95624999999998,4.509
58396757,26,39.2125,139.96875,5.571
58396758,7,39.2125,139.98125,6.637
58396761,27,39.22083333333333,139.89374999999998,0.725
58396762,145,39.22083333333333,139.90625,0.41
58396767,67,39.22083333333333,139.96875,5.759
58396775,299,39.229166666666664,139.94375,3.766
58396776,15,39.229166666666664,139.95624999999998,4.807
58396777,116,39.229166666666664,139.96875,5.86
58396782,3,39.237500000000004,139.90625,2.058
58396783,280,39.237500000000004,139.91875,2.49
58396784,132,39.237500000000004,139.93125,3.237
58396785,3,39.237500000000004,139.94375,4.132
58396786,56,39.237500000000004,139.95624999999998,5.098
58396787,116,39.237500000000004,139.96875,5.254
58396788,34,39.237500000000004,139.98125,5.351
58396793,222,39.24583333333334,139.91875,3.288
58396795,65,39.24583333333334,139.94375,4.657
58396796,164,39.24583333333334,139.95624999999998,4.474
58396797,82,39.24583333333334,139.96875,4.327
58397702,20,39.25416666666667,139.90625,3.895
58397703,1790,39.25416666666667,139.91875,4.139
58397704,106,39.25416666666667,139.93125,4.628
58397705,268,39.25416666666667,139.94375,4.058
58397706,72,39.25416666666667,139.95624999999998,3.586
58397707,88,39.25416666666667,139.96875,3.401
58397708,80,39.25416666666667,139.98125,3.548
58397712,67,39.2625,139.90625,4.819
58397713,813,39.2625,139.91875,4.827
58397716,112,39.2625,139.95624999999998,2.723
58397717,223,39.2625,139.96875,2.475
58397718,15,39.2625,139.98125,2.673
58397723,1,39.270833333333336,139.91875,4.303
58397724,8,39.270833333333336,139.93125,3.407
58397725,16,39.270833333333336,139.94375,2.649
58397726,304,39.270833333333336,139.95624999999998,1.921
58397727,444,39.270833333333336,139.96875,1.548
58397728,60,39.270833333333336,139.98125,1.849
58397734,107,39.27916666666667,139.93125,2.924
58397735,3,39.27916666666667,139.94375,1.99
58397736,456,39.27916666666667,139.95624999999998,1.296
58397737,399,39.27916666666667,139.96875,0.624
58397744,368,39.2875,139.93125,2.684
58397745,672,39.2875,139.94375,1.617
58397746,1474,39.2875,139.95624999999998,0.582
58397747,2275,39.2875,139.96875,0.312
58397756,148,39.295833333333334,139.95624999999998,0.844
58397757,1117,39.295833333333334,139.96875,0.848
58397767,61,39.30416666666667,139.96875,1.686
58397768,29,39.30416666666667,139.98125,1.801
58397799,58,39.32916666666667,139.99375,2.556
58403347,2,38.954166666666666,140.46875,11.959
58403359,32,38.9625,140.49375,11.432
58403367,18,38.97083333333333,140.46875,10.113
58403368,7,38.97083333333333,140.48125,10.274
58403369,95,38.97083333333333,140.49375,10.544
58403377,19,38.979166666666664,140.46875,9.191
58403378,81,38.979166666666664,140.48125,9.368
58403379,24,38.979166666666664,140.49375,9.663
58403387,24,38.987500000000004,140.46875,8.271
58403388,126,38.987500000000004,140.48125,8.467
58403389,1,38.987500000000004,140.49375,8.792
58403397,79,38.99583333333334,140.46875,7.351
58403423,14,38.9375,140.54375,15.663
58403433,1,38.94583333333333,140.54375,14.855
58403434,2,38.94583333333333,140.55625,15.426
58403442,4,38.954166666666666,140.53125,13.519
58403443,22,38.954166666666666,140.54375,14.061
58403444,2,38.954166666666666,140.55625,14.663
58403451,6,38.9625,140.51874999999998,12.203
58403452,125,38.9625,140.53125,12.709
58403461,21,38.97083333333333,140.51874999999998,11.375
58403462,66,38.97083333333333,140.53125,11.917
58403470,38,38.979166666666664,140.50625,10.066
58403471,25,38.979166666666664,140.51874999999998,10.564
58403488,2,38.987500000000004,140.60625,15.256
58403593,20,38.99583333333334,140.66875,18.785
58403671,5,38.979166666666664,140.76874999999998,25.227
58404249,12,39.0375,140.36875,8.103
58404254,11,39.045833333333334,140.30625,13.166
58404259,20,39.045833333333334,140.36875,7.848
58404264,10,39.05416666666667,140.30625,13.076
58404265,7,39.05416666666667,140.31875,11.999
58404275,13,39.0625,140.31875,11.972
58404282,17,39.07083333333334,140.28125,15.245
58404285,33,39.07083333333334,140.31875,12.017
58404292,18,39.07916666666667,140.28125,15.336
58404293,9,39.07916666666667,140.29375,14.267
58404294,17,39.07916666666667,140.30625,13.199
58404306,46,39.00416666666667,140.45624999999998,6.36
58404307,75,39.00416666666667,140.46875,6.434
58404316,260,39.0125,140.45624999999998,5.433
58404317,4,39.0125,140.46875,5.52
58404325,22,39.020833333333336,140.44375,4.658
58404326,36,39.020833333333336,140.45624999999998,4.507
58404335,99,39.02916666666667,140.44375,3.769
58404336,118,39.02916666666667,140.45624999999998,3.581
58404341,13,39.0375,140.39374999999998,6.104
58404345,3,39.0375,140.44375,2.903
58404346,144,39.0375,140.45624999999998,2.655
58404347,13,39.0375,140.46875,2.828
58404350,1,39.045833333333334,140.38125,6.799
58404351,48,39.045833333333334,140.39374999999998,5.762
58404352,69,39.045833333333334,140.40625,4.743
58404353,189,39.045833333333334,140.41875,3.758
58404355,33,39.045833333333334,140.44375,2.091
58404356,115,39.045833333333334,140.45624999999998,1.729
58404357,3,39.045833333333334,140.46875,1.984
58404360,1,39.05416666666667,140.38125,6.624
58404361,57,39.05416666666667,140.39374999999998,5.555
58404362,270,39.05416666666667,140.40625,4.489
58404363,291,39.05416666666667,140.41875,3.432
58404364,162,39.05416666666667,140.43125,2.396
58404365,376,39.05416666666667,140.44375,1.425
58404366,136,39.05416666666667,140.45624999999998,0.806
58404367,67,39.05416666666667,140.46875,1.264
58404371,5,39.0625,140.39374999999998,5.498
58404375,325,39.0625,140.44375,1.186
58404376,821,39.0625,140.45624999999998,0.162
58404377,62,39.0625,140.46875,0.987
58404378,14,39.0625,140.48125,2.062
58404379,45,39.0625,140.49375,3.14
58404380,6,39.07083333333334,140.38125,6.659
58404381,15,39.07083333333334,140.39374999999998,5.596
58404382,55,39.07083333333334,140.40625,4.541
58404386,323,39.07083333333334,140.45624999999998,1.059
58404387,221,39.07083333333334,140.46875,1.438
58404388,19,39.07083333333334,140.48125,2.312
58404389,42,39.07083333333334,140.49375,3.31
58404396,142,39.07916666666667,140.45624999999998,1.983
58404397,246,39.07916666666667,140.46875,2.209
58404398,145,39.07916666666667,140.48125,2.856
58404399,46,39.07916666666667,140.49375,3.71
58404408,2,39.00416666666667,140.60625,14.343
58404409,2,39.00416666666667,140.61875,15.318
58404417,2,39.0125,140.59375,12.968
58404419,8,39.0125,140.61875,14.956
58404427,9,39.020833333333336,140.59375,12.608
58404428,7,39.020833333333336,140.60625,13.621
58404429,10,39.020833333333336,140.61875,14.628
58404435,13,39.02916666666667,140.56875,10.26
58404436,29,39.02916666666667,140.58124999999998,11.278
58404445,3,39.0375,140.56875,9.974
58404448,27,39.0375,140.60625,12.563
58404454,10,39.045833333333334,140.55625,8.708
58404455,45,39.045833333333334,140.56875,9.768
58404458,8,39.045833333333334,140.60625,11.663
58404462,3,39.05416666666667,140.53125,6.426
58404464,26,39.05416666666667,140.55625,8.572
58404468,25,39.05416666666667,140.60625,10.768
58404469,64,39.05416666666667,140.61875,11.106
58404470,53,39.0625,140.50625,4.219
58404471,118,39.0625,140.51874999999998,5.298
58404472,138,39.0625,140.53125,6.377
58404477,181,39.0625,140.59375,9.619
58404478,43,39.0625,140.60625,9.878
58404479,40,39.0625,140.61875,10.245
58404480,65,39.07083333333334,140.50625,4.346
58404481,94,39.07083333333334,140.51874999999998,5.4
58404482,8,39.07083333333334,140.53125,6.461
58404486,36,39.07083333333334,140.58124999999998,8.552
58404487,138,39.07083333333334,140.59375,8.71
58404488,4,39.07083333333334,140.60625,8.996
58404492,23,39.07916666666667,140.53125,6.675
58404493,91,39.07916666666667,140.54375,7.712
58404496,127,39.07916666666667,140.58124999999998,7.629
58404497,210,39.07916666666667,140.59375,7.806
58404498,14,39.07916666666667,140.60625,8.124
58404499,4,39.07916666666667,140.61875,8.566
58404502,33,39.00416666666667,140.65625,17.486
58404503,87,39.00416666666667,140.66875,17.957
58404512,47,39.0125,140.65625,16.646
58404521,18,39.020833333333336,140.64374999999998,15.354
58404522,20,39.020833333333336,140.65625,15.815
58404531,151,39.02916666666667,140.64374999999998,14.509
58404540,53,39.0375,140.63125,13.227
58404541,47,39.0375,140.64374999999998,13.674
58404550,68,39.045833333333334,140.63125,12.375
58404552,4,39.045833333333334,140.65625,13.4
58404560,75,39.05416666666667,140.63125,11.535
58404561,45,39.05416666666667,140.64374999999998,12.045
58404562,49,39.05416666666667,140.65625,12.628
58404572,4,39.0625,140.65625,11.878
58404582,2,39.07083333333334,140.65625,11.155
58404583,7,39.07083333333334,140.66875,11.88
58404592,7,39.07916666666667,140.65625,10.464
58404596,3,39.07916666666667,140.70624999999998,13.792
58404597,10,39.07916666666667,140.71875,14.704
58405099,4,39.1625,140.11875,8.274
58405109,86,39.0875,140.24375,18.591
58405125,1,39.104166666666664,140.19375,15.301
58405134,2,39.1125,140.18125,14.108
58405135,8,39.1125,140.19375,14.422
58405143,5,39.12083333333333,140.16875,12.962
58405147,31,39.12083333333333,140.21875,14.436
58405156,28,39.12916666666666,140.20624999999998,13.119
58405157,10,39.12916666666666,140.21875,13.626
58405164,7,39.137499999999996,140.18125,11.443
58405165,11,39.137499999999996,140.19375,11.827
58405166,13,39.137499999999996,140.20624999999998,12.293
58405173,22,39.14583333333333,140.16875,10.25
58405174,66,39.14583333333333,140.18125,10.567
58405179,11,39.14583333333333,140.24375,13.398
58405182,12,39.15416666666667,140.15625,9.123
58405183,107,39.15416666666667,140.16875,9.355
58405189,91,39.15416666666667,140.24375,12.726
58405190,32,39.1625,140.13125,8.111
58405191,31,39.1625,140.14374999999998,8.089
58405192,77,39.1625,140.15625,8.209
58405193,3,39.1625,140.16875,8.466
58405194,3,39.1625,140.18125,8.848
58405195,3,39.1625,140.19375,9.339
58405198,16,39.1625,140.23125,11.31
58405199,3,39.1625,140.24375,12.088
58405200,19,39.0875,140.25625,17.607
58405201,15,39.0875,140.26874999999998,16.543
58405203,14,39.0875,140.29375,14.424
58405204,18,39.0875,140.30625,13.369
58405210,92,39.09583333333333,140.25625,17.169
