市区町村,人口,店舗数,人口10万人当たり店舗数
秋田市,307672.0,47,15.28
能代市,49968.0,16,32.02
横手市,85555.0,20,23.38
大館市,69237.0,17,24.55
男鹿市,25154.0,5,19.88
湯沢市,42091.0,10,23.76
鹿角市,29088.0,9,30.94
由利本荘市,74707.0,15,20.08
潟上市,31720.0,7,22.07
大仙市,77657.0,22,28.33
北秋田市,30198.0,8,26.49
にかほ市,23435.0,7,29.87
仙北市,24610.0,5,20.32
小坂町,4780.0,0,0.0
上小阿仁村,2063.0,0,0.0
藤里町,2896.0,0,0.0
三種町,15254.0,0,0.0
八峰町,6577.0,0,0.0
五城目町,8538.0,0,0.0
八郎潟町,5583.0,0,0.0
井川町,4566.0,0,0.0
大潟村,3011.0,0,0.0
美郷町,18613.0,0,0.0
羽後町,13825.0,0,0.0
東成瀬村,2704.0,0,0.0
