市区町村,人口,重心緯度,重心経度,最寄り店舗距離_km,最寄り店舗名
秋田市,307672.0,39.656944973,140.18603105075056,1.96,ツルハドラッグ 秋田御所野店
能代市,49968.0,40.210992234,140.1392703435747,5.719,ツルハドラッグ 東能代店
横手市,85555.0,39.2510925,140.58961347953868,5.376,薬王堂 十文字梨木店
大館市,69237.0,40.267672288,140.56831886051407,0.603,サンドラッグ 大館東台店
男鹿市,25154.0,39.964887054,139.87833977592896,6.284,ツルハドラッグ 男鹿払戸店
湯沢市,42091.0,39.045738338,140.52473646864422,6.067,薬王堂 湯沢雄勝店
鹿角市,29088.0,40.1950261665,140.81008763681496,1.569,ツルハドラッグ 鹿角店
由利本荘市,74707.0,39.3059734055,140.1701704447504,8.307,薬王堂 由利本荘矢島店
潟上市,31720.0,39.866159013499995,140.05942949464549,0.399,ツルハドラッグ 潟上昭和店
大仙市,77657.0,39.544428279,140.4840296533214,4.721,ツルハドラッグ 中仙店
北秋田市,30198.0,40.07524268,140.51940922556943,12.878,薬王堂北秋田米内沢店
にかほ市,23435.0,39.209288239,139.97311136961582,5.903,薬王堂 にかほ象潟店
仙北市,24610.0,39.775389266,140.66179401440579,10.093,ツルハドラッグ 田沢湖店
小坂町,4780.0,40.396706153,140.7485475103405,8.082,ハッピー・ドラッグ 秋田小坂店
上小阿仁村,2063.0,39.943739599500006,140.31047611931768,16.193,五城目中央ドラッグ
藤里町,2896.0,40.343456293,140.27185574384714,15.387,ツルハドラッグ 鷹巣店
三種町,15254.0,40.065903946,140.13358016568367,5.89,ツルハドラッグ 琴丘店
八峰町,6577.0,40.3580401125,140.08663160424544,5.346,薬王堂 秋田八峰店
五城目町,8538.0,39.919973027,140.20972975970034,8.139,五城目中央ドラッグ
八郎潟町,5583.0,39.959788234499996,140.07504303788178,1.78,ツルハドラッグ 八郎潟店
井川町,4566.0,39.8937560675,140.12411256804188,3.416,ベストドラッグ井川店
大潟村,3011.0,40.007385946,140.0062787668316,6.809,ツルハドラッグ 琴丘店
美郷町,18613.0,39.4248060945,140.60062341755844,3.874,薬王堂 秋田六郷店
羽後町,13825.0,39.1729791395,140.36284298970986,4.685,ツルハドラッグ 羽後店
東成瀬村,2704.0,39.083185666999995,140.7236719153521,14.849,薬王堂 湯沢稲川店
