市区町村,総数,65歳以上,高齢化率
秋田市,307672.0,97449.0,31.67302
能代市,49968.0,20775.0,41.57661
横手市,85555.0,33429.0,39.07311
大館市,69237.0,27151.0,39.21458
男鹿市,25154.0,11866.0,47.17341
湯沢市,42091.0,16944.0,40.25564
鹿角市,29088.0,11883.0,40.8519
由利本荘市,74707.0,27872.0,37.30842
潟上市,31720.0,11253.0,35.47604
大仙市,77657.0,29991.0,38.61983
北秋田市,30198.0,13450.0,44.53937
にかほ市,23435.0,9140.0,39.00149
仙北市,24610.0,10560.0,42.90939
小坂町,4780.0,2145.0,44.87448
上小阿仁村,2063.0,1107.0,53.65972
藤里町,2896.0,1413.0,48.79144
三種町,15254.0,6935.0,45.46348
八峰町,6577.0,3036.0,46.16086
五城目町,8538.0,4038.0,47.29445
八郎潟町,5583.0,2480.0,44.42056
井川町,4566.0,1987.0,43.5173
大潟村,3011.0,960.0,31.8831
美郷町,18613.0,7368.0,39.58524
羽後町,13825.0,5446.0,39.39241
東成瀬村,2704.0,1009.0,37.31509
