KEY_CODE,人口,緯度,経度,最寄り店舗距離_km
56396677,9,37.895833333333336,139.84375,19.785
56396686,8,37.904166666666676,139.83124999999998,18.495
56396687,26,37.904166666666676,139.84375,18.948
56396697,9,37.91250000000001,139.84375,18.119
56396698,6,37.91250000000001,139.85625,18.646
56396719,2,37.84583333333334,139.99375,10.877
56396758,25,37.87916666666667,139.98125,10.4
56396763,1,37.8875,139.91875,15.359
56396764,10,37.8875,139.93125,14.301
56396767,1,37.8875,139.96875,11.172
56396768,10,37.8875,139.98125,10.146
56396769,25,37.8875,139.99375,9.083
56396776,3,37.895833333333336,139.95624999999998,11.941
56396779,2,37.895833333333336,139.99375,8.793
56396784,4,37.904166666666676,139.93125,13.908
56396787,4,37.904166666666676,139.96875,10.665
56396790,10,37.91250000000001,139.88125,17.878
56396791,2,37.91250000000001,139.89374999999998,16.973
56396797,9,37.91250000000001,139.96875,10.526
56396798,15,37.91250000000001,139.98125,9.436
56397543,2,37.95416666666667,139.66875,13.467
56397545,41,37.95416666666667,139.69375,12.462
56397553,1,37.962500000000006,139.66875,12.686
56397554,36,37.962500000000006,139.68125,12.112
56397555,1,37.962500000000006,139.69375,11.614
56397564,12,37.97083333333334,139.68125,11.314
56397574,20,37.97916666666667,139.68125,10.537
56397577,12,37.97916666666667,139.71875,9.096
56397583,11,37.98750000000001,139.66875,10.438
56397587,9,37.98750000000001,139.71875,8.215
56397593,10,37.995833333333344,139.66875,9.724
56397608,38,37.92083333333334,139.85625,17.851
56397609,27,37.92083333333334,139.86875,17.821
56397619,9,37.929166666666674,139.86875,17.087
56397664,16,37.97083333333334,139.80625,10.847
56397665,14,37.97083333333334,139.81875,11.393
56397666,10,37.97083333333334,139.83124999999998,12.015
56397671,28,37.97916666666667,139.76874999999998,8.866
56397674,55,37.97916666666667,139.80625,10.033
56397682,16,37.98750000000001,139.78125,8.264
56397683,14,37.98750000000001,139.79375,8.698
56397684,45,37.98750000000001,139.80625,9.242
56397693,3,37.995833333333344,139.79375,7.881
56397694,90,37.995833333333344,139.80625,8.477
56397700,30,37.92083333333334,139.88125,17.187
56397701,16,37.92083333333334,139.89374999999998,16.453
56397708,13,37.92083333333334,139.98125,9.37
56397710,8,37.929166666666674,139.88125,16.425
56397711,1,37.929166666666674,139.89374999999998,15.812
56397712,7,37.929166666666674,139.90625,15.031
56397716,7,37.929166666666674,139.95624999999998,11.553
56397717,15,37.929166666666674,139.96875,10.489
56397718,69,37.929166666666674,139.98125,9.396
56397719,19,37.929166666666674,139.99375,8.303
56397728,27,37.93750000000001,139.98125,9.366
56397729,66,37.93750000000001,139.99375,8.435
56397738,142,37.94583333333334,139.98125,8.689
56397739,30,37.94583333333334,139.99375,7.95
56397748,50,37.95416666666667,139.98125,8.062
56397749,26,37.95416666666667,139.99375,7.26
56397758,24,37.962500000000006,139.98125,7.498
56397759,107,37.962500000000006,139.99375,6.627
56397769,36,37.97083333333334,139.99375,6.071
56397775,78,37.97916666666667,139.94375,8.798
56397776,7,37.97916666666667,139.95624999999998,8.344
56397779,1,37.97916666666667,139.99375,5.613
56397786,64,37.98750000000001,139.95624999999998,7.487
56397788,15,37.98750000000001,139.98125,6.339
56397789,30,37.98750000000001,139.99375,5.28
56397796,82,37.995833333333344,139.95624999999998,6.649
56397797,7,37.995833333333344,139.96875,6.231
56405039,29,37.77916666666667,140.11875,12.689
56405065,4,37.80416666666667,140.06875,10.269
56405097,58,37.82916666666667,140.09375,7.092
56405098,28,37.82916666666667,140.10625,7.057
56405178,12,37.8125,140.23125,13.575
56405180,18,37.82083333333334,140.13125,8.363
56405271,29,37.8125,140.26874999999998,11.755
56405272,20,37.8125,140.28125,10.773
56405282,1,37.82083333333334,140.28125,11.237
56406006,81,37.837500000000006,140.08124999999998,6.403
56406007,42,37.837500000000006,140.09375,6.172
56406008,7,37.837500000000006,140.10625,6.131
56406009,17,37.837500000000006,140.11875,6.285
56406013,15,37.84583333333334,140.04375,7.327
56406016,11,37.84583333333334,140.08124999999998,5.524
56406017,50,37.84583333333334,140.09375,5.254
56406019,33,37.84583333333334,140.11875,5.386
56406023,7,37.85416666666667,140.04375,6.702
56406025,6,37.85416666666667,140.06875,5.202
56406026,2,37.85416666666667,140.08124999999998,4.663
56406027,88,37.85416666666667,140.09375,4.34
56406028,90,37.85416666666667,140.10625,4.282
56406029,74,37.85416666666667,140.11875,4.499
56406032,4,37.862500000000004,140.03125,7.099
56406033,11,37.862500000000004,140.04375,6.153
56406034,18,37.862500000000004,140.05625,5.266
56406035,4,37.862500000000004,140.06875,4.473
56406037,181,37.862500000000004,140.09375,3.432
56406038,248,37.862500000000004,140.10625,3.358
56406039,61,37.862500000000004,140.11875,3.631
56406042,10,37.87083333333334,140.03125,6.712
56406043,44,37.87083333333334,140.04375,5.703
56406044,31,37.87083333333334,140.05625,4.732
56406047,50,37.87083333333334,140.09375,2.538
56406048,675,37.87083333333334,140.10625,2.437
56406049,166,37.87083333333334,140.11875,2.801
56406052,7,37.87916666666667,140.03125,6.387
56406053,50,37.87916666666667,140.04375,5.376
56406054,355,37.87916666666667,140.05625,4.332
56406057,249,37.87916666666667,140.09375,1.68
56406058,1416,37.87916666666667,140.10625,1.524
56406059,322,37.87916666666667,140.11875,2.056
56406060,61,37.8875,140.00625,8.028
56406062,8,37.8875,140.03125,5.965
56406063,91,37.8875,140.04375,4.976
56406064,289,37.8875,140.05625,4.017
56406067,194,37.8875,140.09375,0.96
56406068,633,37.8875,140.10625,0.648
56406069,1633,37.8875,140.11875,1.525
56406070,18,37.895833333333336,140.00625,7.77
56406071,61,37.895833333333336,140.01874999999998,6.732
56406072,17,37.895833333333336,140.03125,5.665
56406073,4,37.895833333333336,140.04375,4.611
56406074,106,37.895833333333336,140.05625,3.584
56406076,104,37.895833333333336,140.08124999999998,1.646
56406077,691,37.895833333333336,140.09375,0.858
56406078,2325,37.895833333333336,140.10625,0.484
56406079,2564,37.895833333333336,140.11875,0.789
56406081,48,37.904166666666676,140.01874999999998,6.416
56406082,133,37.904166666666676,140.03125,5.389
56406083,14,37.904166666666676,140.04375,4.395
56406084,94,37.904166666666676,140.05625,3.327
56406085,46,37.904166666666676,140.06875,2.248
56406086,452,37.904166666666676,140.08124999999998,1.203
56406087,2422,37.904166666666676,140.09375,0.322
56406088,3765,37.904166666666676,140.10625,0.243
56406089,2454,37.904166666666676,140.11875,0.124
56406092,88,37.91250000000001,140.03125,5.108
56406093,23,37.91250000000001,140.04375,4.046
56406094,40,37.91250000000001,140.05625,3.008
56406095,744,37.91250000000001,140.06875,2.033
56406096,2247,37.91250000000001,140.08124999999998,1.032
56406097,3844,37.91250000000001,140.09375,0.057
56406098,3209,37.91250000000001,140.10625,0.465
56406099,3110,37.91250000000001,140.11875,0.245
56406100,24,37.837500000000006,140.13125,6.619
56406105,13,37.837500000000006,140.19375,9.304
56406114,2,37.84583333333334,140.18125,7.89
56406115,3,37.84583333333334,140.19375,8.621
56406123,2,37.85416666666667,140.16875,6.485
56406128,30,37.85416666666667,140.23125,10.698
56406130,29,37.862500000000004,140.13125,4.183
56406131,306,37.862500000000004,140.14374999999998,4.599
56406132,121,37.862500000000004,140.15625,5.099
56406138,9,37.862500000000004,140.23125,10.278
56406140,77,37.87083333333334,140.13125,3.409
56406141,259,37.87083333333334,140.14374999999998,3.75
56406142,39,37.87083333333334,140.15625,4.348
56406146,15,37.87083333333334,140.20624999999998,7.897
56406147,7,37.87083333333334,140.21875,8.871
56406150,544,37.87916666666667,140.13125,2.5
56406151,387,37.87916666666667,140.14374999999998,2.948
56406152,20,37.87916666666667,140.15625,3.679
56406160,2124,37.8875,140.13125,1.61
56406161,308,37.8875,140.14374999999998,2.244
56406163,37,37.8875,140.16875,4.139
56406164,167,37.8875,140.18125,5.096
56406165,35,37.8875,140.19375,6.093
56406166,249,37.8875,140.20624999999998,7.119
56406167,12,37.8875,140.21875,8.164
56406170,2519,37.895833333333336,140.13125,0.81
