市区町村,人口,店舗数,人口10万人当たり店舗数
山形市,247590.0,45,18.18
米沢市,81252.0,28,34.46
鶴岡市,122347.0,32,26.16
酒田市,100273.0,23,22.94
新庄市,34432.0,13,37.76
寒河江市,40189.0,14,34.84
上山市,29110.0,8,27.48
村山市,22516.0,6,26.65
長井市,26543.0,10,37.67
天童市,62140.0,12,19.31
東根市,47682.0,14,29.36
尾花沢市,14971.0,4,26.72
南陽市,30420.0,9,29.59
山辺町,13725.0,0,0.0
中山町,10746.0,0,0.0
河北町,17641.0,0,0.0
西川町,4956.0,0,0.0
朝日町,6366.0,0,0.0
大江町,7646.0,0,0.0
大石田町,6577.0,0,0.0
金山町,5071.0,0,0.0
最上町,8080.0,0,0.0
舟形町,5007.0,0,0.0
真室川町,7203.0,0,0.0
大蔵村,3028.0,0,0.0
鮭川村,3902.0,0,0.0
戸沢村,4199.0,0,0.0
高畠町,22463.0,0,0.0
川西町,14558.0,0,0.0
小国町,7107.0,0,0.0
白鷹町,12890.0,0,0.0
飯豊町,6613.0,0,0.0
三川町,7601.0,0,0.0
庄内町,20151.0,0,0.0
遊佐町,13032.0,0,0.0
