市区町村,人口,重心緯度,重心経度,最寄り店舗距離_km,最寄り店舗名
山形市,247590.0,38.247770725500004,140.3421748818452,0.527,ツルハドラッグ 山形東原店
米沢市,81252.0,37.860758946000004,140.10092491054593,3.54,薬王堂 米沢泉町店
鶴岡市,122347.0,38.5717439595,139.78851662895954,12.534,ドラッグセイムス 鶴岡櫛引店
酒田市,100273.0,38.933530248,139.96445649462407,4.366,ツルハドラッグ 酒田八幡店
新庄市,34432.0,38.800088919000004,140.34523907022162,2.301,薬王堂 新庄泉田店
寒河江市,40189.0,38.438876473,140.22307029114853,4.827,薬王堂 山形西川店
上山市,29110.0,38.13880068,140.32508628309486,3.298,ツルハドラッグ 上山東店
村山市,22516.0,38.517333734000005,140.33532781082772,4.761,ツルハドラッグ 村山西店
長井市,26543.0,38.1440010995,139.97342929736436,6.402,ウエルシア長井緑町店
天童市,62140.0,38.3577765585,140.40211857176658,1.567,ツルハドラッグ 天童店
東根市,47682.0,38.418485293,140.4571577165487,5.867,薬王堂 東根店
尾花沢市,14971.0,38.579160333000004,140.4869039310425,7.147,ツルハドラッグ 尾花沢新町店
南陽市,30420.0,38.121584586,140.1478799931647,5.615,薬王堂 南陽宮内店
山辺町,13725.0,38.275284301499994,140.2175869901073,4.005,ツルハドラッグ 山辺店
中山町,10746.0,38.3328931125,140.26345320045442,1.412,薬王堂 中山南店
河北町,17641.0,38.4243157615,140.2965398671672,1.414,ウエルシア山形河北店
西川町,4956.0,38.404847247999996,139.9697475927798,17.813,薬王堂 山形西川店
朝日町,6366.0,38.271275364999994,140.06502066228876,8.407,薬王堂 山形朝日店
大江町,7646.0,38.3382436985,140.05351540349574,9.806,薬王堂 山形朝日店
大石田町,6577.0,38.5968595135,140.3261177113064,5.125,薬王堂 山形大石田店
金山町,5071.0,38.903999653499994,140.39240194658686,11.753,薬王堂 新庄泉田店
最上町,8080.0,38.767353170999996,140.52545980270983,1.588,ツルハドラッグ 最上店
舟形町,5007.0,38.660024788,140.28520641608867,10.114,薬王堂 新庄鳥越店
真室川町,7203.0,38.947219545500005,140.22481209420772,10.082,ツルハドラッグ 真室川店
大蔵村,3028.0,38.608402,140.18168747461976,17.741,薬王堂 山形大石田店
鮭川村,3902.0,38.819917666500004,140.2096703808179,4.992,薬王堂 山形真室川店
戸沢村,4199.0,38.717445973,140.12352925739617,14.939,ドラッグヤマザワ新庄宮内店
高畠町,22463.0,37.989327446000004,140.19585440831568,1.371,ツルハドラッグ 高畠店
川西町,14558.0,37.970612288,140.0183466061892,4.453,ツルハドラッグ 川西店
小国町,7107.0,38.053255698499996,139.79926501772812,4.412,ツルハドラッグ 小国店
白鷹町,12890.0,38.19870883350001,140.07484169413698,1.336,薬王堂 白鷹鮎貝店
飯豊町,6613.0,37.9552892525,139.90691623692493,12.754,ツルハドラッグ 飯豊店
三川町,7601.0,38.793605473,139.85177896171797,2.033,ツルハドラッグ 三川南店
庄内町,20151.0,38.706014972999995,140.01821949079272,11.809,ツルハドラッグ 藤島店
遊佐町,13032.0,39.054644347,139.95288722989835,5.7,薬王堂 山形遊佐店
