市区町村,総数,65歳以上,高齢化率
山形市,247590.0,73234.0,29.57874
米沢市,81252.0,25390.0,31.24846
鶴岡市,122347.0,43178.0,35.29143
酒田市,100273.0,36263.0,36.16427
新庄市,34432.0,11400.0,33.10874
寒河江市,40189.0,12890.0,32.07345
上山市,29110.0,11451.0,39.337
村山市,22516.0,8908.0,39.56298
長井市,26543.0,9470.0,35.67796
天童市,62140.0,18801.0,30.25587
東根市,47682.0,13472.0,28.25385
尾花沢市,14971.0,6232.0,41.62715
南陽市,30420.0,10347.0,34.01381
山辺町,13725.0,4716.0,34.36066
中山町,10746.0,3835.0,35.6877
河北町,17641.0,6644.0,37.66226
西川町,4956.0,2266.0,45.72236
朝日町,6366.0,2829.0,44.43921
大江町,7646.0,3035.0,39.69396
大石田町,6577.0,2632.0,40.01825
金山町,5071.0,1878.0,37.03412
最上町,8080.0,3260.0,40.34653
舟形町,5007.0,2103.0,42.0012
真室川町,7203.0,3006.0,41.73261
大蔵村,3028.0,1188.0,39.23382
鮭川村,3902.0,1580.0,40.49206
戸沢村,4199.0,1704.0,40.58109
高畠町,22463.0,7597.0,33.82006
川西町,14558.0,5682.0,39.03009
小国町,7107.0,2882.0,40.55157
白鷹町,12890.0,4990.0,38.71218
飯豊町,6613.0,2557.0,38.66626
三川町,7601.0,2665.0,35.06118
庄内町,20151.0,7585.0,37.64081
遊佐町,13032.0,5508.0,42.26519
