company,store_name,address,place_id,latitude,longitude,source
ウエルシア,ウエルシア伊達国見店,福島県伊達郡国見町藤田中沢一１０−１,ChIJM3YjNOxjil8RGJbahG3MSzk,37.8728261,140.5420273,google_places
不明,ハシドラッグ 国見店,福島県伊達郡国見町藤田中沢四１,ChIJHb7JVutjil8RsbCGFPEsiqo,37.87183900000001,140.5444588,google_places
クスリのアオキ,クスリのアオキ国見店,福島県伊達郡国見町藤田五反田１−２２,ChIJ2Vrfghljil8RFughL2H2dHo,37.8737919,140.5416191,google_places
不明,日本調剤 国見薬局,福島県伊達郡国見町塚野目下三本木２−１,ChIJq6_9Getjil8RL1dREV4zxlc,37.8718337,140.5419115,google_places
ウエルシア,ウエルシア伊達国見店 (調剤薬局),福島県伊達郡国見町藤田中沢一10−１ウエルシア伊達国見店内,ChIJacfIRwFjil8RVF6oSEKqLJY,37.8728261,140.5420273,google_places
不明,アイン薬局 国見店,福島県伊達郡国見町塚野目三本木14−１,ChIJg0w6n-tjil8RzsL8Z6p_ldk,37.871772,140.5412248,google_places
不明,一心堂薬局,福島県伊達郡国見町藤田南６７,ChIJLw28Z-xjil8RaEFrom_Xih0,37.873909,140.543657,google_places
ウエルシア,ウエルシア伊達桑折店,福島県伊達郡桑折町北町５０−１,ChIJF6rQrVtiil8R2mY25xnaF4U,37.8490824,140.517917,google_places
不明,サンドラッグ 伊達店,福島県伊達市原島８−１,ChIJ12L2JCKIil8RoZGCWGOSwVw,37.8218896,140.5071759,google_places
不明,くすりの高野,福島県伊達郡国見町藤田南３１,ChIJe9vJze1jil8RJnYbPox_db4,37.875218,140.544152,google_places
不明,ふたば薬局藤田店,福島県伊達郡国見町塚野目三本木１１−１,ChIJbflADetjil8REHaWMPFnvak,37.8726201,140.5418367,google_places
不明,保原薬局 国見店,福島県伊達郡国見町藤田北７−４,ChIJRbhmAe5jil8RsP575yyT1Uo,37.8756936,140.5445416,google_places
ウエルシア,ウエルシア伊達新梁川店,福島県伊達市梁川町広瀬町４３,ChIJxbTFHlFjil8RZrxE4flJxgU,37.848887,140.602726,google_places
不明,ファミリーマート 福島国見町店,福島県伊達郡国見町塚野目三本木５番地１,ChIJ6yd43Otjil8RsqUzZ6kCcDU,37.8733508,140.5394906,google_places
ツルハドラッグ,ツルハドラッグ 川俣中央店,福島県伊達郡川俣町段ノ腰18番地,ChIJtQEA0NB-IGARZysPbSw7ZiI,37.6637382,140.5979822,google_places
不明,ハシドラッグ 川俣店,福島県伊達郡川俣町鶴沢社前８７,ChIJXTG37rt5IGARiQAmWe3SYDM,37.6732454,140.5660621,google_places
ツルハドラッグ,ツルハドラッグ 川俣店,福島県伊達郡川俣町鶴沢学校前20−１,ChIJIV1QO8B4IGARQLBMop0V-xc,37.6655926,140.5764657,google_places
不明,薬王堂 福島川俣店,福島県伊達郡川俣町鶴沢堂ノ窪２２−１,ChIJgXJLs9h5IGARqAt0FGgPLzg,37.6671264,140.5816367,google_places
不明,アイル薬局 川俣店,福島県伊達郡川俣町本町４１−８,ChIJj_XkgCV_IGARukgnDnjrbzM,37.6676942,140.6069126,google_places
不明,有限会社 石井薬局,福島県伊達郡川俣町中丁48番地,ChIJsdEuMS5_IGARzB8rTLqUtfg,37.66818019999999,140.6037199,google_places
不明,きりふや薬局,福島県伊達郡川俣町鉄炮町７６,ChIJB3J0DCl_IGARZnTYsIu_f50,37.6621578,140.6031119,google_places
不明,けんこう薬局,福島県伊達郡川俣町鶴沢京田３８−１,ChIJ33mJwdJ4IGARpYEkjfSHU24,37.6640952,140.5952026,google_places
不明,ダイユーエイト 川俣店,福島県伊達郡川俣町鶴沢社前１８,ChIJk7nJTpR4IGARe3i4FCT59VA,37.6686607,140.5727721,google_places
不明,さくら調剤薬局,福島県伊達郡川俣町鶴沢川端３０−１９,ChIJx1GOptJ4IGAR-PRjoqF8Niw,37.665397,140.595572,google_places
不明,リオン・ドール 川俣店,福島県伊達郡川俣町鶴沢鶴東６８,ChIJT2ZcS8B4IGAR6uPSumvhG8w,37.6651537,140.5772496,google_places
不明,カインズ 川俣店,福島県伊達郡川俣町鶴沢学校前15番地,ChIJo6SScpV4IGAR67ldaijrOSo,37.667967,140.5745379,google_places
不明,ファッションセンターしまむら 川俣店,福島県伊達郡川俣町新中町３０,ChIJJw0oSyh_IGARC2pXkFuGRsU,37.6610319,140.6043677,google_places
不明,コスモ調剤薬局 瓦町店,福島県伊達郡川俣町瓦町４９−１,ChIJaZ1oQi5_IGARqHw9WwlZUXU,37.667041,140.60296,google_places
ウエルシア,ウエルシア伊達桑折店（調剤薬局）,福島県伊達郡桑折町北町５０−１ウエルシア伊達桑折店内,ChIJv4s78tNjil8RggXEFLUGUFk,37.8490824,140.517917,google_places
不明,保原薬局桑折店,福島県伊達郡桑折町南半田六角１５−３,ChIJzwai_E5iil8RlQWPolvsemU,37.8547066,140.5181839,google_places
不明,ほばら薬局桑折本町店,福島県伊達郡桑折町沢34番4,ChIJT4NbCABjil8Rcm9lK-Brjso,37.8457085,140.5200196,google_places
不明,ドラッグミナト,福島県伊達郡桑折町上町３５−２,ChIJN991wE9iil8RnQvSvFthE74,37.853092,140.518263,google_places
不明,ファミリー薬局,福島県伊達郡桑折町堰合２１,ChIJD8IahVBiil8RDOHkU2bZCaM,37.8504323,140.5213135,google_places
ウエルシア,ウエルシア伊達保原店,福島県伊達市保原町前田町２７−２,ChIJDzoihE59il8R_Q_ERLrkWDA,37.8143394,140.5515342,google_places
不明,ハシドラッグ 伊達箱崎店,福島県伊達市箱崎布川８９,ChIJh_UipQqJil8RQfd5g8KMbwY,37.8203177,140.5185106,google_places
不明,スーパーセンタートライアル伊達保原店,福島県伊達市保原町上保原正地内３７−１,ChIJx5dnxAl9il8RD9sRooEsID4,37.8134844,140.5446514,google_places
ウエルシア,ウエルシア伊達保原北店,福島県伊達市保原町大和１０７−１,ChIJ917-Kdhjil8RER8ZSysNpUg,37.8299127,140.561782,google_places
不明,コスモ調剤薬局桑折店,福島県伊達郡桑折町谷地石塚４４,ChIJp0F0Q0xiil8RK_mIwXLbBr4,37.8565487,140.5217332,google_places
不明,ふよう薬局,福島県伊達郡桑折町上町７５−１２,ChIJh4MY6E9iil8R83IxuE1btxo,37.852764,140.518666,google_places
ツルハドラッグ,ツルハドラッグ 南会津下郷店,福島県南会津郡下郷町中妻大百刈９５９５番地,ChIJzTQwrJ_6H2ARK-fAlyaFm8A,37.2617288,139.8774382,google_places
ツルハドラッグ,ツルハドラッグ 南会津店,福島県南会津郡南会津町田島谷地甲５５−１１,ChIJUTp0drToH2ARz0k_YSYa3dw,37.2022922,139.7694558,google_places
ツルハドラッグ,ツルハドラッグ 南会津バイパス店,福島県南会津郡南会津町田島田島柳31番地,ChIJv6YDKJbvH2ARFYCZCQzXmuQ,37.204821,139.778363,google_places
不明,クオール薬局南会津店,福島県南会津郡南会津町永田字下川原81−４,ChIJ_4IZR6ToH2ARBHCDbrCQ-aI,37.2060035,139.7592663,google_places
不明,リオン･ドール 田島店,福島県南会津郡南会津町田島東荒井８０,ChIJeUPMBzjvH2AR7aXrNVWBLXA,37.2035234,139.7836576,google_places
不明,(有)十字堂薬局,福島県南会津郡南会津町田島中町甲３９４８−１,ChIJmUAC-ErvH2AR9uHvPUk6zlg,37.2015622,139.7753312,google_places
不明,ヨークベニマル田島店,福島県南会津郡南会津町田島字行司21番地１,ChIJf82nkLPoH2ARdOBvDCS0B80,37.2033019,139.7698787,google_places
不明,ファーマシーダイマル,福島県南会津郡南会津町永田風下2−３,ChIJq5lS64DpH2ARGYsiebFgehM,37.2035262,139.7596287,google_places
不明,リオン･ドール 田島バイパス店,福島県南会津郡南会津町田島田島柳６５−１,ChIJT4Ro4wHvH2ARzwDgzrwARC8,37.2045934,139.7807715,google_places
不明,ふるまち薬局,福島県南会津郡南会津町古町,ChIJVxynhwzRH2ARbIlXRizgBN8,37.170494,139.5228777,google_places
不明,ファッションセンターしまむら 田島店,福島県南会津郡南会津町田島東荒井13−３,ChIJGe0770fvH2ARB2vGLoAsL48,37.2042658,139.7838815,google_places
不明,樋口薬局,福島県南会津郡南会津町田島元八幡甲３１５−４,ChIJy56eYrPoH2ARSmZaxGkOuNg,37.20310449999999,139.771053,google_places
不明,会津田島駅,福島県南会津郡南会津町田島西番場甲,ChIJ7ZTRakvvH2ARXhz81hwmZnw,37.203289,139.7744515,google_places
不明,コスメティックサロンいのまた,福島県南会津郡南会津町田島行司２１−１ヨークベニマル田島店内,ChIJfSbwlrPoH2ARssSbX4TjELg,37.20303699999999,139.7698796,google_places
不明,コスモ調剤薬局 南郷店,福島県南会津郡南会津町片貝根木屋向２２,ChIJKZFgebxi9V8RbPaCYFGoZBo,37.2741854,139.5317882,google_places
不明,あいあい薬局 只見店,福島県南会津郡只見町長浜唱平２３−２,ChIJBTD6gat79V8RInOWE_bJZEo,37.3033623,139.3741258,google_places
不明,ブイチェーン只見店,福島県南会津郡只見町只見沖１５０９,ChIJ76LeWE5w9V8RQPFR1P450os,37.3498357,139.321424,google_places
不明,（株）川原田商店,福島県南会津郡只見町小林下前田４４５,ChIJs6tUtq5k9V8RxdKWYWln4KE,37.3081076,139.4554313,google_places
不明,只見駅,福島県南会津郡只見町只見上ノ原,ChIJ_UUaaVJw9V8R195ZjSQ1WkU,37.3504538,139.314846,google_places
ツルハドラッグ,ツルハドラッグ 会津南町店,福島県会津若松市南町２−６５−１,ChIJl7Jz0JFU9V8RLi7ValOF2O4,37.4844013,139.927101,google_places
ツルハドラッグ,ツルハドラッグ さくらモールとみおか店,福島県双葉郡富岡町中央３丁目53番地,ChIJNQdzmFbfIGARQ8pZ2yv1B2s,37.3393913,141.0153868,google_places
不明,浅野撚糸㈱ フタバスーパーゼロミル・エアーかおる双葉丸,福島県双葉郡双葉町中野舘ノ内1−１,ChIJ0SueRlfDIGARc72nxU9O6k4,37.4560285,141.0211285,google_places
不明,ならは薬局,福島県双葉郡楢葉町北田中満２８９−４,ChIJEXYidxngIGARpWgke6iZJKY,37.2769539,140.9952541,google_places
不明,イオン双葉店,福島県双葉郡双葉町長塚町西36−１,ChIJ76NXUADpIGARQbQzlvj091g,37.4535915,141.0066531,google_places
不明,ニューヤマザキデイリーストアー 大熊町大川原店,福島県双葉郡大熊町大川原南平１２０７−１,ChIJtW8YQe7nIGARwrXty8sKKyQ,37.3828742,140.9610216,google_places
不明,大熊町商業施設「おおくまーと」,福島県双葉郡大熊町大川原南平1207番1交流ゾーン,ChIJax5_3WXnIGAR3P1VraBZ6L8,37.3824181,140.961008,google_places
不明,さくらモール とみおか,福島県双葉郡富岡町中央３丁目５３,ChIJXxLsTHXfIGARuBdDoX215cQ,37.3395512,141.0152614,google_places
不明,ショッピングセンターYO-TASHI,福島県双葉郡川内村下川内宮ノ下２５−１,ChIJ2VEf1JT6IGAR2yeV7gDgjRA,37.3292379,140.8216781,google_places
