市区町村,人口,店舗数,人口10万人当たり店舗数
福島市,282693.0,40,14.15
会津若松市,117376.0,36,30.67
郡山市,327692.0,64,19.53
いわき市,332931.0,60,18.02
白河市,59491.0,20,33.62
須賀川市,74992.0,13,17.34
喜多方市,44760.0,18,40.21
相馬市,34865.0,11,31.55
二本松市,53557.0,12,22.41
田村市,35169.0,0,0.0
南相馬市,59005.0,19,32.2
伊達市,58240.0,9,15.45
本宮市,30236.0,6,19.84
桑折町,11459.0,0,0.0
国見町,8639.0,0,0.0
川俣町,12170.0,0,0.0
大玉村,8900.0,0,0.0
鏡石町,12318.0,0,0.0
天栄村,5194.0,0,0.0
下郷町,5264.0,0,0.0
檜枝岐村,504.0,0,0.0
只見町,4044.0,0,0.0
南会津町,14451.0,0,0.0
北塩原村,2556.0,0,0.0
西会津町,5770.0,0,0.0
磐梯町,3322.0,0,0.0
猪苗代町,13552.0,0,0.0
会津坂下町,15068.0,0,0.0
湯川村,3081.0,0,0.0
柳津町,3081.0,0,0.0
三島町,1452.0,0,0.0
金山町,1862.0,0,0.0
昭和村,1246.0,0,0.0
会津美里町,19014.0,0,0.0
西郷村,20808.0,0,0.0
泉崎村,6213.0,0,0.0
中島村,4885.0,0,0.0
矢吹町,17287.0,0,0.0
棚倉町,13343.0,0,0.0
矢祭町,5392.0,0,0.0
塙町,8302.0,0,0.0
鮫川村,3049.0,0,0.0
石川町,14644.0,0,0.0
玉川村,6392.0,0,0.0
平田村,5826.0,0,0.0
浅川町,6036.0,0,0.0
古殿町,4825.0,0,0.0
三春町,17018.0,0,0.0
小野町,9471.0,0,0.0
広野町,5412.0,0,0.0
楢葉町,3710.0,0,0.0
富岡町,2128.0,0,0.0
川内村,2044.0,0,0.0
大熊町,847.0,0,0.0
浪江町,1923.0,0,0.0
葛尾村,420.0,0,0.0
新地町,7905.0,0,0.0
飯舘村,1318.0,0,0.0
