市区町村,人口,重心緯度,重心経度,最寄り店舗距離_km,最寄り店舗名
福島市,282693.0,37.8004810045,140.40187097661513,2.36,ハシドラッグ 信陵店
会津若松市,117376.0,37.4530868605,140.005938586812,6.817,ツルハドラッグ 会津門田店
郡山市,327692.0,37.44590536,140.286091295444,5.11,ツルハドラッグ 郡山片平店
いわき市,332931.0,37.087847991000004,140.81904172398112,5.232,ツルハドラッグ 平窪店
白河市,59491.0,37.130887572,140.24169081128042,0.608,薬王堂 白河桜岡店
須賀川市,74992.0,37.298101527,140.30353159646313,3.233,薬王堂 須賀川木之崎店
喜多方市,44760.0,37.71730564,139.84830636889217,4.137,薬王堂 喜多方松山店
相馬市,34865.0,37.782886464,140.89051595663653,3.3,ドラッグストア マツモトキヨシ エイトタウン相馬店
二本松市,53557.0,37.5749081935,140.4941952198232,4.128,ツルハドラッグ 二本松上竹店
田村市,35169.0,37.4063458605,140.68714665198854,5.47,薬王堂 田村大越店
南相馬市,59005.0,37.627208527,140.92678843638862,1.414,薬王堂 原町大木戸北店
伊達市,58240.0,37.802200054,140.60652934606316,3.526,薬王堂 伊達霊山町店
本宮市,30236.0,37.510731347000004,140.4261292240461,1.707,薬王堂 本宮高木店
桑折町,11459.0,37.8639543335,140.5015161551354,2.64,ウエルシア伊達桑折店
国見町,8639.0,37.889481446,140.54489932568998,1.962,ハシドラッグ 国見店
川俣町,12170.0,37.630869806,140.61919730966395,4.104,ツルハドラッグ 川俣中央店
大玉村,8900.0,37.5637092795,140.32017927078263,7.234,薬王堂 福島大玉店
鏡石町,12318.0,37.246886081,140.34318120574898,0.745,薬王堂 福島鏡石店
天栄村,5194.0,37.269219874,140.0856564846193,14.024,ツルハドラッグ 須賀川長沼店
下郷町,5264.0,37.253911946,139.84138749317302,3.307,ツルハドラッグ 南会津下郷店
檜枝岐村,504.0,37.056930113,139.33759407661768,41.558,ツルハドラッグ 南会津店
只見町,4044.0,37.292320360000005,139.35965191950697,37.63,ツルハドラッグ 南会津店
南会津町,14451.0,37.1399760315,139.64672516569942,12.894,ツルハドラッグ 南会津店
北塩原村,2556.0,37.69091064,140.04918824810127,14.959,ツルハドラッグ 喜多方上江店
西会津町,5770.0,37.658874892,139.64354579889886,8.728,ウエルシア西会津店
磐梯町,3322.0,37.5743905135,139.9925857009101,6.022,ツルハドラッグ 会津河東店
猪苗代町,13552.0,37.602543427499995,140.16742942727106,6.874,ツルハドラッグ 猪苗代店
会津坂下町,15068.0,37.575759027000004,139.79331705689611,1.407,薬王堂 メガステージ会津坂下店
湯川村,3081.0,37.5681176935,139.88043945268856,3.222,ツルハドラッグ 喜多方塩川店
柳津町,3081.0,37.461719887,139.7119162809357,10.988,ツルハドラッグ 会津高田店
三島町,1452.0,37.434589392,139.63199426215482,16.275,ウエルシア西会津店
金山町,1862.0,37.425534045,139.4934724246126,21.934,ウエルシア西会津店
昭和村,1246.0,37.300309608,139.65966717701974,14.602,ツルハドラッグ 南会津店
会津美里町,19014.0,37.406836554,139.8409803967691,6.353,ツルハドラッグ 会津高田店
西郷村,20808.0,37.169472,140.0814763280838,7.141,ツルハドラッグ 西郷店
泉崎村,6213.0,37.156472639499995,140.29750379176,0.683,ツルハドラッグ 福島泉崎店
中島村,4885.0,37.1483298195,140.36145450720858,1.152,ウエルシア西白河中島店
矢吹町,17287.0,37.1908995315,140.34711996230286,0.913,ツルハドラッグ 矢吹中央インター店
棚倉町,13343.0,37.008588914499995,140.33877063125402,3.421,薬王堂 福島棚倉店
矢祭町,5392.0,36.866007472999996,140.435844685272,0.898,ツルハドラッグ 矢祭店
塙町,8302.0,36.9295091125,140.49713319200333,8.055,薬王堂 福島塙店
鮫川村,3049.0,37.011412320000005,140.51223989036228,9.229,ツルハドラッグ 福島古殿店
石川町,14644.0,37.1399871665,140.4483472373082,0.576,薬王堂 福島石川店
玉川村,6392.0,37.2182376395,140.45616626295327,4.226,ウエルシア福島玉川店
平田村,5826.0,37.2146776395,140.56028575408544,2.489,ツルハドラッグ 福島平田店
浅川町,6036.0,37.071751693500005,140.41997541758462,1.0,ツルハドラッグ 浅川店
古殿町,4825.0,37.080429360500005,140.5833509409095,4.885,ツルハドラッグ 福島古殿店
三春町,17018.0,37.4407148875,140.49717952875034,5.645,ウエルシア田村船引店
小野町,9471.0,37.285299373499996,140.5974777914025,2.355,ツルハドラッグ 小野店
広野町,5412.0,37.216195144500006,140.95586808037433,8.704,ツルハドラッグ いわき久之浜店
楢葉町,3710.0,37.2883330225,140.9549304506983,7.799,ツルハドラッグ さくらモールとみおか店
富岡町,2128.0,37.343623613000005,140.9704478566797,4.001,ツルハドラッグ さくらモールとみおか店
川内村,2044.0,37.328093919,140.81161272030425,16.97,薬王堂 福島小野店
大熊町,847.0,37.4033775995,140.94669533596237,9.353,ツルハドラッグ さくらモールとみおか店
浪江町,1923.0,37.517181698499996,140.9120007806739,11.985,薬王堂 南相馬原町店
葛尾村,420.0,37.5027767525,140.77256033701815,13.752,ツルハドラッグ 田村常葉店
新地町,7905.0,37.870099446,140.89789799743806,1.828,ツルハドラッグ 新地店
飯舘村,1318.0,37.6775291935,140.74079494833964,2.035,ハシドラッグ 飯舘店
