市区町村,総数,65歳以上,高齢化率
福島市,282693.0,85853.0,30.36969
会津若松市,117376.0,36849.0,31.39398
郡山市,327692.0,88149.0,26.89995
いわき市,332931.0,104428.0,31.36626
白河市,59491.0,17691.0,29.73727
須賀川市,74992.0,21483.0,28.64706
喜多方市,44760.0,16479.0,36.81635
相馬市,34865.0,10872.0,31.18313
二本松市,53557.0,18452.0,34.45301
田村市,35169.0,12633.0,35.92084
南相馬市,59005.0,21364.0,36.2071
伊達市,58240.0,21032.0,36.11264
本宮市,30236.0,8580.0,28.37677
桑折町,11459.0,4349.0,37.9527
国見町,8639.0,3642.0,42.15766
川俣町,12170.0,5138.0,42.21857
大玉村,8900.0,2464.0,27.68539
鏡石町,12318.0,3441.0,27.93473
天栄村,5194.0,1916.0,36.88872
下郷町,5264.0,2360.0,44.83283
檜枝岐村,504.0,194.0,38.49206
只見町,4044.0,1907.0,47.15628
南会津町,14451.0,6057.0,41.91405
北塩原村,2556.0,948.0,37.0892
西会津町,5770.0,2719.0,47.12305
磐梯町,3322.0,1246.0,37.50753
猪苗代町,13552.0,5369.0,39.61777
会津坂下町,15068.0,5524.0,36.66047
湯川村,3081.0,1066.0,34.59916
柳津町,3081.0,1397.0,45.34242
三島町,1452.0,783.0,53.92562
金山町,1862.0,1134.0,60.90226
昭和村,1246.0,693.0,55.61798
会津美里町,19014.0,7577.0,39.84958
西郷村,20808.0,5221.0,25.09131
泉崎村,6213.0,1986.0,31.96523
中島村,4885.0,1479.0,30.27636
矢吹町,17287.0,5432.0,31.42246
棚倉町,13343.0,4279.0,32.06925
矢祭町,5392.0,2126.0,39.42878
塙町,8302.0,3206.0,38.6172
鮫川村,3049.0,1221.0,40.04592
石川町,14644.0,5432.0,37.09369
玉川村,6392.0,2025.0,31.68023
平田村,5826.0,2057.0,35.30724
浅川町,6036.0,2056.0,34.06229
古殿町,4825.0,1893.0,39.23316
三春町,17018.0,5911.0,34.73381
小野町,9471.0,3389.0,35.78292
広野町,5412.0,1606.0,29.6748
楢葉町,3710.0,1402.0,37.78976
富岡町,2128.0,514.0,24.15414
川内村,2044.0,982.0,48.04305
大熊町,847.0,87.0,10.27155
浪江町,1923.0,620.0,32.24129
葛尾村,420.0,198.0,47.14286
新地町,7905.0,2603.0,32.92853
飯舘村,1318.0,758.0,57.51138
