KEY_CODE,人口,緯度,経度,最寄り店舗距離_km
51376091,7,34.57916666666667,137.01874999999998,8.676
51376092,47,34.57916666666667,137.03125,7.76
51376093,175,34.57916666666667,137.04375,6.911
51377001,5,34.587500000000006,137.01874999999998,8.187
51377002,63,34.587500000000006,137.03125,7.209
51377003,431,34.587500000000006,137.04375,6.287
51377004,108,34.587500000000006,137.05625,5.45
51377005,527,34.587500000000006,137.06875,4.743
51377006,128,34.587500000000006,137.08124999999998,4.232
51377008,127,34.587500000000006,137.10625,4.072
51377009,314,34.587500000000006,137.11875,4.448
51377013,4,34.59583333333334,137.04375,5.745
51377016,256,34.59583333333334,137.08124999999998,3.374
51377017,614,34.59583333333334,137.09375,3.068
51377018,75,34.59583333333334,137.10625,3.172
51377019,106,34.59583333333334,137.11875,3.558
51377023,64,34.60416666666667,137.04375,5.311
51377024,316,34.60416666666667,137.05625,4.287
51377025,123,34.60416666666667,137.06875,3.343
51377027,1,34.60416666666667,137.09375,2.148
51377028,1,34.60416666666667,137.10625,2.293
51377033,79,34.612500000000004,137.04375,5.011
51377034,53,34.612500000000004,137.05625,3.911
51377035,271,34.612500000000004,137.06875,2.844
51377036,98,34.612500000000004,137.08124999999998,1.871
51377037,147,34.612500000000004,137.09375,1.236
51377038,75,34.612500000000004,137.10625,1.474
51377043,1,34.62083333333334,137.04375,4.873
51377044,92,34.62083333333334,137.05625,3.731
51377045,239,34.62083333333334,137.06875,2.592
51377046,157,34.62083333333334,137.08124999999998,1.46
51377047,940,34.62083333333334,137.09375,0.399
51377048,445,34.62083333333334,137.10625,0.605
51377049,178,34.62083333333334,137.11875,1.255
51377055,17,34.62916666666667,137.06875,2.658
51377056,529,34.62916666666667,137.08124999999998,1.575
51377057,852,34.62916666666667,137.09375,0.713
51377058,1679,34.62916666666667,137.10625,0.326
51377059,501,34.62916666666667,137.11875,1.147
51377064,80,34.6375,137.05625,4.042
51377065,3,34.6375,137.06875,3.022
51377066,1145,34.6375,137.08124999999998,2.132
51377067,250,34.6375,137.09375,1.605
51377068,335,34.6375,137.10625,1.251
51377069,309,34.6375,137.11875,1.666
51377075,5,34.645833333333336,137.06875,3.594
51377076,1135,34.645833333333336,137.08124999999998,2.886
51377078,50,34.645833333333336,137.10625,2.177
51377085,16,34.654166666666676,137.06875,4.292
51377086,659,34.654166666666676,137.08124999999998,3.719
51377100,12,34.587500000000006,137.13125,4.859
51377101,145,34.587500000000006,137.14374999999998,5.483
51377110,89,34.59583333333334,137.13125,4.06
51377111,144,34.59583333333334,137.14374999999998,4.789
51377112,355,34.59583333333334,137.15625,4.629
51377113,18,34.59583333333334,137.16875,3.642
51377123,606,34.60416666666667,137.16875,3.208
51377124,520,34.60416666666667,137.18125,2.177
51377125,10,34.60416666666667,137.19375,1.343
51377133,31,34.612500000000004,137.16875,3.005
51377134,4,34.612500000000004,137.18125,1.866
51377135,869,34.612500000000004,137.19375,0.741
51377136,963,34.612500000000004,137.20624999999998,0.484
51377137,96,34.612500000000004,137.21875,1.592
51377143,16,34.62083333333334,137.16875,3.081
51377145,31,34.62083333333334,137.19375,1.006
51377146,22,34.62083333333334,137.20624999999998,0.834
51377147,322,34.62083333333334,137.21875,1.731
51377148,565,34.62083333333334,137.23125,2.813
51377149,306,34.62083333333334,137.24375,3.931
51377152,2,34.62916666666667,137.15625,4.454
51377153,54,34.62916666666667,137.16875,3.417
51377155,18,34.62916666666667,137.19375,1.787
51377158,122,34.62916666666667,137.23125,3.177
51377159,208,34.62916666666667,137.24375,4.199
51377160,226,34.6375,137.13125,2.569
51377161,217,34.6375,137.14374999999998,3.611
51377162,285,34.6375,137.15625,4.701
51377163,264,34.6375,137.16875,3.946
51377164,25,34.6375,137.18125,3.166
51377165,59,34.6375,137.19375,2.662
51377166,6,34.6375,137.20624999999998,2.602
51377168,10,34.6375,137.23125,3.74
51377169,475,34.6375,137.24375,3.846
51377171,780,34.645833333333336,137.14374999999998,4.027
51377172,463,34.645833333333336,137.15625,5.027
51377173,4,34.645833333333336,137.16875,4.602
51377175,128,34.645833333333336,137.19375,3.564
51377176,73,34.645833333333336,137.20624999999998,3.52
51377178,199,34.645833333333336,137.23125,3.72
51377179,314,34.645833333333336,137.24375,3.015
51377181,11,34.654166666666676,137.14374999999998,4.594
51377182,717,34.654166666666676,137.15625,5.492
51377184,163,34.654166666666676,137.18125,4.792
51377185,23,34.654166666666676,137.19375,4.476
51377186,741,34.654166666666676,137.20624999999998,4.441
51377187,195,34.654166666666676,137.21875,4.148
51377188,422,34.654166666666676,137.23125,3.138
51377189,805,34.654166666666676,137.24375,2.26
51377194,69,34.66250000000001,137.18125,5.658
51377195,417,34.66250000000001,137.19375,5.393
51377196,597,34.66250000000001,137.20624999999998,4.991
51377199,258,34.66250000000001,137.24375,1.684
51377250,376,34.62916666666667,137.25625,4.481
51377251,141,34.62916666666667,137.26874999999998,4.535
51377260,266,34.6375,137.25625,3.559
51377261,211,34.6375,137.26874999999998,3.626
51377262,323,34.6375,137.28125,3.594
51377263,147,34.6375,137.29375,3.811
51377270,152,34.645833333333336,137.25625,2.638
51377271,541,34.645833333333336,137.26874999999998,2.729
51377272,177,34.645833333333336,137.28125,2.668
51377273,187,34.645833333333336,137.29375,2.953
51377274,367,34.645833333333336,137.30625,3.597
51377275,547,34.645833333333336,137.31875,4.447
51377276,203,34.645833333333336,137.33124999999998,4.955
51377280,113,34.654166666666676,137.25625,1.725
51377281,253,34.654166666666676,137.26874999999998,1.86
51377282,316,34.654166666666676,137.28125,1.743
51377283,328,34.654166666666676,137.29375,2.155
51377284,5,34.654166666666676,137.30625,2.977
51377285,46,34.654166666666676,137.31875,3.962
51377286,149,34.654166666666676,137.33124999999998,4.232
51377287,293,34.654166666666676,137.34375,3.562
51377288,285,34.654166666666676,137.35625,3.175
51377289,175,34.654166666666676,137.36875,3.177
51377290,1599,34.66250000000001,137.25625,0.841
51377291,3038,34.66250000000001,137.26874999999998,1.092
51377292,1564,34.66250000000001,137.28125,0.822
51377293,435,34.66250000000001,137.29375,1.51
51377294,446,34.66250000000001,137.30625,2.549
51377295,111,34.66250000000001,137.31875,3.651
51377296,12,34.66250000000001,137.33124999999998,3.602
51377297,34,34.66250000000001,137.34375,2.785
51377298,33,34.66250000000001,137.35625,2.27
51377299,350,34.66250000000001,137.36875,2.272
51377390,456,34.66250000000001,137.38125,2.79
51377391,207,34.66250000000001,137.39374999999998,3.608
51377392,198,34.66250000000001,137.40625,4.568
51377393,1,34.66250000000001,137.41875,5.597
52360679,128,34.729166666666664,136.86875,1.038
52360688,6,34.737500000000004,136.85625,1.201
52360689,1603,34.737500000000004,136.86875,0.122
52360698,10,34.74583333333334,136.85625,1.448
52360699,832,34.74583333333334,136.86875,0.819
52360737,136,34.69583333333333,136.96875,3.475
52360743,68,34.704166666666666,136.91875,5.069
52360744,493,34.704166666666666,136.93125,4.12
52360745,508,34.704166666666666,136.94375,3.298
52360747,1581,34.704166666666666,136.96875,2.551
52360749,537,34.704166666666666,136.99375,3.546
52360752,138,34.7125,136.90625,4.442
52360753,515,34.7125,136.91875,4.673
52360754,1330,34.7125,136.93125,3.622
52360755,351,34.7125,136.94375,2.65
52360757,598,34.7125,136.96875,1.628
52360760,15,34.72083333333333,136.88125,2.245
52360761,415,34.72083333333333,136.89374999999998,2.972
52360762,88,34.72083333333333,136.90625,3.903
52360763,162,34.72083333333333,136.91875,4.182
52360764,140,34.72083333333333,136.93125,3.314
52360765,103,34.72083333333333,136.94375,2.21
52360766,962,34.72083333333333,136.95624999999998,1.18
52360767,344,34.72083333333333,136.96875,0.715
52360770,29,34.729166666666664,136.88125,1.503
52360771,54,34.729166666666664,136.89374999999998,2.46
52360772,151,34.729166666666664,136.90625,3.529
52360773,68,34.729166666666664,136.91875,3.259
52360774,71,34.729166666666664,136.93125,3.25
52360775,172,34.729166666666664,136.94375,2.112
52360776,129,34.729166666666664,136.95624999999998,0.985
52360777,191,34.729166666666664,136.96875,0.301
52360780,411,34.737500000000004,136.88125,1.094
52360783,118,34.737500000000004,136.91875,2.337
52360784,265,34.737500000000004,136.93125,2.47
52360785,391,34.737500000000004,136.94375,2.399
52360786,2,34.737500000000004,136.95624999999998,1.506
52360787,3,34.737500000000004,136.96875,1.178
52360790,596,34.74583333333334,136.88125,1.361
52360791,142,34.74583333333334,136.89374999999998,2.376
52360792,34,34.74583333333334,136.90625,1.999
52360793,62,34.74583333333334,136.91875,1.423
52360794,171,34.74583333333334,136.93125,1.631
52360795,73,34.74583333333334,136.94375,2.43
52361607,89,34.75416666666667,136.84375,2.916
52361608,98,34.75416666666667,136.85625,2.114
52361617,435,34.7625,136.84375,3.486
52361618,33,34.7625,136.85625,2.926
52361619,106,34.7625,136.86875,2.671
52361627,793,34.770833333333336,136.84375,2.668
52361628,770,34.770833333333336,136.85625,2.272
52361629,49,34.770833333333336,136.86875,2.397
52361637,82,34.77916666666667,136.84375,1.95
52361638,2321,34.77916666666667,136.85625,1.358
52361639,15,34.77916666666667,136.86875,1.551
52361648,1524,34.7875,136.85625,0.493
52361649,30,34.7875,136.86875,0.884
52361658,789,34.795833333333334,136.85625,0.599
52361659,624,34.795833333333334,136.86875,0.936
52361668,674,34.80416666666667,136.85625,1.481
52361669,1017,34.80416666666667,136.86875,1.64
52361678,143,34.8125,136.85625,2.395
52361679,828,34.8125,136.86875,2.494
52361689,696,34.82083333333334,136.86875,2.377
52361699,372,34.82916666666667,136.86875,1.46
52361701,1,34.75416666666667,136.89374999999998,2.618
52361702,204,34.75416666666667,136.90625,1.508
52361703,166,34.75416666666667,136.91875,0.55
52361704,446,34.75416666666667,136.93125,0.969
52361710,5,34.7625,136.88125,2.884
52361711,125,34.7625,136.89374999999998,2.617
52361712,116,34.7625,136.90625,1.507
52361713,1578,34.7625,136.91875,0.546
52361714,8,34.7625,136.93125,0.967
52361720,2,34.770833333333336,136.88125,2.972
52361721,8,34.770833333333336,136.89374999999998,2.926
52361722,2715,34.770833333333336,136.90625,1.996
