市区町村,店舗数,人口,人口10万人当たり店舗数
豊橋市,66,374765.0,17.61
豊田市,63,422542.0,14.91
一宮市,62,380868.0,16.28
岡崎市,62,381051.0,16.27
春日井市,61,306508.0,19.9
安城市,37,184140.0,20.09
西尾市,37,167990.0,22.03
刈谷市,34,149765.0,22.7
名古屋市天白区,34,162683.0,20.9
半田市,31,116908.0,26.52
名古屋市緑区,31,241822.0,12.82
小牧市,30,149462.0,20.07
蒲郡市,30,81100.0,36.99
豊川市,29,182436.0,15.9
瀬戸市,28,129046.0,21.7
名古屋市北区,27,163579.0,16.51
日進市,27,87977.0,30.69
名古屋市千種区,25,164696.0,15.18
名古屋市中川区,25,220281.0,11.35
大府市,23,89157.0,25.8
尾張旭市,23,80787.0,28.47
名古屋市中区,23,83203.0,27.64
東海市,23,111944.0,20.55
名古屋市名東区,23,164080.0,14.02
名古屋市港区,23,146745.0,15.67
長久手市,22,57598.0,38.2
稲沢市,22,136867.0,16.07
名古屋市西区,21,149098.0,14.08
江南市,21,98359.0,21.35
津島市,21,63431.0,33.11
名古屋市中村区,21,133206.0,15.77
名古屋市昭和区,21,107170.0,19.6
碧南市,20,71346.0,28.03
みよし市,18,61810.0,29.12
知立市,18,70501.0,25.53
名古屋市瑞穂区,17,105357.0,16.14
名古屋市守山区,17,172845.0,9.84
あま市,17,86898.0,19.56
北名古屋市,16,84133.0,19.02
清須市,15,67327.0,22.28
名古屋市南区,15,136935.0,10.95
常滑市,15,56547.0,26.53
知多市,14,84617.0,16.55
豊明市,14,69127.0,20.25
名古屋市東区,13,78043.0,16.66
新城市,12,47133.0,25.46
知多郡武豊町,11,42473.0,25.9
犬山市,11,74308.0,14.8
愛西市,10,63088.0,15.85
愛知郡東郷町,10,42858.0,23.33
弥富市,9,43269.0,20.8
丹羽郡扶桑町,8,33806.0,23.66
額田郡幸田町,8,39549.0,20.23
高浜市,8,46236.0,17.3
知多郡東浦町,7,49230.0,14.22
海部郡蟹江町,7,37085.0,18.88
知多郡阿久比町,6,27747.0,21.62
西春日井郡豊山町,6,15177.0,39.53
田原市,6,62364.0,9.62
岩倉市,6,47562.0,12.62
名古屋市熱田区,5,65895.0,7.59
海部郡大治町,4,30990.0,12.91
知多郡美浜町,3,23575.0,12.73
北設楽郡東栄町,3,3446.0,87.06
丹羽郡大口町,2,23274.0,8.59
知多郡南知多町,2,18707.0,10.69
海部郡飛島村,1,4397.0,22.74
北設楽郡設楽町,1,5074.0,19.71
