市区町村,人口
名古屋市,2332176.0
名古屋市千種区,165245.0
名古屋市東区,84392.0
名古屋市北区,162956.0
名古屋市西区,151082.0
名古屋市中村区,138599.0
名古屋市中区,93100.0
名古屋市昭和区,107599.0
名古屋市瑞穂区,108332.0
名古屋市熱田区,66957.0
名古屋市中川区,220728.0
名古屋市港区,143715.0
名古屋市南区,134510.0
名古屋市守山区,176587.0
名古屋市緑区,248802.0
名古屋市名東区,164755.0
名古屋市天白区,164817.0
豊橋市,371920.0
岡崎市,384654.0
一宮市,380073.0
瀬戸市,127792.0
半田市,117884.0
春日井市,308681.0
豊川市,184661.0
津島市,60942.0
碧南市,72458.0
刈谷市,153834.0
豊田市,422330.0
安城市,187990.0
西尾市,169046.0
蒲郡市,79538.0
犬山市,73090.0
常滑市,58710.0
江南市,98255.0
小牧市,148831.0
稲沢市,134751.0
新城市,44355.0
東海市,113787.0
大府市,93123.0
知多市,84364.0
知立市,72193.0
尾張旭市,83144.0
高浜市,46106.0
岩倉市,47983.0
豊明市,69295.0
日進市,91520.0
田原市,59360.0
愛西市,60829.0
清須市,67352.0
北名古屋市,86385.0
弥富市,43025.0
みよし市,61952.0
あま市,86126.0
長久手市,60162.0
東郷町,43903.0
豊山町,15613.0
大口町,24305.0
扶桑町,34133.0
大治町,32399.0
蟹江町,37338.0
飛島村,4575.0
阿久比町,28383.0
東浦町,49596.0
南知多町,16617.0
美浜町,22496.0
武豊町,43535.0
幸田町,42449.0
設楽町,4437.0
東栄町,2942.0
豊根村,1017.0
