市区町村,人口,重心緯度,重心経度,最寄り店舗距離_km,最寄り店舗名
名古屋市千種区,165245.0,35.17078555425999,136.9579223232644,0.161,Ｖ・drug 覚王山法王町店
名古屋市東区,84392.0,35.18441569357944,136.92696532374103,0.539,スギドラッグ 白壁店
名古屋市北区,162956.0,35.21455055846155,136.9120266791167,0.552,Ｖ・drug 中切店
名古屋市西区,151082.0,35.202962220580076,136.8881831270011,0.439,ウエルシアイオンタウン名西店
名古屋市中村区,138599.0,35.16838097305353,136.86349306355822,0.265,スギヤマ調剤薬局 中村日赤前店
名古屋市中区,93100.0,35.164891112484895,136.9090796133653,0.182,スギドラッグ 大津通店
名古屋市昭和区,107599.0,35.14762791894336,136.94142410484585,0.531,薬 マツモトキヨシ 御器所店
名古屋市瑞穂区,108332.0,35.124527499844305,136.9388990082602,0.603,スギドラッグ 瑞穂通店
名古屋市熱田区,66957.0,35.128037918914885,136.90081580150863,0.467,ウエルシア熱田大宝店
名古屋市中川区,220728.0,35.13919513979394,136.84308514381058,0.629,Ｖ・drug 中川野田店
名古屋市港区,143715.0,35.0918239139925,136.84900611351884,0.633,Ｖ・drug 宝神店
名古屋市南区,134510.0,35.09332333340515,136.9235425111975,0.378,ウエルシア名古屋港東通店
名古屋市守山区,176587.0,35.225131527048404,136.99766837003457,0.847,Ｖ－ドラッグ
名古屋市緑区,248802.0,35.07451597288389,136.97261981769202,0.599,Ｖ・drug 尾崎山店
名古屋市名東区,164755.0,35.1669622745394,137.00905657232948,0.743,Zipドラッグ白沢 高針店
名古屋市天白区,164817.0,35.12612833355581,136.98291197268105,0.174,ツルハドラッグ 植田南店
豊橋市,371920.0,34.75441625255809,137.3977888108098,0.426,薬 マツモトキヨシ バロー豊橋店
岡崎市,384654.0,34.95098180151899,137.25657360836612,5.105,Ｖ・drug 岡町店
一宮市,380073.0,35.30995694580645,136.79754057968267,0.67,GENKY（店舗名要確認）
瀬戸市,127792.0,35.240225580995826,137.12234010828925,0.624,GENKY（店舗名要確認）
半田市,117884.0,34.9023281937412,136.91803880375915,0.672,スギドラッグ 半田星崎店
春日井市,308681.0,35.277779306419916,137.0137290876858,1.045,B&Dドラッグストア 高蔵寺コスモスガーデン店
豊川市,184661.0,34.8469644460524,137.34906213938478,1.175,ウエルシア豊川平尾町店
津島市,60942.0,35.166201391880776,136.75822920189876,0.901,GENKY（店舗名要確認）
碧南市,72458.0,34.87898886029771,136.99667453898715,0.651,スギドラッグ 碧南幸店
刈谷市,153834.0,35.008296806002846,137.00929864296486,0.764,スギドラッグ 新富店
豊田市,422330.0,35.14088541872715,137.28331117274766,2.516,ドラッグスギヤマ 豊田足助店
安城市,187990.0,34.94944916699549,137.06319038741935,0.176,DCM 安城福釜店
西尾市,169046.0,34.8444059728574,137.04404506539964,1.513,GENKY（店舗名要確認）
蒲郡市,79538.0,34.81755065309022,137.26137228975526,1.755,GENKY（店舗名要確認）
犬山市,73090.0,35.36880580654281,136.98530206928143,2.645,マツモトキヨシ(ヘルスバンク) 五郎丸店
常滑市,58710.0,34.87744009418503,136.85828554295813,1.41,GENKY（店舗名要確認）
江南市,98255.0,35.33848151341118,136.869313254194,0.249,古知野こちの店
小牧市,148831.0,35.2973463921723,136.9486037647983,0.456,Ｖ・drug 東田中店
稲沢市,134751.0,35.235243500087506,136.76364064071626,2.125,Ｖ・drug 稲沢中央店
新城市,44355.0,34.95013708091162,137.5410914569958,3.167,スギドラッグ 長篠店
東海市,113787.0,35.01917783788696,136.89360685665287,0.32,MEGAドン・キホーテUNY 太田川店
大府市,93123.0,35.014587364964996,136.9640178166257,0.593,ココカラファイン薬局 リソラ大府店
知多市,84364.0,34.97115819369574,136.8687933462703,0.728,GENKY（店舗名要確認）
知立市,72193.0,35.0004899729839,137.04877165104688,0.588,Ｖ・drug 知立店
尾張旭市,83144.0,35.218762905583674,137.03237214484415,0.583,Ｖ・drug 尾張旭店
高浜市,46106.0,34.93248098660831,136.99804788532688,0.33,高浜店
岩倉市,47983.0,35.28038833365474,136.87103024607586,0.432,岩倉店
豊明市,69295.0,35.06131958558046,137.01359395117396,0.398,スギ薬局 豊明寺池店
日進市,91520.0,35.13847555400366,137.05373539767857,1.052,スギドラッグ 日進岩藤店
田原市,59360.0,34.65452775250384,137.24594050621303,2.1,ココカラファイン 田原店
愛西市,60829.0,35.17575729296473,136.68955061937925,2.421,GENKY（店舗名要確認）
清須市,67352.0,35.21619041915258,136.8421011320396,0.335,ツルハドラッグ 清須店
北名古屋市,86385.0,35.245872779804984,136.87103952200476,0.121,薬 マツモトキヨシ ヨシヅヤ西春店
弥富市,43025.0,35.07266403136998,136.76880084376938,1.501,ヤナギ薬局
みよし市,61952.0,35.09988180625041,137.1003385074673,1.43,スギドラッグ 豊田高崎店
あま市,86126.0,35.18261022498194,136.79372221174862,0.614,DCM 美和店
長久手市,60162.0,35.1753036079252,137.06075589856522,0.845,イオンモール長久手
東郷町,43903.0,35.096596527058125,137.0432909977079,0.229,スギドラッグ 東郷店
豊山町,15613.0,35.2506661128009,136.91713030581863,0.586,とよやま調剤薬局
大口町,24305.0,35.33303208541247,136.9134513645577,1.123,Ｖ・drug 大口店
扶桑町,34133.0,35.360105031222275,136.91784803210808,0.351,ドラッグスギヤマ 扶桑店
大治町,32399.0,35.17413694621314,136.82460191940334,0.285,Ｖ・drug 大治店
蟹江町,37338.0,35.12713166624346,136.78523560636913,0.458,ココカラファイン 蟹江店
飛島村,4575.0,35.07409627951975,136.80368445047674,1.698,ヤナギ薬局
阿久比町,28383.0,34.936769473032825,136.91532455766435,0.603,ココカラファイン 阿久比店
東浦町,49596.0,34.96777777972082,136.94969730930865,1.714,GENKY（店舗名要確認）
南知多町,16617.0,34.730569580971434,136.8960374680995,2.594,GENKY（店舗名要確認）
美浜町,22496.0,34.771279513538786,136.88014581493815,2.869,ココカラファイン 奥田店
