都道府県名,市区町村名,大字・町名,字・丁目名,総数
和歌山県,新宮市,あけぼの,,45
和歌山県,田辺市,あけぼの,,1824
和歌山県,橋本市,あやの台,二丁目,1076
和歌山県,橋本市,あやの台,一丁目,1299
和歌山県,橋本市,あやの台,,2375
和歌山県,橋本市,さつき台,二丁目,247
和歌山県,橋本市,さつき台,一丁目,1081
和歌山県,橋本市,さつき台,,1328
和歌山県,串本町,サンゴ台,,595
和歌山県,串本町,サンゴ台,,595
和歌山県,橋本市,しらさぎ台,,330
和歌山県,田辺市,たきない町,,1002
和歌山県,和歌山市,つつじが丘,,1523
和歌山県,海南市,ひや水,,58
和歌山県,橋本市,みゆき台,,592
和歌山県,田辺市,むつみ,,524
和歌山県,新宮市,阿須賀,一丁目,59
和歌山県,新宮市,阿須賀,二丁目,219
和歌山県,新宮市,阿須賀,,278
和歌山県,和歌山市,葵町,,143
和歌山県,和歌山市,芦辺丁,,16
和歌山県,海南市,扱沢,,38
和歌山県,田辺市,鮎川,,10
和歌山県,田辺市,鮎川,,25
和歌山県,田辺市,鮎川,,33
和歌山県,田辺市,鮎川,,46
和歌山県,田辺市,鮎川,,59
和歌山県,田辺市,鮎川,,77
和歌山県,田辺市,鮎川,,96
和歌山県,田辺市,鮎川,,107
和歌山県,田辺市,鮎川,,110
和歌山県,田辺市,鮎川,,121
和歌山県,田辺市,鮎川,,124
和歌山県,田辺市,鮎川,,178
和歌山県,田辺市,鮎川,,180
和歌山県,田辺市,鮎川,,500
和歌山県,田辺市,鮎川,,1666
和歌山県,和歌山市,粟,,1720
和歌山県,紀美野町,安井,,241
和歌山県,串本町,伊串,,203
和歌山県,新宮市,伊佐田町,二丁目,50
和歌山県,新宮市,伊佐田町,一丁目,53
和歌山県,新宮市,伊佐田町,,103
和歌山県,和歌山市,伊太祈曽,,675
和歌山県,和歌山市,井ノ口,,851
和歌山県,新宮市,井の沢,,468
和歌山県,紀美野町,井堰,,61
和歌山県,和歌山市,井戸,,622
和歌山県,海南市,井田,,565
和歌山県,和歌山市,井辺,,3385
和歌山県,和歌山市,磯の浦,,862
和歌山県,田辺市,磯間,,701
和歌山県,古座川町,一雨,,36
和歌山県,田辺市,稲成町,,2660
和歌山県,和歌山市,宇治袋町,,76
和歌山県,和歌山市,宇治藪下,,20
和歌山県,和歌山市,宇須,一丁目,165
和歌山県,和歌山市,宇須,四丁目,478
和歌山県,和歌山市,宇須,二丁目,486
和歌山県,和歌山市,宇須,三丁目,528
和歌山県,和歌山市,宇須,,1657
和歌山県,古座川町,宇津木,,72
和歌山県,和歌山市,宇田森,,826
和歌山県,和歌山市,餌差町,,66
和歌山県,白浜町,栄,,842
和歌山県,和歌山市,栄谷,,4577
和歌山県,田辺市,栄町,,113
和歌山県,和歌山市,永山,,110
和歌山県,紀美野町,永谷,,32
和歌山県,和歌山市,永穂,,793
和歌山県,和歌山市,榎原,,2458
和歌山県,紀美野町,円明寺,,37
和歌山県,和歌山市,園部,,2222
和歌山県,和歌山市,園部,,2520
和歌山県,和歌山市,園部,,6304
和歌山県,和歌山市,延時,,855
和歌山県,御坊市,薗,,2926
和歌山県,和歌山市,塩ノ谷,,32
和歌山県,和歌山市,塩屋,二丁目,23
和歌山県,和歌山市,塩屋,六丁目,247
和歌山県,和歌山市,塩屋,一丁目,281
和歌山県,和歌山市,塩屋,四丁目,281
和歌山県,和歌山市,塩屋,三丁目,697
和歌山県,和歌山市,塩屋,五丁目,784
和歌山県,和歌山市,塩屋,,2313
和歌山県,御坊市,塩屋町南塩屋,,944
和歌山県,御坊市,塩屋町北塩屋,,1184
和歌山県,紀美野町,奥佐々,,60
和歌山県,和歌山市,奥須佐,,315
和歌山県,橋本市,横座,,32
和歌山県,橋本市,横座,,32
和歌山県,新宮市,横町,一丁目,17
和歌山県,新宮市,横町,二丁目,30
和歌山県,新宮市,横町,,47
和歌山県,新宮市,王子町,三丁目,286
和歌山県,新宮市,王子町,二丁目,321
和歌山県,新宮市,王子町,一丁目,577
和歌山県,新宮市,王子町,,1184
和歌山県,上富田町,岡,,1315
和歌山県,和歌山市,岡円福院西ノ丁,,76
和歌山県,和歌山市,岡円福院東ノ丁,,56
和歌山県,和歌山市,岡山丁,,107
和歌山県,和歌山市,岡織屋小路,,50
和歌山県,和歌山市,岡袋町,,16
和歌山県,海南市,岡田,,2285
