市区町村,人口,重心緯度,重心経度,最寄り店舗距離_km,最寄り店舗名
和歌山市,356729.0,34.236162775,135.21467519194675,0.464,ツルハ
海南市,48369.0,34.14840825,135.2514465106454,1.144,コスモス
橋本市,60818.0,34.31290097,135.6048925666804,0.698,welcia
有田市,26538.0,34.084564445,135.14228292116746,1.44,コスモス
御坊市,23481.0,33.882919025,135.17543927450689,2.205,コスモス
田辺市,69870.0,33.85643597,135.62030929013343,24.537,キリン堂
新宮市,27171.0,33.78744194,135.85735461919185,14.666,ドラックセイムス
紀の川市,58816.0,34.262675834999996,135.4018719150181,1.436,コスモス
岩出市,53967.0,34.27894708,135.30498368752944,1.26,ZIPドラック
紀美野町,8256.0,34.15317194,135.39293579815288,9.788,コスモス
かつらぎ町,15967.0,34.22996958,135.50367957031278,7.158,ドラックセイムス
九度山町,3856.0,34.269050969999995,135.61052971493447,5.167,welcia
高野町,2970.0,34.216302639999995,135.58315330056433,9.672,コスモス
湯浅町,11122.0,34.035122975,135.18229549335743,0.4,ココカラファイン
広川町,6781.0,33.98984556,135.21709621355697,6.37,ココカラファイン
有田川町,25258.0,34.078176805,135.36631638199606,12.282,ドラックセイムス
美浜町,6867.0,33.89607125,135.1096705293241,3.629,コスモス
日高町,7673.0,33.931910555,135.11686244823693,3.694,キリン堂
由良町,5364.0,33.97257269,135.11477004550653,7.424,キリン堂
印南町,7720.0,33.84961072,135.25761070338186,5.002,キリン堂
みなべ町,11818.0,33.81477625,135.31893946627508,4.458,ココカラファイン
日高川町,9219.0,33.957577515,135.3839046944641,19.752,コスモス
白浜町,20262.0,33.625429350000005,135.46510289446883,6.827,ドラックセイムス
上富田町,15236.0,33.717698889999994,135.45326495018585,3.478,ドラックセイムス
すさみ町,3685.0,33.569173565,135.55332875937168,11.418,ドラックセイムス
那智勝浦町,14137.0,33.634044865,135.87347976452565,5.92,ドラックセイムス
太地町,2791.0,33.591294405,135.93487302022643,4.274,ドラックセイムス
古座川町,2480.0,33.62251680999999,135.73185679188504,16.805,ドラックセイムス
北山村,404.0,33.962031665,135.94088550391217,27.172,ドラックセイムス
串本町,14959.0,33.51032836,135.72807857877166,6.401,ドラックセイムス
