市区町村,総数,65歳以上,高齢化率
和歌山市,356729.0,110784.0,31.05551
海南市,48369.0,17869.0,36.94308
橋本市,60818.0,20199.0,33.21221
有田市,26538.0,9345.0,35.21366
御坊市,23481.0,7421.0,31.60428
田辺市,69870.0,23724.0,33.95449
新宮市,27171.0,10414.0,38.32763
紀の川市,58816.0,19534.0,33.21205
岩出市,53967.0,13024.0,24.13327
紀美野町,8256.0,4009.0,48.55862
かつらぎ町,15967.0,6430.0,40.27056
九度山町,3856.0,1796.0,46.57676
高野町,2970.0,1224.0,41.21212
湯浅町,11122.0,4110.0,36.95379
広川町,6781.0,2418.0,35.65846
有田川町,25258.0,8329.0,32.97569
美浜町,6867.0,2566.0,37.36712
日高町,7673.0,2321.0,30.24892
由良町,5364.0,2093.0,39.01939
印南町,7720.0,2857.0,37.00777
みなべ町,11818.0,3939.0,33.33051
日高川町,9219.0,3388.0,36.75019
白浜町,20262.0,8069.0,39.82331
上富田町,15236.0,4136.0,27.14623
すさみ町,3685.0,1805.0,48.98236
那智勝浦町,14137.0,6215.0,43.96265
太地町,2791.0,1251.0,44.82264
古座川町,2480.0,1370.0,55.24194
北山村,404.0,182.0,45.0495
串本町,14959.0,6952.0,46.47369
