市区町村,人口,店舗数,人口10万人当たり店舗数
札幌市,1973395.0,96,4.86
札幌市中央区,248680.0,58,23.32
札幌市北区,289323.0,21,7.26
札幌市東区,265379.0,26,9.8
札幌市白石区,211835.0,12,5.66
札幌市豊平区,225298.0,15,6.66
札幌市南区,135777.0,7,5.16
札幌市西区,217040.0,19,8.75
札幌市厚別区,125083.0,8,6.4
札幌市手稲区,142625.0,10,7.01
札幌市清田区,112355.0,6,5.34
函館市,251084.0,69,27.48
小樽市,111299.0,29,26.06
旭川市,329306.0,83,25.2
室蘭市,82383.0,15,18.21
釧路市,165077.0,46,27.87
帯広市,166536.0,39,23.42
北見市,115480.0,31,26.84
夕張市,7334.0,1,13.64
岩見沢市,79306.0,16,20.18
網走市,35759.0,4,11.19
留萌市,20114.0,7,34.8
苫小牧市,170113.0,37,21.75
稚内市,33563.0,12,35.75
美唄市,20413.0,5,24.49
芦別市,12555.0,2,15.93
江別市,121056.0,20,16.52
赤平市,9698.0,1,10.31
紋別市,21215.0,4,18.85
士別市,17858.0,3,16.8
名寄市,27282.0,5,18.33
三笠市,8040.0,1,12.44
根室市,24636.0,3,12.18
千歳市,97950.0,23,23.48
滝川市,39490.0,8,20.26
砂川市,16486.0,3,18.2
歌志内市,2989.0,0,0.0
深川市,20039.0,9,44.91
富良野市,21131.0,6,28.39
登別市,46391.0,9,19.4
恵庭市,70331.0,13,18.48
伊達市,32826.0,4,12.19
北広島市,58171.0,8,13.75
石狩市,56869.0,7,12.31
北斗市,44302.0,7,15.8
当別町,15916.0,2,12.57
新篠津村,3044.0,0,0.0
松前町,6260.0,1,15.97
福島町,3794.0,0,0.0
知内町,4167.0,0,0.0
木古内町,3832.0,1,26.1
七飯町,27686.0,4,14.45
鹿部町,3760.0,0,0.0
森町,14338.0,2,13.95
八雲町,15826.0,3,18.96
長万部町,5109.0,1,19.57
江差町,7428.0,3,40.39
上ノ国町,4306.0,0,0.0
厚沢部町,3592.0,0,0.0
乙部町,3403.0,0,0.0
奥尻町,2410.0,0,0.0
今金町,5072.0,0,0.0
せたな町,7398.0,1,13.52
島牧村,1356.0,0,0.0
寿都町,2838.0,0,0.0
黒松内町,2791.0,0,0.0
蘭越町,4568.0,0,0.0
ニセコ町,5074.0,2,39.42
真狩村,2045.0,0,0.0
留寿都村,1911.0,1,52.33
喜茂別町,2156.0,0,0.0
京極町,2941.0,0,0.0
倶知安町,15129.0,5,33.05
共和町,5772.0,1,17.33
岩内町,11648.0,2,17.17
泊村,1569.0,0,0.0
神恵内村,870.0,0,0.0
積丹町,1831.0,0,0.0
古平町,2745.0,0,0.0
仁木町,3180.0,0,0.0
余市町,18000.0,1,5.56
赤井川村,1165.0,0,0.0
南幌町,7319.0,1,13.66
奈井江町,5120.0,0,0.0
上砂川町,2841.0,0,0.0
由仁町,4822.0,0,0.0
長沼町,10289.0,1,9.72
栗山町,11272.0,2,17.74
月形町,3691.0,0,0.0
浦臼町,1732.0,0,0.0
新十津川町,6484.0,0,0.0
妹背牛町,2693.0,0,0.0
秩父別町,2329.0,0,0.0
雨竜町,2389.0,0,0.0
北竜町,1724.0,0,0.0
沼田町,2909.0,0,0.0
鷹栖町,6567.0,0,0.0
東神楽町,10127.0,2,19.75
当麻町,6319.0,1,15.83
比布町,3520.0,0,0.0
愛別町,2605.0,0,0.0
上川町,3500.0,0,0.0
東川町,8314.0,1,12.03
美瑛町,9668.0,1,10.34
上富良野町,10348.0,1,9.66
中富良野町,4733.0,0,0.0
南富良野町,2376.0,0,0.0
占冠村,1306.0,0,0.0
和寒町,3192.0,0,0.0
剣淵町,2926.0,0,0.0
下川町,3126.0,0,0.0
美深町,4145.0,0,0.0
音威子府村,706.0,0,0.0
中川町,1528.0,0,0.0
幌加内町,1370.0,0,0.0
増毛町,3908.0,0,0.0
小平町,2994.0,0,0.0
苫前町,2936.0,0,0.0
羽幌町,6548.0,1,15.27
初山別村,1080.0,0,0.0
遠別町,2520.0,0,0.0
天塩町,2950.0,1,33.9
猿払村,2611.0,0,0.0
浜頓別町,3448.0,1,29.0
中頓別町,1637.0,0,0.0
枝幸町,7565.0,0,0.0
豊富町,3974.0,0,0.0
礼文町,2509.0,0,0.0
利尻町,2004.0,1,49.9
利尻富士町,2458.0,0,0.0
幌延町,2371.0,0,0.0
美幌町,18697.0,4,21.39
津別町,4373.0,1,22.87
