市区町村,人口
札幌市,1973395.0
札幌市中央区,248680.0
札幌市北区,289323.0
札幌市東区,265379.0
札幌市白石区,211835.0
札幌市豊平区,225298.0
札幌市南区,135777.0
札幌市西区,217040.0
札幌市厚別区,125083.0
札幌市手稲区,142625.0
札幌市清田区,112355.0
函館市,251084.0
小樽市,111299.0
旭川市,329306.0
室蘭市,82383.0
釧路市,165077.0
帯広市,166536.0
北見市,115480.0
夕張市,7334.0
岩見沢市,79306.0
網走市,35759.0
留萌市,20114.0
苫小牧市,170113.0
稚内市,33563.0
美唄市,20413.0
芦別市,12555.0
江別市,121056.0
赤平市,9698.0
紋別市,21215.0
士別市,17858.0
名寄市,27282.0
三笠市,8040.0
根室市,24636.0
千歳市,97950.0
滝川市,39490.0
砂川市,16486.0
歌志内市,2989.0
深川市,20039.0
富良野市,21131.0
登別市,46391.0
恵庭市,70331.0
伊達市,32826.0
北広島市,58171.0
石狩市,56869.0
北斗市,44302.0
当別町,15916.0
新篠津村,3044.0
松前町,6260.0
福島町,3794.0
知内町,4167.0
木古内町,3832.0
七飯町,27686.0
鹿部町,3760.0
森町,14338.0
八雲町,15826.0
長万部町,5109.0
江差町,7428.0
上ノ国町,4306.0
厚沢部町,3592.0
乙部町,3403.0
奥尻町,2410.0
今金町,5072.0
せたな町,7398.0
島牧村,1356.0
寿都町,2838.0
黒松内町,2791.0
蘭越町,4568.0
ニセコ町,5074.0
真狩村,2045.0
留寿都村,1911.0
喜茂別町,2156.0
京極町,2941.0
倶知安町,15129.0
共和町,5772.0
岩内町,11648.0
泊村,1569.0
神恵内村,870.0
積丹町,1831.0
古平町,2745.0
仁木町,3180.0
余市町,18000.0
赤井川村,1165.0
南幌町,7319.0
奈井江町,5120.0
上砂川町,2841.0
由仁町,4822.0
長沼町,10289.0
栗山町,11272.0
月形町,3691.0
浦臼町,1732.0
新十津川町,6484.0
妹背牛町,2693.0
秩父別町,2329.0
雨竜町,2389.0
北竜町,1724.0
沼田町,2909.0
鷹栖町,6567.0
東神楽町,10127.0
当麻町,6319.0
比布町,3520.0
愛別町,2605.0
上川町,3500.0
東川町,8314.0
美瑛町,9668.0
上富良野町,10348.0
中富良野町,4733.0
南富良野町,2376.0
占冠村,1306.0
和寒町,3192.0
剣淵町,2926.0
下川町,3126.0
美深町,4145.0
音威子府村,706.0
中川町,1528.0
幌加内町,1370.0
増毛町,3908.0
小平町,2994.0
苫前町,2936.0
羽幌町,6548.0
初山別村,1080.0
遠別町,2520.0
天塩町,2950.0
猿払村,2611.0
浜頓別町,3448.0
中頓別町,1637.0
枝幸町,7565.0
豊富町,3974.0
礼文町,2509.0
利尻町,2004.0
利尻富士町,2458.0
幌延町,2371.0
美幌町,18697.0
津別町,4373.0
斜里町,11418.0
清里町,3883.0
小清水町,4623.0
訓子府町,4677.0
置戸町,2775.0
佐呂間町,4875.0
遠軽町,19241.0
湧別町,8270.0
滝上町,2421.0
興部町,3628.0
西興部村,1053.0
雄武町,4199.0
大空町,6775.0
豊浦町,3821.0
壮瞥町,2743.0
白老町,16212.0
厚真町,4432.0
洞爺湖町,8442.0
安平町,7340.0
むかわ町,7651.0
日高町,11279.0
平取町,4776.0
新冠町,5309.0
浦河町,12074.0
様似町,4043.0
えりも町,4374.0
新ひだか町,21517.0
音更町,43576.0
士幌町,5848.0
上士幌町,4778.0
鹿追町,5266.0
新得町,5817.0
清水町,9094.0
芽室町,18048.0
中札内村,3884.0
更別村,3080.0
大樹町,5420.0
広尾町,6387.0
幕別町,25766.0
池田町,6294.0
豊頃町,3022.0
本別町,6618.0
足寄町,6563.0
陸別町,2264.0
浦幌町,4387.0
釧路町,19105.0
厚岸町,8892.0
浜中町,5507.0
標茶町,7230.0
弟子屈町,6955.0
鶴居村,2558.0
白糠町,7289.0
別海町,14380.0
中標津町,23010.0
標津町,5023.0
羅臼町,4722.0
