市区町村,総数,65歳以上,高齢化率
札幌市,1973395.0,549151.0,27.82773
札幌市中央区,248680.0,59177.0,23.79645
札幌市北区,289323.0,78409.0,27.10085
札幌市東区,265379.0,69841.0,26.31746
札幌市白石区,211835.0,53382.0,25.1998
札幌市豊平区,225298.0,57729.0,25.6234
札幌市南区,135777.0,48750.0,35.90446
札幌市西区,217040.0,61144.0,28.17177
札幌市厚別区,125083.0,40928.0,32.72067
札幌市手稲区,142625.0,45384.0,31.82051
札幌市清田区,112355.0,34407.0,30.62347
函館市,251084.0,90400.0,36.00389
小樽市,111299.0,45807.0,41.1567
旭川市,329306.0,113885.0,34.58334
室蘭市,82383.0,30549.0,37.08168
釧路市,165077.0,56733.0,34.3676
帯広市,166536.0,49374.0,29.64764
北見市,115480.0,39123.0,33.87859
夕張市,7334.0,3828.0,52.19525
岩見沢市,79306.0,28921.0,36.46761
網走市,35759.0,11289.0,31.56967
留萌市,20114.0,7739.0,38.47569
苫小牧市,170113.0,50575.0,29.73024
稚内市,33563.0,11045.0,32.90826
美唄市,20413.0,8667.0,42.45824
芦別市,12555.0,5997.0,47.76583
江別市,121056.0,36959.0,30.5305
赤平市,9698.0,4748.0,48.95855
紋別市,21215.0,7701.0,36.29979
士別市,17858.0,7358.0,41.20282
名寄市,27282.0,8780.0,32.18239
三笠市,8040.0,3819.0,47.5
根室市,24636.0,8707.0,35.34259
千歳市,97950.0,22718.0,23.19347
滝川市,39490.0,13963.0,35.35832
砂川市,16486.0,6570.0,39.852
歌志内市,2989.0,1594.0,53.32887
深川市,20039.0,8551.0,42.67179
富良野市,21131.0,7271.0,34.40916
登別市,46391.0,17328.0,37.35207
恵庭市,70331.0,19762.0,28.09856
伊達市,32826.0,12603.0,38.39335
北広島市,58171.0,19437.0,33.41356
石狩市,56869.0,19403.0,34.11876
北斗市,44302.0,13396.0,30.23791
当別町,15916.0,5577.0,35.04021
新篠津村,3044.0,1148.0,37.71353
松前町,6260.0,3269.0,52.22045
福島町,3794.0,1852.0,48.81392
知内町,4167.0,1650.0,39.59683
木古内町,3832.0,1910.0,49.84342
七飯町,27686.0,9722.0,35.11522
鹿部町,3760.0,1517.0,40.34574
森町,14338.0,5538.0,38.62463
八雲町,15826.0,5565.0,35.16365
長万部町,5109.0,2128.0,41.65199
江差町,7428.0,2851.0,38.3818
上ノ国町,4306.0,1868.0,43.38133
厚沢部町,3592.0,1540.0,42.87305
乙部町,3403.0,1552.0,45.60682
奥尻町,2410.0,997.0,41.36929
今金町,5072.0,2089.0,41.18691
せたな町,7398.0,3483.0,47.08029
島牧村,1356.0,564.0,41.59292
寿都町,2838.0,1167.0,41.12051
黒松内町,2791.0,1102.0,39.48406
蘭越町,4568.0,1828.0,40.01751
ニセコ町,5074.0,1361.0,26.82302
真狩村,2045.0,705.0,34.47433
留寿都村,1911.0,493.0,25.79801
喜茂別町,2156.0,824.0,38.21892
京極町,2941.0,1143.0,38.86433
倶知安町,15129.0,3771.0,24.92564
共和町,5772.0,1826.0,31.63548
岩内町,11648.0,4365.0,37.47424
泊村,1569.0,625.0,39.83429
神恵内村,870.0,448.0,51.49425
積丹町,1831.0,859.0,46.91425
古平町,2745.0,1200.0,43.71585
仁木町,3180.0,1282.0,40.31447
余市町,18000.0,7283.0,40.46111
赤井川村,1165.0,361.0,30.98712
南幌町,7319.0,2566.0,35.05943
奈井江町,5120.0,2189.0,42.75391
上砂川町,2841.0,1458.0,51.31996
