市区町村,総数,65歳以上,高齢化率
盛岡市,289731.0,81515.0,28.13472
宮古市,50369.0,19125.0,37.96978
大船渡市,34728.0,13131.0,37.81099
花巻市,93193.0,32384.0,34.74939
北上市,93045.0,25492.0,27.3975
久慈市,33043.0,11175.0,33.81957
遠野市,25366.0,10283.0,40.53852
一関市,111932.0,41448.0,37.02963
陸前高田市,18262.0,7370.0,40.35703
釜石市,32078.0,12833.0,40.00561
二戸市,25513.0,9522.0,37.32215
八幡平市,24023.0,9956.0,41.44362
奥州市,112937.0,40123.0,35.52689
滝沢市,55579.0,14186.0,25.52403
雫石町,15731.0,6079.0,38.64344
葛巻町,5634.0,2718.0,48.24281
岩手町,12285.0,4897.0,39.86162
紫波町,32147.0,10097.0,31.40884
矢巾町,28056.0,7381.0,26.3081
西和賀町,5134.0,2619.0,51.01286
金ケ崎町,15535.0,4777.0,30.74992
平泉町,7252.0,2859.0,39.42361
住田町,5045.0,2287.0,45.33201
大槌町,11004.0,4209.0,38.24973
山田町,14320.0,5748.0,40.13966
岩泉町,8726.0,3869.0,44.33876
田野畑村,3059.0,1296.0,42.36679
普代村,2487.0,1067.0,42.9031
軽米町,8421.0,3521.0,41.81214
野田村,3936.0,1514.0,38.46545
九戸村,5378.0,2378.0,44.21718
洋野町,15091.0,6274.0,41.57445
一戸町,11494.0,4882.0,42.47433
