都道府県,KEY_CODE,人口,緯度,経度,最寄り店舗距離_km
青森県,60395715,6,40.42916666666667,139.94375,12.62
青森県,60395725,4,40.4375,139.94375,13.386
青森県,60395735,3,40.44583333333333,139.94375,14.171
青森県,60395785,96,40.4875,139.94375,18.255
青森県,60395786,22,40.4875,139.95624999999998,17.899
青森県,60395796,57,40.49583333333334,139.95624999999998,17.368
青森県,60396715,97,40.5125,139.94375,15.475
青森県,60396716,23,40.5125,139.95624999999998,15.519
青森県,60396726,32,40.520833333333336,139.95624999999998,14.595
青森県,60396745,49,40.5375,139.94375,12.695
青森県,60396755,50,40.54583333333333,139.94375,11.769
青森県,60396764,3,40.55416666666667,139.93125,10.881
青森県,60396765,2,40.55416666666667,139.94375,10.842
青森県,60396774,61,40.5625,139.93125,9.959
青森県,60396784,213,40.57083333333334,139.93125,9.036
青森県,60396793,58,40.57916666666667,139.91875,8.303
青森県,60396794,213,40.57916666666667,139.93125,8.115
青森県,60397629,35,40.60416666666667,139.86875,8.151
青森県,60397638,8,40.6125,139.85625,8.468
青森県,60397639,132,40.6125,139.86875,7.583
青森県,60397649,18,40.62083333333334,139.86875,7.091
青森県,60397700,118,40.587500000000006,139.88125,8.801
青森県,60397701,149,40.587500000000006,139.89374999999998,8.228
青森県,60397702,93,40.587500000000006,139.90625,7.757
青森県,60397703,326,40.587500000000006,139.91875,7.407
青森県,60397704,11,40.587500000000006,139.93125,7.196
青森県,60397739,4,40.6125,139.99375,6.149
青森県,60397740,12,40.62083333333334,139.88125,6.189
青森県,60397750,30,40.62916666666667,139.88125,5.727
青森県,60397751,176,40.62916666666667,139.89374999999998,4.801
青森県,60397758,1,40.62916666666667,139.98125,4.13
青森県,60397759,16,40.62916666666667,139.99375,5.01
青森県,60397761,5,40.6375,139.89374999999998,4.389
青森県,60397763,142,40.6375,139.91875,2.536
青森県,60397764,314,40.6375,139.93125,1.831
青森県,60397769,4,40.6375,139.99375,4.617
青森県,60397772,8,40.645833333333336,139.90625,3.11
青森県,60397773,186,40.645833333333336,139.91875,2.091
青森県,60397774,445,40.645833333333336,139.93125,1.136
青森県,60397784,254,40.65416666666668,139.93125,0.974
青森県,60397785,133,40.65416666666668,139.94375,0.304
青森県,60397786,49,40.65416666666668,139.95624999999998,1.209
青森県,60397795,255,40.66250000000001,139.94375,1.211
青森県,60405465,11,40.47083333333333,140.56875,5.535
青森県,60405466,103,40.47083333333333,140.58124999999998,5.601
青森県,60405469,20,40.47083333333333,140.61875,6.855
青森県,60405472,19,40.47916666666666,140.53125,5.695
青森県,60405474,181,40.47916666666666,140.55625,4.769
青森県,60405479,353,40.47916666666666,140.61875,6.132
青森県,60405482,146,40.4875,140.53125,4.976
青森県,60405484,18,40.4875,140.55625,3.881
青森県,60405489,232,40.4875,140.61875,5.41
青森県,60405494,23,40.49583333333334,140.55625,3.017
青森県,60405498,31,40.49583333333334,140.60625,4.036
青森県,60405499,332,40.49583333333334,140.61875,4.718
青森県,60405520,25,40.4375,140.63125,10.556
青森県,60405530,55,40.44583333333333,140.63125,9.755
青森県,60405531,33,40.44583333333333,140.64374999999998,10.348
青森県,60405532,126,40.44583333333333,140.65625,11.01
青森県,60405540,4,40.454166666666666,140.63125,8.979
青森県,60405550,2,40.4625,140.63125,8.233
青森県,60405560,659,40.47083333333333,140.63125,7.527
青森県,60405570,518,40.47916666666666,140.63125,6.798
青森県,60405580,141,40.4875,140.63125,6.122
青森県,60405711,98,40.42916666666667,140.89374999999998,17.342
青森県,60405712,84,40.42916666666667,140.90625,18.139
青森県,60405734,35,40.44583333333333,140.93125,20.951
青森県,60405735,36,40.44583333333333,140.94375,21.77
青森県,60406231,15,40.52916666666667,140.26874999999998,13.334
青森県,60406239,13,40.52916666666667,140.36875,6.824
青森県,60406241,57,40.5375,140.26874999999998,12.955
青森県,60406249,18,40.5375,140.36875,6.051
青森県,60406251,104,40.54583333333333,140.26874999999998,12.632
青森県,60406252,51,40.54583333333333,140.28125,11.635
青森県,60406258,5,40.54583333333333,140.35625,6.081
青森県,60406259,10,40.54583333333333,140.36875,5.327
青森県,60406261,11,40.55416666666667,140.26874999999998,12.371
青森県,60406262,65,40.55416666666667,140.28125,11.351
青森県,60406269,96,40.55416666666667,140.36875,4.676
青森県,60406272,24,40.5625,140.28125,11.136
青森県,60406273,16,40.5625,140.29375,10.102
青森県,60406276,23,40.5625,140.33124999999998,7.037
青森県,60406278,149,40.5625,140.35625,5.065
青森県,60406279,267,40.5625,140.36875,4.13
青森県,60406283,80,40.57083333333334,140.29375,9.948
青森県,60406289,191,40.57083333333334,140.36875,3.739
青森県,60406290,8,40.57916666666667,140.25625,13.044
青森県,60406291,62,40.57916666666667,140.26874999999998,11.989
青森県,60406292,16,40.57916666666667,140.28125,10.934
青森県,60406293,345,40.57916666666667,140.29375,9.878
青森県,60406294,372,40.57916666666667,140.30625,8.823
青森県,60406295,16,40.57916666666667,140.31875,7.768
青森県,60406335,2,40.52916666666667,140.44375,5.037
青森県,60406344,13,40.5375,140.43125,4.435
青森県,60406345,3,40.5375,140.44375,4.123
青森県,60406346,72,40.5375,140.45624999999998,4.069
青森県,60406354,20,40.54583333333333,140.43125,3.607
青森県,60406356,416,40.54583333333333,140.45624999999998,3.146
青森県,60406357,118,40.54583333333333,140.46875,3.418
青森県,60406364,240,40.55416666666667,140.43125,2.841
青森県,60406365,14,40.55416666666667,140.44375,2.323
青森県,60406366,25,40.55416666666667,140.45624999999998,2.226
青森県,60406367,291,40.55416666666667,140.46875,2.597
青森県,60406368,22,40.55416666666667,140.48125,2.278
青森県,60406369,475,40.55416666666667,140.49375,2.015
青森県,60406374,207,40.5625,140.43125,2.201
青森県,60406375,406,40.5625,140.44375,1.474
青森県,60406377,705,40.5625,140.46875,1.876
青森県,60406378,1853,40.5625,140.48125,1.521
青森県,60406379,387,40.5625,140.49375,1.088
青森県,60406380,219,40.57083333333334,140.38125,2.76
青森県,60406381,8,40.57083333333334,140.39374999999998,1.866
青森県,60406385,1076,40.57083333333334,140.44375,0.816
青森県,60406386,1255,40.57083333333334,140.45624999999998,0.473
青森県,60406387,1156,40.57083333333334,140.46875,1.418
青森県,60406388,5437,40.57083333333334,140.48125,1.075
青森県,60406389,2848,40.57083333333334,140.49375,0.162
青森県,60406390,189,40.57916666666667,140.38125,2.5
青森県,60406391,308,40.57916666666667,140.39374999999998,1.455
青森県,60406393,42,40.57916666666667,140.41875,0.735
青森県,60406394,127,40.57916666666667,140.43125,1.759
青森県,60406395,2770,40.57916666666667,140.44375,0.936
青森県,60406396,2801,40.57916666666667,140.45624999999998,0.659
青森県,60406397,4597,40.57916666666667,140.46875,0.998
青森県,60406398,4442,40.57916666666667,140.48125,0.902
青森県,60406399,4320,40.57916666666667,140.49375,0.372
青森県,60406400,5,40.50416666666667,140.50625,5.76
青森県,60406401,24,40.50416666666667,140.51874999999998,4.77
青森県,60406402,341,40.50416666666667,140.53125,3.815
青森県,60406404,93,40.50416666666667,140.55625,2.205
青森県,60406405,13,40.50416666666667,140.56875,1.835
青森県,60406408,140,40.50416666666667,140.60625,3.316
青森県,60406409,131,40.50416666666667,140.61875,4.119
青森県,60406411,16,40.5125,140.51874999999998,4.497
青森県,60406412,79,40.5125,140.53125,3.468
青森県,60406413,145,40.5125,140.54375,2.463
青森県,60406414,200,40.5125,140.55625,1.529
青森県,60406415,499,40.5125,140.56875,0.917
青森県,60406416,51,40.5125,140.58124999999998,1.256
青森県,60406417,210,40.5125,140.59375,1.92
青森県,60406418,526,40.5125,140.60625,2.724
青森県,60406419,2,40.5125,140.61875,3.659
青森県,60406423,303,40.520833333333336,140.54375,2.293
青森県,60406424,230,40.520833333333336,140.55625,1.237
青森県,60406425,1995,40.520833333333336,140.56875,0.182
青森県,60406426,981,40.520833333333336,140.58124999999998,0.57
青森県,60406427,392,40.520833333333336,140.59375,1.352
青森県,60406428,28,40.520833333333336,140.60625,2.359
青森県,60406429,1,40.520833333333336,140.61875,3.396
青森県,60406433,35,40.52916666666667,140.54375,2.483
青森県,60406434,233,40.52916666666667,140.55625,1.562
青森県,60406435,61,40.52916666666667,140.56875,0.956
青森県,60406436,36,40.52916666666667,140.58124999999998,0.428
青森県,60406443,146,40.5375,140.54375,2.965
青森県,60406444,562,40.5375,140.55625,2.251
青森県,60406445,44,40.5375,140.56875,1.578
青森県,60406451,155,40.54583333333333,140.51874999999998,3.617
青森県,60406453,73,40.54583333333333,140.54375,3.624
青森県,60406454,305,40.54583333333333,140.55625,2.957
青森県,60406455,127,40.54583333333333,140.56875,2.405
青森県,60406460,274,40.55416666666667,140.50625,2.271
青森県,60406461,732,40.55416666666667,140.51874999999998,2.913
青森県,60406462,341,40.55416666666667,140.53125,3.748
青森県,60406463,1242,40.55416666666667,140.54375,3.608
青森県,60406464,42,40.55416666666667,140.55625,3.232
青森県,60406465,637,40.55416666666667,140.56875,3.116
青森県,60406468,331,40.55416666666667,140.60625,3.911
青森県,60406470,24,40.5625,140.50625,1.511
青森県,60406471,31,40.5625,140.51874999999998,2.369
青森県,60406472,7,40.5625,140.53125,3.342
青森県,60406473,325,40.5625,140.54375,2.833
青森県,60406474,343,40.5625,140.55625,2.335
青森県,60406475,309,40.5625,140.56875,2.194
青森県,60406476,2,40.5625,140.58124999999998,2.321
青森県,60406477,322,40.5625,140.59375,2.861
青森県,60406478,491,40.5625,140.60625,3.636
青森県,60406479,76,40.5625,140.61875,4.525
青森県,60406480,711,40.57083333333334,140.50625,1.061
青森県,60406481,380,40.57083333333334,140.51874999999998,2.111
青森県,60406482,61,40.57083333333334,140.53125,3.091
青森県,60406483,391,40.57083333333334,140.54375,2.18
青森県,60406484,287,40.57083333333334,140.55625,1.476
青森県,60406485,485,40.57083333333334,140.56875,1.278
青森県,60406486,613,40.57083333333334,140.58124999999998,1.485
青森県,60406487,43,40.57083333333334,140.59375,2.238
青森県,60406488,358,40.57083333333334,140.60625,3.168
青森県,60406489,247,40.57083333333334,140.61875,4.159
青森県,60406490,824,40.57916666666667,140.50625,1.163
青森県,60406491,407,40.57916666666667,140.51874999999998,2.19
青森県,60406492,297,40.57916666666667,140.53125,2.582
青森県,60406493,301,40.57916666666667,140.54375,1.738
青森県,60406494,748,40.57916666666667,140.55625,0.788
青森県,60406495,1508,40.57916666666667,140.56875,0.414
青森県,60406496,691,40.57916666666667,140.58124999999998,0.863
青森県,60406497,22,40.57916666666667,140.59375,1.883
青森県,60406498,16,40.57916666666667,140.60625,2.929
青森県,60406509,2,40.50416666666667,140.74375,14.124
青森県,60406511,19,40.5125,140.64374999999998,5.659
青森県,60406512,6,40.5125,140.65625,6.685
青森県,60406518,39,40.5125,140.73125,12.946
青森県,60406520,129,40.520833333333336,140.63125,4.442
青森県,60406521,89,40.520833333333336,140.64374999999998,5.492
青森県,60406527,31,40.520833333333336,140.71875,11.817
青森県,60406528,36,40.520833333333336,140.73125,12.873
青森県,60406537,3,40.52916666666667,140.71875,11.811
青森県,60406538,10,40.52916666666667,140.73125,12.867
青森県,60406539,62,40.52916666666667,140.74375,13.923
青森県,60406545,47,40.5375,140.69375,9.779
青森県,60406546,14,40.5375,140.70624999999998,10.827
青森県,60406554,38,40.54583333333333,140.68125,8.92
青森県,60406555,46,40.54583333333333,140.69375,9.946
青森県,60406557,3,40.54583333333333,140.71875,12.014
青森県,60406558,29,40.54583333333333,140.73125,13.053
青森県,60406584,4,40.57083333333334,140.68125,9.329
青森県,60406588,1,40.57083333333334,140.73125,13.327
青森県,60406594,1,40.57916666666667,140.68125,9.076
青森県,60406595,1,40.57916666666667,140.69375,10.042
青森県,60406602,9,40.50416666666667,140.78125,17.256
青森県,60406611,21,40.5125,140.76874999999998,16.099
青森県,60406612,5,40.5125,140.78125,17.152
青森県,60406620,4,40.520833333333336,140.75625,14.984
青森県,60406630,19,40.52916666666667,140.75625,14.979
青森県,60406631,6,40.52916666666667,140.76874999999998,16.035
青森県,60406788,3,40.57083333333334,140.98125,17.743
青森県,60406798,24,40.57916666666667,140.98125,17.529
青森県,60406799,85,40.57916666666667,140.99375,16.497
青森県,60407030,8,40.6125,140.00625,6.934
青森県,60407040,4,40.62083333333334,140.00625,6.392
青森県,60407080,22,40.65416666666668,140.00625,5.401
青森県,60407090,21,40.66250000000001,140.00625,5.527
青森県,60407169,67,40.6375,140.24375,14.938
青森県,60407189,1,40.65416666666668,140.24375,13.095
青森県,60407202,75,40.587500000000006,140.28125,10.949
青森県,60407204,127,40.587500000000006,140.30625,8.843
青森県,60407205,240,40.587500000000006,140.31875,7.79
青森県,60407206,269,40.587500000000006,140.33124999999998,6.739
青森県,60407207,245,40.587500000000006,140.34375,5.689
青森県,60407212,21,40.59583333333334,140.28125,11.042
青森県,60407217,419,40.59583333333334,140.34375,5.868
青森県,60407218,236,40.59583333333334,140.35625,4.86
青森県,60407227,15,40.60416666666667,140.34375,6.182
青森県,60407228,8,40.60416666666667,140.35625,5.235
