都道府県,市区町村,人口,店舗数,人口10万人当たり店舗数
青森県,青森市,275192.0,43,15.63
青森県,弘前市,168466.0,34,20.18
青森県,八戸市,223415.0,40,17.9
青森県,黒石市,31946.0,6,18.78
青森県,五所川原市,51415.0,14,27.23
青森県,十和田市,60378.0,13,21.53
青森県,三沢市,39152.0,9,22.99
青森県,むつ市,54103.0,15,27.72
青森県,つがる市,30934.0,6,19.4
青森県,平川市,30567.0,5,16.36
青森県,平内町,10126.0,2,19.75
青森県,今別町,2334.0,0,0.0
青森県,蓬田村,2540.0,0,0.0
青森県,外ヶ浜町,5401.0,1,18.52
青森県,鰺ヶ沢町,9044.0,3,33.17
青森県,深浦町,7346.0,1,13.61
青森県,西目屋村,1265.0,0,0.0
青森県,藤崎町,14573.0,3,20.59
青森県,大鰐町,8665.0,2,23.08
青森県,田舎館村,7326.0,0,0.0
青森県,板柳町,12700.0,4,31.5
青森県,鶴田町,12074.0,2,16.56
青森県,中泊町,9657.0,2,20.71
青森県,野辺地町,12374.0,4,32.33
青森県,七戸町,14556.0,3,20.61
青森県,六戸町,10447.0,2,19.14
青森県,横浜町,4229.0,0,0.0
青森県,東北町,16428.0,5,30.44
青森県,六ヶ所村,10367.0,1,9.65
青森県,おいらせ町,24273.0,6,24.72
青森県,大間町,4718.0,2,42.39
青森県,東通村,5955.0,0,0.0
青森県,風間浦村,1636.0,0,0.0
青森県,佐井村,1788.0,0,0.0
青森県,三戸町,9082.0,4,44.04
青森県,五戸町,16042.0,3,18.7
青森県,田子町,4968.0,0,0.0
青森県,南部町,16809.0,4,23.8
青森県,階上町,13496.0,3,22.23
青森県,新郷村,2197.0,0,0.0
岩手県,盛岡市,289731.0,78,26.92
岩手県,宮古市,50369.0,13,25.81
岩手県,大船渡市,34728.0,13,37.43
岩手県,花巻市,93193.0,27,28.97
岩手県,北上市,93045.0,27,29.02
岩手県,久慈市,33043.0,12,36.32
岩手県,遠野市,25366.0,7,27.6
岩手県,一関市,111932.0,23,20.55
岩手県,陸前高田市,18262.0,8,43.81
岩手県,釜石市,32078.0,8,24.94
岩手県,二戸市,25513.0,9,35.28
岩手県,八幡平市,24023.0,4,16.65
岩手県,奥州市,112937.0,29,25.68
岩手県,滝沢市,55579.0,14,25.19
岩手県,岩手郡雫石町,15731.0,2,12.71
岩手県,岩手郡葛巻町,5634.0,1,17.75
岩手県,岩手郡岩手町,12285.0,5,40.7
岩手県,紫波郡紫波町,32147.0,10,31.11
岩手県,紫波郡矢巾町,28056.0,8,28.51
岩手県,和賀郡西和賀町,5134.0,1,19.48
岩手県,胆沢郡金ケ崎町,15535.0,3,19.31
岩手県,西磐井郡平泉町,7252.0,2,27.58
岩手県,気仙郡住田町,5045.0,1,19.82
岩手県,上閉伊郡大槌町,11004.0,3,27.26
岩手県,下閉伊郡山田町,14320.0,4,27.93
岩手県,下閉伊郡岩泉町,8726.0,3,34.38
岩手県,下閉伊郡田野畑村,3059.0,1,32.69
岩手県,下閉伊郡普代村,2487.0,0,0.0
岩手県,九戸郡軽米町,8421.0,1,11.88
岩手県,九戸郡野田村,3936.0,0,0.0
岩手県,九戸郡九戸村,5378.0,1,18.59
岩手県,九戸郡洋野町,15091.0,2,13.25
岩手県,二戸郡一戸町,11494.0,3,26.1
宮城県,仙台市,1096704.0,1,0.09
宮城県,仙台市青葉区,311590.0,45,14.44
宮城県,仙台市宮城野区,196732.0,24,12.2
宮城県,仙台市若林区,141475.0,23,16.26
宮城県,仙台市太白区,234758.0,44,18.74
宮城県,仙台市泉区,212149.0,42,19.8
宮城県,石巻市,140151.0,31,22.12
宮城県,塩竈市,52203.0,8,15.32
宮城県,気仙沼市,61147.0,15,24.53
宮城県,白石市,32758.0,6,18.32
宮城県,名取市,78718.0,18,22.87
宮城県,角田市,27976.0,6,21.45
宮城県,多賀城市,62827.0,8,12.73
宮城県,岩沼市,44068.0,10,22.69
宮城県,登米市,76037.0,16,21.04
宮城県,栗原市,64637.0,11,17.02
宮城県,東松島市,39098.0,8,20.46
宮城県,大崎市,127330.0,26,20.42
宮城県,富谷市,51651.0,9,17.42
宮城県,蔵王町,11418.0,1,8.76
宮城県,七ヶ宿町,1262.0,0,0.0
宮城県,大河原町,23571.0,6,25.46
宮城県,村田町,10666.0,3,28.13
宮城県,柴田町,38271.0,8,20.9
宮城県,川崎町,8345.0,1,11.98
宮城県,丸森町,12262.0,2,16.31
