都道府県,市区町村,人口,重心緯度,重心経度,最寄り店舗距離_km,最寄り店舗名
青森県,青森市,275192.0,40.788100054,140.77390133504863,1.404,ツルハドラッグ 青森浜田店
青森県,弘前市,168466.0,40.614486446,140.39462673220115,2.506,ツルハドラッグ 弘前岩木店
青森県,八戸市,223415.0,40.475495667,141.4902372997925,2.461,サンドラッグ 八戸青葉店
青森県,黒石市,31946.0,40.6134351935,140.72354670635934,10.728,ハッピー・ドラッグ 黒石北美店
青森県,五所川原市,51415.0,40.862672865,140.49600844738177,6.107,ハッピー・ドラッグ 五所川原金木店
青森県,十和田市,60378.0,40.561388081,141.0811152250295,10.356,薬王堂 十和田三本木店
青森県,三沢市,39152.0,40.7738073195,141.38358831523402,9.158,薬王堂 岡三沢店
青森県,むつ市,54103.0,41.2915720855,141.04977900432192,9.966,ツルハドラッグ むつ大平店
青森県,つがる市,30934.0,40.8845937655,140.3542400126486,3.11,薬王堂 つがる稲垣店
青森県,平川市,30567.0,40.516727545,140.77629444239562,16.699,薬王堂 青森大鰐店
青森県,平内町,10126.0,40.908620419,140.96727806536336,1.944,ツルハドラッグ 平内店
青森県,今別町,2334.0,41.16614586,140.5093934272195,16.065,薬王堂 青森中泊店
青森県,蓬田村,2540.0,40.992273419,140.59108791326474,6.993,ハッピー・ドラッグ 青森蟹田店
青森県,外ヶ浜町,5401.0,41.119306887,140.59187415686463,8.935,ハッピー・ドラッグ 青森蟹田店
青森県,鰺ヶ沢町,9044.0,40.6177296125,140.15230839351415,18.118,ハッピー・ドラッグ 青森深浦店
青森県,深浦町,7346.0,40.594541194,139.98328231165084,7.232,ハッピー・ドラッグ 青森深浦店
青森県,西目屋村,1265.0,40.5236781665,140.21950339788424,17.389,薬王堂 弘前相馬店
青森県,藤崎町,14573.0,40.681547581,140.51561176417917,1.806,薬王堂 青森常盤店
青森県,大鰐町,8665.0,40.473517279,140.51679853623406,6.95,ハッピー・ドラッグ 青森大鰐店
青森県,田舎館村,7326.0,40.6448398065,140.54349480718116,2.948,薬王堂 青森常盤店
青森県,板柳町,12700.0,40.713028554,140.4777248936573,2.033,ツルハドラッグ 板柳店
青森県,鶴田町,12074.0,40.755919234,140.42740749046544,0.207,薬王堂 青森鶴田店
青森県,中泊町,9657.0,41.012297527,140.441914919207,4.163,薬王堂 青森中泊店
青森県,野辺地町,12374.0,40.9012048335,141.19928393694693,7.405,ツルハドラッグ 野辺地店
青森県,七戸町,14556.0,40.724838694,141.0703441311545,8.269,薬王堂 青森天間林店
青森県,六戸町,10447.0,40.6317889595,141.30788980438336,2.631,薬王堂 青森六戸店
青森県,横浜町,4229.0,41.063465027,141.29328200360544,13.23,薬王堂 青森六ヶ所店
青森県,東北町,16428.0,40.7979713335,141.24688809381576,3.169,薬王堂 青森乙供店
青森県,六ヶ所村,10367.0,40.9820495945,141.3247749845193,3.85,薬王堂 青森六ヶ所店
青森県,おいらせ町,24273.0,40.6274888335,141.3999362712646,2.935,薬王堂 おいらせ上久保店
青森県,大間町,4718.0,41.483785153,140.92836081792456,4.469,ハッピー・ドラッグ 青森大間店
青森県,東通村,5955.0,41.2687158465,141.33252268079903,9.816,薬王堂 むつ横迎町店
青森県,風間浦村,1636.0,41.4751962525,141.01820854342785,9.982,薬王堂 青森大間店
青森県,佐井村,1788.0,41.339394608000006,140.84721207688852,20.876,ハッピー・ドラッグ 青森大間店
青森県,三戸町,9082.0,40.363294387,141.22969016008489,1.541,薬王堂 青森三戸店
青森県,五戸町,16042.0,40.5030704275,141.27837972216173,3.181,薬王堂 青森五戸店
青森県,田子町,4968.0,40.3070452205,141.05833814607877,15.91,ドラッグふじや
青森県,南部町,16809.0,40.417606365,141.3147011116526,2.742,薬王堂 青森南部町店
青森県,階上町,13496.0,40.419049581,141.56771140747497,5.7,ハッピー・ドラッグ 青森階上店
青森県,新郷村,2197.0,40.4497868875,141.11708437044527,13.673,ツルハドラッグ 三戸店
岩手県,盛岡市,289731.0,39.7469504865,141.25935505678504,8.436,薬王堂 盛岡三ツ割店
岩手県,宮古市,50369.0,39.635006356000005,141.6533506904584,22.028,ツルハドラッグ 宮古千徳店
岩手県,大船渡市,34728.0,39.0943781215,141.72172563306356,0.688,薬王堂 大船渡店
岩手県,花巻市,93193.0,39.418715752,141.11900179041712,0.791,薬王堂花巻西宮野目店
岩手県,北上市,93045.0,39.3278290855,140.9720775520937,5.872,薬王堂 北上和賀店
岩手県,久慈市,33043.0,40.1517765675,141.67272188249447,8.198,薬王堂 久慈西の沢店
岩手県,遠野市,25366.0,39.375297667,141.47919217854582,5.881,ドラッグストア マツモトキヨシ 遠野店
岩手県,一関市,111932.0,38.954842365000005,141.30593565209938,4.83,薬王堂 一関大東店
岩手県,陸前高田市,18262.0,39.032250166500006,141.5746297726765,3.728,薬王堂 高田滝の里店
岩手県,釜石市,32078.0,39.290098973,141.79925010330214,4.113,薬王堂 釜石店
岩手県,二戸市,25513.0,40.2307574595,141.1488686208445,5.145,ドラッグふじや
岩手県,八幡平市,24023.0,40.0437277205,140.99495165566935,13.381,薬王堂 西根平舘店
岩手県,奥州市,112937.0,39.1519430675,141.2203952024131,3.743,薬王堂 江刺愛宕店
岩手県,滝沢市,55579.0,39.7845824325,141.0847100751808,3.963,カワチ薬品 巣子店
岩手県,岩手郡雫石町,15731.0,39.701984739,140.91981943359335,4.872,薬王堂 岩手雫石店
岩手県,岩手郡葛巻町,5634.0,40.0138479595,141.42594468882083,3.322,薬王堂 岩手葛巻店
岩手県,岩手郡岩手町,12285.0,39.9573687255,141.25465210370209,3.257,薬王堂 沼宮内北店
岩手県,紫波郡紫波町,32147.0,39.545372086,141.13056559063455,2.864,薬王堂 紫波桜町店
岩手県,紫波郡矢巾町,28056.0,39.610427446,141.12224589305524,2.264,㈱薬王堂 岩手ドライセンター
岩手県,和賀郡西和賀町,5134.0,39.384612698,140.7609094535,6.924,薬王堂 岩手西和賀店
岩手県,胆沢郡金ケ崎町,15535.0,39.1944587525,141.02434776361315,6.108,薬王堂 岩手金ケ崎店
岩手県,西磐井郡平泉町,7252.0,38.989137559,141.1010178084157,1.633,薬王堂 岩手平泉店
岩手県,気仙郡住田町,5045.0,39.1812085725,141.53606967932484,5.218,薬王堂 岩手住田店
岩手県,上閉伊郡大槌町,11004.0,39.4364923875,141.79115935942554,12.465,ツルハドラッグ 大槌店
岩手県,下閉伊郡山田町,14320.0,39.481195527,141.8910909820365,5.349,ツルハドラッグ 岩手山田店
岩手県,下閉伊郡岩泉町,8726.0,39.8623936805,141.68840254676326,8.748,ツルハドラッグ 岩泉店
岩手県,下閉伊郡田野畑村,3059.0,39.923705766,141.86088949265886,2.854,特定非営利活動法人ハックの家
岩手県,下閉伊郡普代村,2487.0,40.008643018,141.85942048315616,9.757,特定非営利活動法人ハックの家
岩手県,九戸郡軽米町,8421.0,40.299032,141.47113197349756,2.549,薬王堂 岩手軽米店
岩手県,九戸郡野田村,3936.0,40.074516162,141.78354779698185,5.34,薬王堂 岩手野田店
岩手県,九戸郡九戸村,5378.0,40.1918437745,141.4372778350539,3.808,薬王堂 岩手九戸店
岩手県,九戸郡洋野町,15091.0,40.3320822385,141.6775236044252,9.34,薬王堂 岩手洋野店
岩手県,二戸郡一戸町,11494.0,40.141324031500005,141.2621749668424,7.966,薬王堂 岩手一戸店
宮城県,仙台市青葉区,311590.0,38.3454653335,140.6561362298596,11.114,薬王堂 仙台愛子店
宮城県,仙台市宮城野区,196732.0,38.2852689865,140.93179021939142,0.524,ツルハドラッグ 仙台新田東店
宮城県,仙台市若林区,141475.0,38.217803752,140.9486404089285,1.513,ドラッグストアモリ六郷店
宮城県,仙台市太白区,234758.0,38.2760970675,140.587393752674,11.062,薬王堂 宮城川崎店
宮城県,仙台市泉区,212149.0,38.3606628335,140.77933086697954,3.934,薬王堂 仙台泉紫山店
宮城県,石巻市,140151.0,38.4519216665,141.32405199274228,1.804,ドラッグストアモリ 石巻中里店
宮城県,塩竈市,52203.0,38.3260400315,141.02276577204583,0.498,ツルハドラッグ 塩釜店
宮城県,気仙沼市,61147.0,38.871196707,141.52068571103814,3.782,ツルハドラッグ 気仙沼上田中店
宮城県,白石市,32758.0,37.9981259865,140.60432522232884,0.633,薬王堂 白石店
宮城県,名取市,78718.0,38.164452392,140.87574934942734,0.445,ツルハドラッグ 名取手倉田店
宮城県,角田市,27976.0,37.99468722100001,140.7676480155896,1.76,ツルハドラッグ 角田店
宮城県,多賀城市,62827.0,38.2953308605,140.99888567167116,0.643,ドラッグストア マツモトキヨシ 多賀城城南店
宮城県,岩沼市,44068.0,38.097528081,140.87750752933454,0.607,ツルハドラッグ 岩沼南店
宮城県,登米市,76037.0,38.685309766,141.21934320808683,0.918,薬王堂 登米迫森店
宮城県,栗原市,64637.0,38.7958959145,140.94585680531569,4.529,薬王堂 栗駒SC店
宮城県,東松島市,39098.0,38.4129425405,141.17906018846583,1.789,薬王堂 東松島鳴瀬店
宮城県,大崎市,127330.0,38.682569779000005,140.87454458646533,4.412,ツルハドラッグ 宮城岩出山店
宮城県,富谷市,51651.0,38.3823246215,140.9023682250796,2.01,薬王堂 富谷成田店
宮城県,蔵王町,11418.0,38.0920830135,140.6160483811691,3.515,ツルハドラッグ 宮城蔵王店
宮城県,七ヶ宿町,1262.0,38.038343919,140.38601302102813,14.618,ドラッグヤマザワ 上山金生店
宮城県,大河原町,23571.0,38.049565081,140.71386621504143,0.57,カワチ薬品 大河原店
宮城県,村田町,10666.0,38.1197132655,140.73220546982753,1.234,薬王堂 宮城村田店
宮城県,柴田町,38271.0,38.0884716935,140.79386840182525,0.977,薬王堂 柴田槻木店
宮城県,川崎町,8345.0,38.200567081,140.60916889809704,2.969,薬王堂 宮城川崎店
宮城県,丸森町,12262.0,37.870213081,140.7721014566742,4.553,薬王堂 宮城丸森店
宮城県,亘理町,33087.0,38.042372081,140.87501359470147,0.131,ツルハドラッグ 亘理店
宮城県,山元町,12046.0,37.945946986500005,140.88563029750264,2.331,薬王堂 山元SC店
宮城県,松島町,13323.0,38.4000847385,141.07177608761555,1.359,ツルハドラッグ 松島店
宮城県,七ヶ浜町,18132.0,38.2991454325,141.06163573404206,0.644,ドラッグヤマザワ汐見台店
宮城県,利府町,35182.0,38.3415474685,140.97446857436324,0.792,ウエルシア利府青山店
宮城県,大和町,28786.0,38.4217298195,140.80561971119124,6.761,薬王堂 宮城大富店
宮城県,大郷町,7813.0,38.4343195,141.0175081110029,2.244,薬王堂 宮城大郷店
宮城県,大衡村,5849.0,38.478407302,140.8701609493105,4.592,ドラッグヤマザワ吉岡店
宮城県,色麻町,6698.0,38.510155,140.78697858843947,7.105,薬王堂 加美小野田店
宮城県,加美町,21943.0,38.5816358335,140.7242041036546,6.134,薬王堂 加美小野田店
宮城県,涌谷町,15388.0,38.5570993875,141.16426523348446,4.125,薬王堂 宮城涌谷店
宮城県,美里町,23994.0,38.515548653,141.1159990915503,2.394,ツルハドラッグ 涌谷店
宮城県,女川町,6430.0,38.4386080945,141.428955190804,1.2,ツルハドラッグ 宮城女川店
宮城県,南三陸町,12225.0,38.673292892,141.4149546762652,2.536,薬王堂 宮城志津川店
秋田県,秋田市,307672.0,39.656944973,140.18603105075056,1.96,ツルハドラッグ 秋田御所野店
秋田県,能代市,49968.0,40.210992234,140.1392703435747,5.719,ツルハドラッグ 東能代店
秋田県,横手市,85555.0,39.2510925,140.58961347953868,5.376,薬王堂 十文字梨木店
秋田県,大館市,69237.0,40.267672288,140.56831886051407,0.603,サンドラッグ 大館東台店
秋田県,男鹿市,25154.0,39.964887054,139.87833977592896,6.284,ツルハドラッグ 男鹿払戸店
秋田県,湯沢市,42091.0,39.045738338,140.52473646864422,6.067,薬王堂 湯沢雄勝店
秋田県,鹿角市,29088.0,40.1950261665,140.81008763681496,1.569,ツルハドラッグ 鹿角店
秋田県,由利本荘市,74707.0,39.3059734055,140.1701704447504,8.307,薬王堂 由利本荘矢島店
秋田県,潟上市,31720.0,39.8661590135,140.05942949464549,0.399,ツルハドラッグ 潟上昭和店
秋田県,大仙市,77657.0,39.544428279,140.4840296533214,4.721,ツルハドラッグ 中仙店
秋田県,北秋田市,30198.0,40.07524268,140.51940922556943,12.878,薬王堂北秋田米内沢店
秋田県,にかほ市,23435.0,39.209288239,139.97311136961582,5.903,薬王堂 にかほ象潟店
秋田県,仙北市,24610.0,39.775389266,140.6617940144058,10.093,ツルハドラッグ 田沢湖店
秋田県,小坂町,4780.0,40.396706153,140.7485475103405,8.082,ハッピー・ドラッグ 秋田小坂店
秋田県,上小阿仁村,2063.0,39.943739599500006,140.31047611931768,16.193,五城目中央ドラッグ
秋田県,藤里町,2896.0,40.343456293,140.27185574384714,15.387,ツルハドラッグ 鷹巣店
