都道府県,市区町村,総数,65歳以上,高齢化率
青森県,青森市,275192.0,87937.0,31.95478
青森県,弘前市,168466.0,54400.0,32.29138
青森県,八戸市,223415.0,69756.0,31.22261
青森県,黒石市,31946.0,10960.0,34.30789
青森県,五所川原市,51415.0,18477.0,35.93698
青森県,十和田市,60378.0,20490.0,33.9362
青森県,三沢市,39152.0,10518.0,26.86453
青森県,むつ市,54103.0,18462.0,34.1238
青森県,つがる市,30934.0,12013.0,38.83429
青森県,平川市,30567.0,10779.0,35.26352
青森県,平内町,10126.0,4165.0,41.13174
青森県,今別町,2334.0,1290.0,55.26992
青森県,蓬田村,2540.0,1077.0,42.40157
青森県,外ヶ浜町,5401.0,2752.0,50.95353
青森県,鰺ヶ沢町,9044.0,4035.0,44.61521
青森県,深浦町,7346.0,3726.0,50.72148
青森県,西目屋村,1265.0,501.0,39.60474
青森県,藤崎町,14573.0,4797.0,32.91704
青森県,大鰐町,8665.0,3772.0,43.53145
青森県,田舎館村,7326.0,2639.0,36.02239
青森県,板柳町,12700.0,4822.0,37.9685
青森県,鶴田町,12074.0,4575.0,37.89134
青森県,中泊町,9657.0,4289.0,44.41338
青森県,野辺地町,12374.0,4713.0,38.08793
青森県,七戸町,14556.0,5944.0,40.83539
青森県,六戸町,10447.0,3531.0,33.79918
青森県,横浜町,4229.0,1691.0,39.98581
青森県,東北町,16428.0,6304.0,38.37351
青森県,六ヶ所村,10367.0,2634.0,25.40754
青森県,おいらせ町,24273.0,6755.0,27.82928
青森県,大間町,4718.0,1712.0,36.28656
青森県,東通村,5955.0,2117.0,35.54996
青森県,風間浦村,1636.0,758.0,46.33252
青森県,佐井村,1788.0,860.0,48.09843
青森県,三戸町,9082.0,3798.0,41.81898
青森県,五戸町,16042.0,6467.0,40.31293
青森県,田子町,4968.0,2183.0,43.94122
青森県,南部町,16809.0,6726.0,40.01428
青森県,階上町,13496.0,4306.0,31.90575
青森県,新郷村,2197.0,1084.0,49.34001
岩手県,盛岡市,289731.0,81515.0,28.13472
岩手県,宮古市,50369.0,19125.0,37.96978
岩手県,大船渡市,34728.0,13131.0,37.81099
岩手県,花巻市,93193.0,32384.0,34.74939
