都道府県,分析方法,距離種別,店舗探索範囲,人口加重平均距離_km,人口加重中央値_km,人口加重90パーセンタイル_km,対象市区町村数,対象人口,対象メッシュ数
青森県,市区町村重心法,直線距離(Haversine),tohoku,4.501,2.506,10.356,40.0,1237984,
青森県,1kmメッシュ法,直線距離(Haversine),tohoku,1.823,0.794,4.214,,1237984,3545.0
岩手県,市区町村重心法,直線距離(Haversine),tohoku,6.222,5.218,8.436,33.0,1210534,
岩手県,1kmメッシュ法,直線距離(Haversine),tohoku,2.096,0.904,5.602,,1210534,6659.0
宮城県,市区町村重心法,直線距離(Haversine),tohoku,4.286,2.394,11.114,39.0,2301996,
宮城県,1kmメッシュ法,直線距離(Haversine),tohoku,1.132,0.641,2.596,,2301996,4595.0
秋田県,市区町村重心法,直線距離(Haversine),tohoku,4.335,4.685,8.307,25.0,959502,
秋田県,1kmメッシュ法,直線距離(Haversine),tohoku,2.042,0.969,5.18,,959502,4104.0
山形県,市区町村重心法,直線距離(Haversine),tohoku,4.61,4.005,12.534,35.0,1068027,
山形県,1kmメッシュ法,直線距離(Haversine),tohoku,1.641,0.799,4.074,,1068027,3247.0
福島県,市区町村重心法,直線距離(Haversine),tohoku,4.363,5.11,6.817,58.0,1833152,
福島県,1kmメッシュ法,直線距離(Haversine),tohoku,1.912,0.958,4.175,,1833152,6547.0
